
#x69814678
FC-Player-TrygveLie
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	34	1	5	5	1	55	
-3900	10000	1	34	1	5	5	1	60	
-3850	10000	1	34	1	5	5	1	65	
-3800	20000	2	57	3	6	5	1	70	
-3750	20000	2	57	3	6	6	1	75	
-3700	20000	2	57	3	6	6	1	81	
-3650	20000	2	57	3	6	6	1	87	
-3600	20000	2	57	3	6	6	1	93	
-3550	20000	2	57	3	6	6	1	99	
-3500	20000	2	57	3	8	8	1	105	
-3450	20000	2	57	3	8	8	2	113	
-3400	20000	2	57	3	8	8	2	121	
-3350	40000	2	57	2	10	8	2	129	
-3300	40000	2	57	2	10	8	2	137	
-3250	40000	2	57	2	10	8	2	145	
-3200	40000	2	57	2	10	8	2	153	
-3150	40000	2	57	2	10	8	2	161	
-3100	40000	2	57	2	10	8	2	169	
-3050	40000	2	57	2	10	8	2	177	
-3000	60000	2	57	2	10	8	3	185	
-2950	60000	2	57	2	10	8	3	193	
-2900	60000	2	57	2	10	8	3	201	
-2850	40000	2	57	2	9	8	3	209	
-2800	40000	2	57	2	9	8	3	217	
-2750	40000	2	57	2	9	8	3	225	
-2700	40000	2	57	2	9	8	3	233	
-2650	50000	3	70	5	10	8	4	241	
-2600	50000	3	70	5	10	8	4	249	
-2550	50000	3	70	5	10	8	4	257	
-2500	70000	3	70	4	12	8	4	265	
-2450	70000	3	70	4	12	8	4	273	
-2400	70000	3	70	4	12	8	4	281	
-2350	70000	3	70	4	12	8	4	289	
-2300	70000	3	70	4	12	8	4	297	
-2250	70000	3	68	4	12	8	4	305	
-2200	90000	3	68	3	14	8	4	313	
-2150	70000	3	68	3	12	8	4	321	
-2100	70000	3	68	3	12	8	4	329	
-2050	70000	3	68	3	12	8	4	337	
-2000	80000	4	74	6	15	8	5	345	
-1950	80000	4	74	6	16	8	5	353	
-1900	80000	4	74	6	16	8	5	361	
-1850	80000	4	74	6	16	8	5	369	
-1800	80000	4	72	6	16	8	5	377	
-1750	80000	4	72	5	16	8	5	385	
-1700	80000	4	72	5	16	8	5	393	
-1650	80000	4	72	5	16	8	5	401	
-1600	90000	5	83	8	17	8	6	409	
-1550	110000	5	83	8	17	9	6	418	
-1500	140000	5	83	7	22	14	6	427	
-1450	120000	5	83	7	20	14	6	441	
-1400	110000	4	64	5	18	14	5	449	
-1350	90000	4	65	4	18	13	5	462	
-1300	90000	4	65	4	18	13	5	475	
-1250	90000	4	65	4	18	13	5	488	
-1200	100000	5	69	7	20	14	6	502	
-1150	120000	5	69	6	22	15	6	517	
-1100	120000	5	69	6	22	15	6	532	
-1050	120000	5	69	6	22	15	6	547	
-1000	150000	6	79	7	29	15	7	562	
-975	150000	6	79	7	29	15	7	577	
-950	150000	6	79	7	29	15	7	592	
-925	170000	6	79	7	29	16	7	608	
-900	170000	6	79	7	29	16	7	624	
-875	190000	6	79	6	31	16	7	640	
-850	190000	6	79	6	31	16	7	656	
-825	190000	6	79	6	31	16	7	672	
-800	190000	6	79	6	31	16	7	688	
-775	190000	6	79	6	31	16	7	704	
-750	190000	6	79	6	31	16	7	720	
-725	190000	6	79	6	31	16	7	736	
-700	190000	6	79	6	31	16	7	752	
-675	190000	6	79	6	31	16	7	768	
-650	190000	6	79	6	31	15	7	784	
-625	130000	4	45	4	22	15	5	738	
-600	130000	4	45	4	22	15	5	753	
-575	70000	2	30	1	15	13	3	713	
-550	70000	2	30	1	15	13	3	726	
-525	90000	2	31	0	17	13	3	739	
-500	90000	2	31	0	17	13	3	752	
-475	90000	2	31	0	17	13	3	765	
-450	90000	2	31	0	17	13	3	778	
-425	90000	2	31	0	17	13	3	791	
-400	90000	2	29	0	17	13	3	804	
-375	90000	2	27	0	17	13	3	817	
-350	90000	2	27	0	17	13	3	830	
-325	90000	2	27	0	17	13	3	843	
-300	90000	2	27	0	17	13	3	856	
-275	90000	2	27	0	17	13	3	869	
-250	90000	2	27	0	17	13	3	882	
-225	90000	2	27	0	17	13	3	895	
-200	90000	2	27	0	17	13	3	908	
-175	90000	2	27	0	17	13	3	921	
-150	90000	2	27	0	17	13	3	934	
-125	90000	2	27	0	17	13	3	947	
-100	90000	2	27	0	17	13	3	960	
-75	30000	1	11	0	8	1	1	951	
-50	30000	1	11	0	8	9	1	960	
-25	30000	1	11	0	8	9	1	969	
1	30000	1	11	0	8	9	1	978	
20	30000	1	11	0	8	9	1	987	
40	30000	1	11	0	8	9	1	996	
60	30000	1	11	0	8	9	1	1005	
80	30000	1	11	0	8	9	1	1014	
100	30000	1	11	0	8	9	1	1023	
120	30000	1	11	0	8	9	1	1032	
140	30000	1	11	0	8	9	1	1041	
160	30000	1	11	0	8	9	1	1050	
180	30000	1	11	0	8	9	1	1059	
200	30000	1	11	0	8	9	1	1068	
220	30000	1	11	0	8	9	1	1077	
240	30000	1	11	0	8	9	1	1086	
260	30000	1	11	0	8	9	1	1095	
280	30000	1	11	0	8	9	1	1104	
300	30000	1	11	0	8	9	1	1113	
320	30000	1	11	0	8	9	1	1122	
340	30000	1	11	0	8	9	1	1131	
360	30000	1	11	0	8	9	1	1140	
380	30000	1	11	0	8	9	1	1149	
400	30000	1	11	0	8	9	1	1158	
420	30000	1	11	0	8	9	1	1167	
440	30000	1	11	0	8	9	1	1176	
460	30000	1	11	0	8	9	1	1185	
480	30000	1	11	0	8	9	1	1194	
