
#x69814778
FC-Player-Kamehameha
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	23	1	5	6	1	56	
-3900	10000	1	23	1	5	6	1	62	
-3850	10000	1	23	1	5	6	1	68	
-3800	20000	2	29	3	6	7	2	75	
-3750	20000	2	29	3	6	7	2	82	
-3700	20000	2	29	3	6	7	2	89	
-3650	20000	2	29	3	6	7	2	96	
-3600	20000	2	29	3	6	7	2	103	
-3550	20000	2	29	3	6	7	2	110	
-3500	20000	2	29	3	6	7	2	117	
-3450	20000	2	29	3	6	7	2	124	
-3400	20000	2	29	3	6	7	2	131	
-3350	40000	2	29	2	8	7	2	138	
-3300	40000	2	29	2	8	7	2	145	
-3250	40000	2	29	2	8	7	2	152	
-3200	40000	2	29	2	8	7	2	159	
-3150	40000	2	29	2	8	7	2	166	
-3100	40000	2	29	2	8	7	2	173	
-3050	40000	2	29	2	8	7	2	180	
-3000	60000	2	29	2	8	7	2	187	
-2950	60000	2	29	2	8	7	2	194	
-2900	60000	2	29	2	8	7	2	201	
-2850	40000	2	29	2	6	7	2	208	
-2800	40000	2	29	2	6	7	2	215	
-2750	40000	2	29	2	6	7	2	222	
-2700	40000	2	29	2	6	7	2	229	
-2650	50000	3	40	5	9	8	3	237	
-2600	50000	3	40	5	9	8	3	245	
-2550	50000	3	40	5	9	8	3	253	
-2500	70000	3	40	4	11	8	3	261	
-2450	70000	3	40	4	11	8	3	269	
-2400	70000	3	40	4	11	8	3	277	
-2350	70000	3	40	4	11	8	3	285	
-2300	70000	3	40	4	11	8	3	293	
-2250	70000	3	40	4	11	8	3	301	
-2200	90000	3	40	4	11	8	4	309	
-2150	90000	3	40	4	11	8	4	317	
-2100	90000	3	40	4	11	8	4	325	
-2050	90000	3	40	4	11	8	4	333	
-2000	70000	3	40	3	11	8	3	341	
-1950	50000	3	40	3	9	8	3	349	
-1900	50000	3	40	3	9	8	3	357	
-1850	60000	4	47	6	11	9	4	366	
-1800	60000	4	47	6	11	9	4	375	
-1750	60000	4	47	6	11	9	4	384	
-1700	60000	4	47	6	11	9	4	393	
-1650	60000	4	47	6	11	9	4	402	
-1600	80000	4	46	6	11	9	5	411	
-1550	80000	4	46	6	11	9	5	420	
-1500	140000	5	54	7	18	12	6	429	
-1450	140000	5	54	7	18	12	6	441	
-1400	160000	5	54	6	20	12	7	453	
-1350	140000	5	54	5	20	12	6	465	
-1300	140000	5	54	5	20	12	6	477	
-1250	140000	5	54	5	20	12	6	489	
-1200	140000	5	54	5	20	12	6	501	
-1150	140000	5	54	5	20	12	6	513	
-1100	140000	5	54	5	20	12	6	525	
-1050	160000	5	54	4	22	13	6	538	
-1000	160000	5	54	4	22	13	6	551	
-975	160000	5	54	4	22	13	6	564	
-950	160000	5	54	4	22	13	6	577	
-925	160000	5	54	4	22	13	6	590	
-900	180000	5	54	4	22	13	7	603	
-875	120000	3	35	3	13	11	4	561	
-850	60000	2	23	2	8	7	2	546	
-825	30000	1	8	1	1	2	2	534	
-800	0	0	0	0	0	0	0	511	
-775	0	0	0	0	0	0	0	511	
-750	0	0	0	0	0	0	0	511	
-725	0	0	0	0	0	0	0	511	
-700	0	0	0	0	0	0	0	511	
-675	0	0	0	0	0	0	0	511	
