
#x69814978
FC-Player-Sakura
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	36	2	5	5	1	55	
-3900	10000	1	36	2	5	5	1	60	
-3850	10000	1	36	2	5	5	1	65	
-3800	20000	2	59	4	8	5	1	70	
-3750	20000	2	59	4	8	6	1	75	
-3700	20000	2	59	4	8	6	1	81	
-3650	20000	2	59	4	8	6	1	87	
-3600	20000	2	59	4	8	6	1	93	
-3550	20000	2	59	4	8	6	1	99	
-3500	40000	2	59	3	11	9	1	105	
-3450	40000	2	59	3	11	9	1	114	
-3400	40000	2	59	3	11	9	1	123	
-3350	60000	2	59	3	12	10	2	133	
-3300	60000	2	59	3	12	10	2	143	
-3250	60000	2	59	3	12	10	2	153	
-3200	40000	2	59	2	11	9	1	162	
-3150	40000	2	59	2	11	9	1	171	
-3100	40000	2	59	2	11	9	1	180	
-3050	50000	3	76	5	14	9	2	189	
-3000	50000	3	76	5	14	9	2	198	
-2950	50000	3	76	5	14	9	2	207	
-2900	50000	3	76	5	14	9	2	216	
-2850	50000	3	76	5	15	9	2	225	
-2800	50000	3	76	5	15	9	2	234	
-2750	70000	3	76	5	16	10	3	244	
-2700	70000	3	76	5	16	10	3	254	
-2650	50000	3	76	4	15	9	2	263	
-2600	70000	3	76	4	16	10	2	273	
-2550	70000	3	76	4	16	10	2	283	
-2500	70000	3	76	4	16	10	2	293	
-2450	60000	4	80	6	17	9	3	302	
-2400	60000	4	80	6	17	9	3	311	
-2350	60000	4	80	6	17	9	3	320	
-2300	60000	4	80	6	17	9	3	329	
-2250	70000	5	83	9	20	9	4	338	
-2200	70000	5	84	9	20	9	4	347	
-2150	90000	5	84	9	21	10	5	357	
-2100	70000	5	84	8	20	9	4	366	
-2050	70000	5	84	8	20	9	4	375	
-2000	140000	5	85	7	23	11	5	386	
-1950	140000	5	85	7	22	11	5	397	
-1900	120000	5	80	9	20	10	4	397	
-1850	90000	4	66	6	15	9	4	406	
-1800	100000	3	56	5	12	10	3	416	
-1750	100000	3	72	4	13	10	3	426	
-1700	70000	2	47	3	9	9	2	427	
-1650	70000	2	47	3	9	9	2	436	
-1600	70000	2	47	3	9	9	1	445	
-1550	10000	1	18	2	1	0	0	428	
-1500	10000	1	20	2	1	1	0	433	
-1450	30000	1	22	1	5	5	1	434	
-1400	30000	1	22	1	5	5	1	439	
-1350	30000	1	22	1	5	5	1	444	
-1300	30000	1	22	1	5	5	1	449	
-1250	30000	1	22	1	5	5	1	454	
-1200	30000	1	22	1	5	5	1	459	
-1150	30000	1	22	1	5	5	1	464	
-1100	30000	1	22	1	5	5	1	469	
-1050	30000	1	22	1	5	5	1	474	
-1000	30000	1	21	1	5	5	1	479	
-975	30000	1	21	1	5	5	1	484	
-950	30000	1	21	1	5	5	1	489	
-925	30000	1	21	1	5	5	1	494	
-900	30000	1	21	1	5	5	1	499	
-875	30000	1	21	1	5	5	1	504	
-850	30000	1	21	1	5	5	1	509	
-825	30000	1	21	1	5	5	1	514	
-800	0	0	0	0	0	0	0	508	
