
#x69814a78
FC-Player-MalandelaKaLuzumana
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	22	1	3	4	2	54	
-3900	10000	1	22	1	3	4	2	58	
-3850	10000	1	22	1	3	4	2	62	
-3800	10000	1	22	1	3	4	2	66	
-3750	10000	1	22	1	3	4	2	70	
-3700	10000	1	22	1	3	4	2	74	
-3650	10000	1	22	1	3	4	2	78	
-3600	20000	2	44	4	5	5	3	83	
-3550	20000	2	44	4	5	5	3	88	
-3500	20000	2	44	4	5	5	3	93	
-3450	20000	2	44	4	5	5	3	98	
-3400	20000	2	44	4	5	5	3	103	
-3350	20000	2	44	4	5	5	3	108	
-3300	40000	2	45	3	7	5	3	113	
-3250	40000	2	45	3	7	5	3	118	
-3200	40000	2	45	3	7	5	3	123	
-3150	40000	2	45	3	7	5	3	128	
-3100	40000	2	45	3	7	5	3	133	
-3050	40000	2	45	3	7	5	3	138	
-3000	60000	2	45	3	7	5	3	143	
-2950	40000	2	45	3	5	5	3	148	
-2900	40000	2	45	3	5	5	3	153	
-2850	40000	2	45	3	5	6	3	158	
-2800	60000	2	45	2	7	6	3	164	
-2750	60000	2	45	2	7	6	3	170	
-2700	60000	2	45	2	7	6	3	176	
-2650	70000	3	54	5	8	6	4	182	
-2600	70000	3	54	5	8	6	4	188	
-2550	70000	3	54	5	8	6	4	194	
-2500	70000	3	54	5	8	6	4	200	
-2450	70000	3	54	5	8	6	4	206	
-2400	50000	3	56	5	6	6	4	212	
-2350	50000	3	56	5	6	6	4	218	
-2300	50000	3	56	5	6	6	4	224	
-2250	60000	2	40	2	7	6	3	230	
-2200	70000	3	48	5	8	7	5	237	
-2150	70000	3	48	5	8	7	5	244	
-2100	70000	3	48	5	8	7	5	251	
-2050	70000	3	48	6	6	7	5	258	
-2000	30000	1	17	1	3	5	2	251	
-1950	30000	1	22	1	3	5	2	256	
-1900	30000	1	22	1	3	5	2	261	
-1850	10000	1	21	1	3	4	2	266	
-1800	0	0	0	0	0	0	0	268	
