
#x69814b78
FC-Player-lojbab
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	20	1	5	5	0	55	
-3900	10000	1	20	1	5	5	0	60	
-3850	10000	1	20	1	5	5	0	65	
-3800	10000	1	20	1	5	5	0	70	
-3750	10000	1	20	1	5	5	1	75	
-3700	10000	1	20	1	5	5	1	80	
-3650	10000	1	20	1	5	5	1	85	
-3600	10000	1	20	1	5	5	1	90	
-3550	20000	2	52	4	8	5	2	95	
-3500	20000	2	52	5	8	5	2	100	
-3450	20000	2	52	5	8	5	2	105	
-3400	20000	2	52	5	8	5	2	110	
-3350	20000	2	52	5	8	5	2	115	
-3300	20000	2	52	5	8	5	2	120	
-3250	60000	2	52	5	9	6	2	126	
-3200	60000	2	52	5	9	6	2	132	
-3150	60000	2	50	5	9	6	2	138	
-3100	60000	2	50	5	9	6	2	144	
-3050	60000	2	50	5	9	6	2	150	
-3000	40000	2	50	4	8	6	2	156	
-2950	40000	2	50	4	8	6	2	162	
-2900	40000	2	50	4	8	6	2	168	
-2850	60000	2	50	4	9	6	2	174	
-2800	70000	3	52	7	12	6	2	180	
-2750	70000	3	52	7	12	6	2	186	
-2700	70000	3	52	7	12	6	2	192	
-2650	70000	3	52	7	12	6	2	198	
-2600	70000	3	52	7	12	6	2	204	
-2550	70000	3	52	7	12	6	2	210	
-2500	100000	3	52	7	12	6	2	216	
-2450	100000	3	52	6	12	6	2	222	
-2400	100000	3	52	6	12	6	2	228	
-2350	120000	3	52	5	14	6	3	234	
-2300	130000	4	57	8	17	6	3	240	
-2250	110000	4	57	8	16	6	2	246	
-2200	110000	4	57	8	16	6	2	252	
-2150	110000	4	57	8	16	6	2	258	
-2100	110000	4	56	8	16	6	2	264	
-2050	110000	4	56	8	16	6	2	270	
-2000	110000	4	56	8	16	6	3	276	
-1950	110000	4	55	7	16	6	3	282	
-1900	110000	4	55	7	16	6	3	288	
-1850	130000	4	55	6	18	6	4	294	
-1800	130000	4	55	6	18	6	4	300	
-1750	110000	4	55	6	16	6	3	306	
-1700	110000	4	55	6	16	6	3	312	
-1650	110000	4	55	6	16	6	3	318	
-1600	110000	4	55	6	16	6	3	324	
-1550	110000	4	55	6	16	6	3	330	
-1500	150000	4	55	6	16	6	3	336	
-1450	130000	4	55	5	15	6	3	342	
-1400	150000	4	55	5	16	6	3	348	
-1350	170000	4	55	5	16	6	4	354	
-1300	150000	4	55	4	16	6	3	360	
-1250	150000	4	55	4	16	6	3	366	
-1200	150000	4	55	4	17	7	3	372	
-1150	150000	4	54	4	17	7	3	379	
-1100	150000	4	54	4	17	7	3	386	
-1050	150000	4	54	4	17	7	3	393	
-1000	150000	4	54	4	17	7	3	400	
-975	150000	4	54	4	17	7	3	407	
-950	150000	4	54	4	17	7	3	414	
-925	170000	4	54	4	17	7	3	421	
-900	170000	4	54	4	17	7	3	428	
-875	170000	4	54	4	17	11	3	439	
-850	170000	4	54	4	17	11	3	450	
-825	150000	4	54	4	16	11	4	461	
-800	140000	3	38	3	13	15	3	476	
-775	130000	2	31	3	9	11	3	491	
-750	130000	2	38	4	9	11	3	502	
-725	100000	1	17	0	3	5	3	502	
-700	100000	1	17	0	3	5	3	507	
-675	100000	1	17	0	3	5	3	512	
-650	100000	1	17	0	3	5	3	517	
-625	100000	1	17	0	3	5	3	522	
-600	100000	1	17	0	3	5	3	527	
-575	100000	1	17	0	3	5	3	532	
-550	100000	1	17	0	3	5	3	537	
-525	100000	1	17	0	3	5	3	542	
-500	60000	1	17	2	5	6	2	547	
-475	0	0	0	0	0	0	0	534	
