
#x69814c78
FC-Player-BrianMulroney
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	32	1	5	6	1	56	
-3900	10000	1	32	1	5	6	1	62	
-3850	10000	1	32	1	5	6	1	68	
-3800	20000	2	39	2	7	6	1	74	
-3750	20000	2	39	2	7	6	1	80	
-3700	20000	2	39	2	7	6	1	86	
-3650	20000	2	39	3	7	6	1	92	
-3600	20000	2	39	3	7	6	1	98	
-3550	20000	2	39	3	7	6	1	104	
-3500	20000	2	39	3	7	6	1	110	
-3450	20000	2	39	3	7	6	1	116	
-3400	20000	2	39	3	7	6	1	122	
-3350	20000	2	39	3	7	6	2	128	
-3300	40000	2	39	2	10	9	2	134	
-3250	40000	2	39	2	10	9	2	143	
-3200	40000	2	39	2	10	9	2	152	
-3150	40000	2	39	2	10	9	2	161	
-3100	40000	2	39	3	10	9	2	170	
-3050	40000	2	39	3	10	9	2	179	
-3000	40000	2	39	3	10	9	2	188	
-2950	60000	2	39	2	12	9	2	197	
-2900	40000	2	39	2	10	9	2	206	
-2850	40000	2	39	2	10	9	2	215	
-2800	40000	2	39	2	10	9	2	224	
-2750	50000	3	42	5	12	9	3	233	
-2700	50000	3	42	5	12	9	3	242	
-2650	50000	3	42	5	12	9	3	251	
-2600	50000	3	41	5	12	9	3	260	
-2550	50000	3	41	5	12	9	3	269	
-2500	50000	3	41	5	12	9	3	278	
-2450	50000	3	41	5	12	9	3	287	
-2400	30000	3	41	6	9	6	3	296	
-2350	50000	3	41	5	11	6	3	302	
-2300	60000	2	19	2	11	1	2	308	
-2250	60000	2	34	2	11	8	2	326	
-2200	60000	2	34	2	11	8	2	334	
-2150	0	0	0	0	0	0	0	319	
