
#x69814d78
FC-Player-RoyJenkins
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	37	2	1	2	1	52	
-3900	10000	1	37	2	1	2	1	54	
-3850	10000	1	37	2	1	2	1	56	
-3800	10000	1	37	2	1	2	1	58	
-3750	10000	1	37	2	1	2	1	60	
-3700	10000	1	37	2	1	2	1	62	
-3650	10000	1	37	2	1	2	1	64	
-3600	10000	1	37	2	1	2	1	66	
-3550	10000	1	37	2	1	2	1	68	
-3500	40000	2	53	5	2	3	2	71	
-3450	40000	2	53	5	2	3	2	74	
-3400	40000	2	53	5	2	3	2	77	
-3350	40000	2	53	5	2	3	3	80	
-3300	40000	2	53	5	2	3	3	83	
-3250	40000	2	53	5	2	3	3	86	
-3200	60000	2	53	4	4	3	3	89	
-3150	60000	2	53	4	4	3	3	92	
-3100	60000	2	53	4	4	3	3	95	
-3050	60000	2	53	4	4	3	3	98	
-3000	60000	2	53	4	4	3	3	101	
-2950	60000	2	53	4	4	3	3	104	
-2900	60000	2	53	4	4	3	3	107	
-2850	60000	2	53	4	4	3	3	110	
-2800	60000	2	53	4	4	3	3	113	
-2750	90000	2	58	4	4	4	3	117	
-2700	90000	2	58	4	4	4	3	121	
-2650	90000	2	58	3	4	4	3	125	
-2600	90000	2	58	3	4	4	3	129	
-2550	90000	2	58	3	4	4	3	133	
-2500	90000	2	58	3	4	4	3	137	
-2450	100000	3	69	6	6	5	4	142	
-2400	100000	3	69	6	6	5	4	147	
-2350	100000	3	69	6	6	5	4	152	
-2300	100000	3	69	6	6	5	4	157	
-2250	100000	3	69	6	6	5	4	162	
-2200	100000	3	69	6	6	5	4	167	
-2150	100000	3	69	6	6	5	4	172	
-2100	100000	3	69	6	6	5	4	177	
-2050	100000	3	69	6	6	5	4	182	
-2000	120000	3	69	6	7	5	4	187	
-1950	120000	3	69	5	7	5	4	192	
-1900	120000	3	69	5	7	5	4	197	
-1850	130000	4	71	8	8	5	5	202	
-1800	130000	4	71	8	8	5	5	207	
-1750	170000	4	71	7	10	7	6	212	
-1700	170000	4	68	7	10	7	6	219	
-1650	150000	4	68	6	9	7	6	226	
-1600	150000	4	68	6	9	7	6	233	
-1550	150000	4	68	6	9	7	6	240	
-1500	150000	4	68	6	9	7	6	247	
-1450	150000	4	68	6	9	7	6	254	
-1400	180000	5	79	8	15	7	6	261	
-1350	200000	5	79	8	15	7	6	268	
-1300	200000	5	79	8	15	7	6	275	
-1250	200000	5	79	8	15	7	6	282	
-1200	200000	5	79	8	15	7	6	289	
-1150	160000	4	66	6	12	7	5	292	
-1100	70000	2	27	3	10	2	3	279	
-1050	70000	2	29	2	10	2	2	281	
-1000	70000	2	29	2	10	2	2	283	
-975	60000	1	9	1	8	2	2	285	
-950	60000	1	9	1	8	2	2	287	
-925	60000	1	9	1	8	2	2	289	
-900	60000	1	9	1	8	2	2	291	
-875	60000	1	9	1	8	2	2	293	
-850	60000	1	9	1	8	2	2	295	
-825	60000	1	9	1	8	2	2	297	
-800	60000	1	9	1	8	2	2	299	
-775	0	0	0	0	0	0	0	297	
