
#x69814e78
FC-Player-OleHenrikMagga
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	34	3	1	2	1	52	
-3900	10000	1	34	3	1	2	1	54	
-3850	10000	1	34	3	1	2	1	56	
-3800	10000	1	34	3	1	2	1	58	
-3750	10000	1	34	3	1	2	1	60	
-3700	20000	2	73	6	2	2	2	62	
-3650	40000	2	73	4	9	9	2	64	
-3600	40000	2	73	4	9	9	2	73	
-3550	40000	2	73	4	9	9	2	82	
-3500	40000	2	73	4	9	9	2	91	
-3450	40000	2	73	4	9	9	2	100	
-3400	60000	2	73	3	11	9	2	109	
-3350	60000	2	73	3	11	9	2	118	
-3300	60000	2	73	3	11	9	2	127	
-3250	60000	2	73	3	11	9	2	136	
-3200	60000	2	73	3	11	9	2	145	
-3150	60000	2	73	3	11	9	2	154	
-3100	60000	2	73	3	11	9	2	163	
-3050	60000	2	73	3	11	9	2	172	
-3000	60000	2	73	3	11	9	2	181	
-2950	60000	2	73	3	11	9	2	190	
-2900	60000	2	73	3	11	9	2	199	
-2850	60000	2	73	3	9	10	2	209	
-2800	60000	2	73	3	9	10	2	219	
-2750	60000	2	73	3	9	10	2	229	
-2700	60000	2	73	3	9	10	2	239	
-2650	60000	2	73	3	9	10	2	249	
-2600	60000	2	73	3	9	10	2	259	
-2550	70000	3	107	7	12	10	3	269	
-2500	70000	3	107	7	12	10	3	279	
-2450	70000	3	107	7	12	10	3	289	
-2400	70000	3	106	7	12	10	3	299	
-2350	70000	3	106	7	12	10	3	309	
-2300	70000	3	106	7	12	10	3	319	
-2250	120000	3	110	7	12	10	3	329	
-2200	120000	3	110	7	12	10	3	339	
-2150	150000	3	112	7	12	11	4	350	
-2100	150000	3	112	7	12	11	4	361	
-2050	150000	3	112	7	12	11	4	372	
-2000	150000	3	112	7	12	11	4	383	
-1950	150000	3	112	7	12	11	4	394	
-1900	150000	3	112	6	12	11	4	405	
-1850	150000	3	112	6	12	11	4	416	
-1800	150000	3	112	6	12	11	4	427	
-1750	90000	2	61	4	11	10	3	422	
-1700	30000	1	36	3	5	1	1	409	
-1650	30000	1	36	3	5	6	1	422	
-1600	30000	1	36	3	5	6	1	428	
-1550	30000	1	36	3	5	6	1	434	
-1500	0	0	0	0	0	0	0	435	
-1450	0	0	0	0	0	0	0	435	
