
#x69814f78
FC-Player-DengXiaoping
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	39	1	3	4	1	54	
-3900	10000	1	39	1	3	4	1	58	
-3850	10000	1	39	1	3	4	1	62	
-3800	10000	1	39	1	3	4	1	66	
-3750	20000	2	69	4	4	4	2	70	
-3700	20000	2	69	4	4	4	2	74	
-3650	20000	2	69	4	4	4	2	78	
-3600	20000	2	69	4	4	4	2	82	
-3550	20000	2	69	4	4	4	2	86	
-3500	20000	2	69	4	4	4	2	90	
-3450	40000	2	69	2	8	5	2	95	
-3400	40000	2	69	2	8	5	2	100	
-3350	40000	2	69	2	8	5	2	105	
-3300	40000	2	69	2	8	5	2	110	
-3250	40000	2	69	2	8	5	2	115	
-3200	40000	2	69	2	8	5	2	120	
-3150	40000	2	69	2	8	5	2	125	
-3100	20000	2	69	3	4	4	2	129	
-3050	20000	2	69	3	4	4	2	133	
-3000	40000	2	69	3	4	4	2	137	
-2950	40000	2	69	3	4	4	2	141	
-2900	50000	3	74	6	6	5	3	146	
-2850	70000	3	74	5	8	6	3	152	
-2800	70000	3	74	5	8	6	3	158	
-2750	70000	3	74	5	8	6	3	164	
-2700	70000	3	74	5	8	6	3	170	
-2650	70000	3	74	5	8	6	3	176	
-2600	70000	3	74	5	8	6	3	182	
-2550	70000	3	74	5	8	6	3	188	
-2500	70000	3	74	5	8	6	3	194	
-2450	90000	3	74	5	8	6	3	200	
-2400	90000	3	74	5	8	6	3	206	
-2350	90000	3	74	5	8	6	3	212	
-2300	90000	3	74	4	8	6	3	218	
-2250	90000	3	74	4	8	6	3	224	
-2200	90000	3	73	4	8	6	3	230	
-2150	90000	3	73	4	8	6	3	236	
-2100	100000	4	81	7	11	6	4	242	
-2050	100000	4	81	7	11	6	4	248	
-2000	100000	4	81	7	11	6	4	254	
-1950	80000	4	81	6	11	6	4	260	
-1900	100000	4	81	6	11	6	4	266	
-1850	100000	4	81	6	11	6	4	272	
-1800	100000	4	81	6	11	6	4	278	
-1750	110000	5	92	9	12	7	5	285	
-1700	110000	5	92	9	12	7	5	292	
-1650	50000	3	57	5	6	6	3	289	
-1600	10000	1	14	2	1	1	1	271	
-1550	10000	1	14	2	1	2	1	277	
-1500	10000	1	14	2	1	2	1	279	
-1450	10000	1	14	2	1	2	1	281	
-1400	10000	1	14	2	1	2	1	283	
-1350	10000	1	14	2	1	2	1	285	
-1300	30000	1	15	1	5	6	2	287	
-1250	30000	1	15	1	5	6	2	293	
-1200	30000	1	15	1	5	6	2	299	
-1150	30000	1	15	1	5	6	2	305	
-1100	30000	1	15	1	5	6	2	311	
-1050	30000	1	15	1	5	6	2	317	
-1000	30000	1	15	1	5	6	2	323	
-975	30000	1	15	1	5	6	2	329	
-950	30000	1	15	1	5	6	2	335	
-925	30000	1	15	1	5	6	2	341	
-900	30000	1	15	1	5	6	2	347	
-875	30000	1	15	1	5	6	2	353	
-850	30000	1	15	1	5	6	2	359	
-825	30000	1	15	1	5	6	2	365	
-800	30000	1	15	1	5	6	2	371	
-775	30000	1	15	1	5	6	2	377	
-750	30000	1	15	1	5	6	2	383	
-725	30000	1	15	1	5	6	2	389	
-700	30000	1	15	1	5	6	2	395	
-675	30000	1	15	1	5	6	2	401	
-650	30000	1	15	1	5	6	2	407	
-625	30000	1	14	1	5	6	2	413	
-600	30000	1	14	1	5	6	2	419	
-575	30000	1	14	1	5	6	2	425	
-550	30000	1	14	1	5	6	2	431	
-525	30000	1	14	1	5	6	2	437	
-500	30000	1	14	1	5	6	2	443	
-475	30000	1	14	1	5	6	2	449	
-450	30000	1	14	1	5	6	2	455	
-425	30000	1	14	1	5	6	2	461	
-400	60000	1	16	1	5	7	3	468	
-375	60000	1	16	1	5	7	3	475	
-350	60000	1	16	1	5	7	3	482	
-325	60000	1	16	1	5	7	3	489	
-300	60000	1	16	1	5	7	3	496	
-275	60000	1	16	1	5	7	3	503	
-250	60000	1	16	1	5	7	3	510	
-225	60000	1	16	1	5	7	3	517	
-200	60000	1	16	1	5	7	3	524	
-175	60000	1	16	1	5	7	3	531	
-150	60000	1	16	1	5	7	3	538	
-125	60000	1	16	1	5	7	3	545	
-100	60000	1	16	1	5	7	3	552	
-75	0	0	0	0	0	0	0	550	
