
#x69815078
FC-Player-KonstantinPÃ¤ts
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	42	1	7	7	0	57	
-3900	10000	1	42	1	7	7	0	64	
-3850	10000	1	42	1	7	7	0	71	
-3800	20000	2	47	3	9	7	1	78	
-3750	20000	2	47	3	9	7	1	85	
-3700	20000	2	47	3	9	7	1	92	
-3650	20000	2	47	3	9	7	1	99	
-3600	20000	2	47	3	9	8	1	106	
-3550	20000	2	47	3	9	8	1	114	
-3500	20000	2	47	3	9	8	1	122	
-3450	20000	2	47	3	9	8	1	130	
-3400	20000	2	47	3	9	8	1	138	
-3350	40000	2	47	3	10	8	1	146	
-3300	40000	2	47	3	10	8	1	154	
-3250	40000	2	47	3	10	8	1	162	
-3200	40000	2	47	3	10	8	1	170	
-3150	40000	2	47	3	10	8	1	178	
-3100	40000	2	47	3	10	8	1	186	
-3050	40000	2	47	3	10	8	1	194	
-3000	40000	2	47	3	12	11	1	202	
-2950	40000	2	47	3	12	11	1	213	
-2900	40000	2	47	3	12	11	1	224	
-2850	60000	2	47	2	13	11	1	235	
-2800	70000	3	60	5	15	12	2	247	
-2750	70000	3	60	5	15	12	2	259	
-2700	70000	3	60	5	15	12	2	271	
-2650	70000	3	60	5	15	12	2	283	
-2600	70000	3	60	5	15	12	2	295	
-2550	70000	3	60	5	15	12	2	307	
-2500	70000	3	60	5	15	12	2	319	
-2450	70000	3	60	5	15	12	2	331	
-2400	70000	3	60	5	15	12	2	343	
-2350	90000	3	60	5	16	12	2	355	
-2300	90000	3	60	4	16	12	2	367	
-2250	90000	3	60	4	16	12	2	379	
-2200	90000	3	60	4	16	12	2	391	
-2150	90000	3	60	4	16	12	2	403	
-2100	90000	3	60	4	16	12	2	415	
-2050	100000	4	70	7	17	13	3	428	
-2000	80000	4	70	6	16	13	3	441	
-1950	80000	4	70	6	16	13	3	454	
-1900	80000	4	70	6	16	13	3	467	
-1850	80000	4	70	6	16	13	3	480	
-1800	90000	5	78	8	18	13	3	493	
-1750	110000	5	78	8	20	13	3	506	
-1700	110000	5	78	8	20	13	3	519	
-1650	110000	5	78	8	20	13	3	532	
-1600	130000	5	80	6	22	13	3	545	
-1550	130000	5	80	6	22	13	3	558	
-1500	160000	5	81	5	26	17	3	571	
-1450	160000	5	81	5	26	17	3	588	
-1400	100000	3	47	2	19	15	1	552	
-1350	70000	2	38	0	16	14	1	554	
-1300	20000	2	37	2	9	7	1	568	
-1250	10000	1	14	1	3	0	1	575	
-1200	0	0	0	0	0	0	0	590	
-1150	0	0	0	0	0	0	0	590	
