
#x69815178
FC-Player-PierreCharles
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	33	2	5	6	1	56	
-3900	10000	1	33	2	5	6	1	62	
-3850	10000	1	33	2	5	6	1	68	
-3800	10000	1	33	2	5	6	1	74	
-3750	10000	1	33	2	5	6	1	80	
-3700	10000	1	33	2	5	6	1	86	
-3650	20000	2	77	5	7	7	2	93	
-3600	20000	2	77	5	7	7	2	100	
-3550	20000	2	77	5	7	7	2	107	
-3500	40000	2	77	5	9	10	3	115	
-3450	40000	2	77	5	9	10	3	125	
-3400	40000	2	77	5	9	10	3	135	
-3350	60000	2	77	5	10	10	3	145	
-3300	60000	2	77	5	10	10	3	155	
-3250	60000	2	77	5	10	10	3	165	
-3200	60000	2	77	5	10	10	3	175	
-3150	60000	2	77	5	10	10	3	185	
-3100	60000	2	77	5	10	10	3	195	
-3050	60000	2	77	5	10	10	3	205	
-3000	60000	2	77	5	10	10	3	215	
-2950	60000	2	77	5	10	10	3	225	
-2900	60000	2	77	4	10	10	3	235	
-2850	60000	2	77	4	10	10	3	245	
-2800	60000	2	77	4	10	10	3	255	
-2750	90000	2	79	5	11	11	5	265	
-2700	90000	2	79	5	11	11	5	276	
-2650	100000	3	92	9	13	11	6	287	
-2600	100000	3	92	9	13	11	6	298	
-2550	100000	3	92	9	13	11	6	309	
-2500	100000	3	92	9	13	11	6	320	
-2450	100000	3	92	9	13	11	6	331	
-2400	130000	3	94	8	15	11	7	342	
-2350	150000	3	96	8	15	12	7	354	
-2300	120000	3	92	8	13	12	6	366	
-2250	120000	3	92	8	13	12	6	378	
-2200	120000	3	92	8	13	12	6	390	
-2150	120000	3	92	8	13	12	6	402	
-2100	120000	3	92	8	13	12	6	414	
-2050	100000	3	101	9	13	11	6	405	
-2000	100000	3	102	9	13	11	6	416	
-1950	130000	3	102	8	15	11	7	427	
-1900	130000	3	102	8	15	11	7	438	
-1850	130000	3	102	8	15	11	7	449	
-1800	70000	2	64	5	10	10	5	442	
-1750	130000	2	70	3	16	14	5	452	
-1700	130000	2	70	3	16	14	5	466	
-1650	90000	2	70	4	12	10	5	480	
-1600	30000	1	36	2	7	1	1	481	
-1550	30000	1	36	2	7	1	1	482	
-1500	30000	1	36	2	7	1	1	483	
-1450	30000	1	36	2	7	1	1	484	
-1400	30000	1	36	2	7	1	1	485	
-1350	0	0	0	0	0	0	0	467	
