
#x69815278
FC-Player-WÅadysÅawJagieÅÅo
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	33	2	3	4	1	54	
-3900	10000	1	33	2	3	4	1	58	
-3850	10000	1	33	2	3	4	1	62	
-3800	20000	2	45	4	4	4	2	66	
-3750	20000	2	45	4	4	4	2	70	
-3700	20000	2	45	4	4	4	2	74	
-3650	20000	2	45	4	4	4	2	78	
-3600	20000	2	45	4	4	4	2	82	
-3550	20000	2	45	4	4	4	3	86	
-3500	40000	2	45	3	8	9	3	91	
-3450	40000	2	45	3	9	10	3	100	
-3400	40000	2	45	3	9	10	3	110	
-3350	60000	2	45	2	11	11	3	121	
-3300	60000	2	45	2	11	11	3	132	
-3250	60000	2	45	2	11	11	3	143	
-3200	60000	2	45	2	11	11	3	154	
-3150	60000	2	45	2	11	11	3	165	
-3100	60000	2	45	2	11	11	3	176	
-3050	60000	2	45	2	11	11	3	187	
-3000	60000	2	45	2	11	11	3	198	
-2950	60000	2	45	2	11	11	3	209	
-2900	60000	2	45	2	11	11	3	220	
-2850	40000	2	45	2	9	11	3	231	
-2800	40000	2	45	2	9	11	3	242	
-2750	40000	2	45	2	9	11	3	253	
-2700	50000	3	56	5	12	11	3	264	
-2650	50000	3	56	5	12	11	3	275	
-2600	50000	3	56	5	12	11	3	286	
-2550	70000	3	56	5	12	11	3	297	
-2500	70000	3	56	5	12	11	3	308	
-2450	70000	3	56	5	12	11	3	319	
-2400	70000	3	56	5	12	11	3	330	
-2350	70000	3	56	5	12	11	3	341	
-2300	70000	3	56	5	12	11	3	352	
-2250	90000	3	56	5	12	11	4	363	
-2200	90000	3	56	5	12	11	4	374	
-2150	90000	3	56	5	13	11	4	385	
-2100	70000	3	56	4	13	11	3	396	
-2050	70000	3	56	4	13	11	3	407	
-2000	100000	3	56	3	17	15	4	418	
-1950	100000	3	56	3	17	15	4	433	
-1900	110000	4	63	6	19	15	5	448	
-1850	110000	4	63	6	19	15	5	463	
-1800	140000	4	64	5	21	15	6	478	
-1750	140000	4	64	5	21	15	6	493	
-1700	140000	4	64	5	21	15	6	508	
-1650	160000	4	64	5	21	15	7	523	
-1600	140000	4	64	4	21	15	6	538	
-1550	140000	4	64	4	21	15	6	553	
-1500	140000	4	64	4	21	15	6	568	
-1450	130000	4	63	3	21	15	5	583	
-1400	130000	4	63	3	21	15	5	598	
-1350	140000	5	81	6	23	16	6	614	
-1300	140000	5	81	6	23	16	6	630	
-1250	140000	5	81	6	23	16	6	646	
-1200	140000	5	81	6	23	16	6	662	
-1150	140000	5	81	6	23	16	6	678	
-1100	140000	5	81	6	23	16	6	694	
-1050	150000	6	100	9	25	16	7	710	
-1000	170000	6	100	9	25	16	8	726	
-975	170000	6	100	9	25	16	8	742	
-950	190000	6	100	9	26	16	8	758	
-925	190000	6	100	9	28	16	8	774	
-900	190000	6	100	9	28	16	8	790	
-875	190000	6	100	9	28	16	8	806	
-850	220000	6	100	8	30	16	9	822	
-825	220000	6	100	8	30	16	9	838	
-800	240000	6	100	8	31	16	9	854	
-775	240000	6	98	8	31	16	9	870	
-750	240000	6	98	8	31	16	9	886	
-725	240000	6	97	8	31	16	9	902	
-700	240000	6	97	8	31	16	9	918	
-675	210000	5	72	7	26	16	8	895	
-650	210000	5	72	7	26	16	8	911	
-625	240000	5	72	6	28	17	8	928	
-600	240000	5	72	6	28	17	8	945	
-575	300000	5	72	5	30	18	9	963	
-550	300000	5	72	5	30	18	9	981	
-525	300000	5	72	5	30	18	9	999	
-500	300000	5	72	5	30	18	9	1017	
-475	300000	5	72	5	30	18	9	1035	
-450	300000	5	72	5	30	18	9	1053	
-425	300000	5	72	5	30	18	9	1071	
-400	300000	5	72	5	30	18	9	1089	
-375	300000	5	72	5	30	18	9	1107	
-350	300000	5	72	5	30	18	9	1125	
-325	300000	5	72	5	30	18	9	1143	
-300	300000	5	72	4	31	18	8	1161	
-275	300000	5	72	4	31	18	8	1179	
-250	300000	5	72	4	31	18	8	1197	
-225	300000	5	72	4	31	18	8	1215	
-200	300000	5	72	4	31	18	8	1233	
-175	300000	5	72	4	31	18	8	1251	
-150	300000	5	72	4	31	6	8	1257	
-125	300000	5	72	4	31	6	8	1263	
-100	300000	5	72	4	31	6	8	1269	
-75	300000	5	72	4	28	6	8	1275	
-50	300000	5	72	4	27	6	8	1281	
-25	300000	5	72	4	27	6	8	1287	
1	300000	5	72	4	27	6	8	1293	
20	300000	5	72	4	26	6	8	1299	
40	300000	5	72	4	26	6	8	1305	
60	300000	5	72	4	25	6	8	1311	
80	300000	5	72	4	22	6	8	1317	
100	300000	5	72	4	22	6	8	1323	
120	380000	5	72	3	25	6	9	1329	
140	380000	5	72	3	24	6	9	1335	
160	380000	5	72	3	24	6	9	1341	
180	380000	5	72	3	23	6	9	1347	
200	380000	5	72	3	23	6	9	1353	
220	380000	5	72	3	21	6	9	1359	
240	380000	5	72	3	20	6	9	1365	
260	380000	5	72	3	20	6	9	1371	
280	380000	5	72	3	19	6	9	1377	
