
#x69815378
FC-Player-DaoudKhan
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	38	2	3	4	1	54	
-3900	10000	1	38	2	3	4	1	58	
-3850	10000	1	38	2	3	4	1	62	
-3800	10000	1	38	2	3	4	1	66	
-3750	20000	2	52	5	6	4	2	70	
-3700	20000	2	52	5	6	4	2	74	
-3650	20000	2	52	5	6	4	2	78	
-3600	20000	2	52	5	6	4	2	82	
-3550	20000	2	52	5	6	4	2	86	
-3500	40000	2	52	4	10	8	3	90	
-3450	60000	2	53	3	12	9	3	99	
-3400	60000	2	53	3	12	9	3	108	
-3350	60000	2	53	3	12	9	3	117	
-3300	60000	2	53	3	12	9	3	126	
-3250	40000	2	53	3	10	8	3	134	
-3200	40000	2	52	3	10	8	3	142	
-3150	40000	2	52	3	10	8	3	150	
-3100	40000	2	52	3	10	8	3	158	
-3050	50000	3	55	6	13	8	3	166	
-3000	70000	3	55	5	15	9	3	175	
-2950	70000	3	55	5	15	9	3	184	
-2900	70000	3	55	5	15	9	3	193	
-2850	70000	3	55	5	15	9	3	202	
-2800	70000	3	55	5	15	9	3	211	
-2750	50000	3	55	5	13	8	3	219	
-2700	50000	3	55	5	13	8	3	227	
-2650	50000	3	55	5	13	8	3	235	
-2600	80000	4	72	7	16	8	4	243	
-2550	100000	4	72	6	18	9	4	252	
-2500	100000	4	72	6	18	9	4	261	
-2450	100000	4	72	6	18	9	4	270	
-2400	80000	4	72	5	19	9	3	279	
-2350	80000	4	72	5	19	9	3	288	
-2300	80000	4	72	5	19	9	3	297	
-2250	60000	4	72	5	17	8	3	305	
-2200	50000	3	63	4	13	8	3	313	
-2150	50000	3	67	4	13	8	3	321	
-2100	50000	3	67	4	13	8	3	329	
-2050	20000	2	48	3	6	4	1	325	
-2000	10000	1	22	1	5	0	0	317	
-1950	10000	1	24	1	5	5	0	341	
-1900	10000	1	24	1	5	5	0	346	
-1850	10000	1	24	1	5	5	0	351	
-1800	10000	1	24	1	5	5	0	356	
-1750	10000	1	24	1	5	5	0	361	
-1700	10000	1	24	1	5	5	0	366	
-1650	0	0	0	0	0	0	0	372	
