
#x69815478
FC-Player-AhmedBenBella
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	44	3	3	3	1	53	
-3900	10000	1	44	3	3	3	1	56	
-3850	10000	1	44	3	3	3	1	59	
-3800	20000	2	64	6	4	4	2	63	
-3750	20000	2	64	6	4	5	2	67	
-3700	20000	2	64	6	4	5	2	72	
-3650	40000	2	64	5	8	9	2	77	
-3600	40000	2	64	5	8	9	2	86	
-3550	40000	2	63	5	8	9	2	95	
-3500	60000	2	63	4	11	10	2	104	
-3450	60000	2	63	4	11	10	2	114	
-3400	60000	2	63	4	11	10	2	124	
-3350	60000	2	63	4	11	10	2	134	
-3300	60000	2	63	4	11	10	2	144	
-3250	60000	2	59	5	10	9	2	154	
-3200	60000	2	59	5	10	9	2	163	
-3150	60000	2	59	5	10	9	2	172	
-3100	60000	2	59	5	10	9	2	181	
-3050	60000	2	59	5	10	9	2	190	
-3000	90000	2	62	5	10	9	2	199	
-2950	90000	2	62	4	10	9	2	208	
-2900	90000	2	62	4	10	9	2	217	
-2850	90000	2	62	4	10	9	2	226	
-2800	90000	2	59	4	10	9	2	235	
-2750	100000	3	67	7	13	9	2	244	
-2700	100000	3	67	7	13	9	2	253	
-2650	100000	3	67	7	13	9	2	262	
-2600	100000	3	67	7	13	9	2	271	
-2550	100000	3	67	7	13	9	2	280	
-2500	100000	3	67	7	13	9	2	289	
-2450	100000	3	67	7	13	9	2	298	
-2400	100000	3	67	7	13	9	2	307	
-2350	100000	3	67	7	13	9	2	316	
-2300	160000	3	69	7	14	9	2	325	
-2250	160000	3	69	6	14	9	2	334	
-2200	130000	2	52	5	11	8	1	331	
-2150	70000	2	52	4	10	8	1	339	
-2100	10000	1	18	2	5	0	0	342	
-2050	10000	1	18	2	5	5	0	349	
-2000	10000	1	18	2	5	5	0	354	
-1950	10000	1	18	2	5	5	0	359	
-1900	10000	1	18	2	7	7	0	364	
-1850	10000	1	18	2	7	7	0	371	
-1800	10000	1	18	2	7	7	0	378	
-1750	30000	1	18	2	8	8	0	385	
-1700	0	0	0	0	0	0	0	393	
