
#x69815578
FC-Player-ManuelA.OdrÃ­a
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	38	1	3	4	1	54	
-3900	10000	1	38	1	3	4	1	58	
-3850	10000	1	38	1	3	4	1	62	
-3800	20000	2	64	3	6	5	2	67	
-3750	20000	2	64	3	6	5	2	72	
-3700	20000	2	64	3	6	5	2	77	
-3650	20000	2	64	3	6	5	2	82	
-3600	20000	2	64	3	6	5	2	87	
-3550	20000	2	64	3	6	5	2	92	
-3500	20000	2	64	3	6	5	2	97	
-3450	20000	2	64	3	6	5	2	102	
-3400	20000	2	64	3	6	5	2	107	
-3350	40000	2	64	3	7	5	3	112	
-3300	40000	2	64	3	7	5	3	117	
-3250	40000	2	64	3	7	5	3	122	
-3200	20000	2	64	2	6	5	2	127	
-3150	20000	2	64	2	6	5	2	132	
-3100	20000	2	64	2	6	5	2	137	
-3050	20000	2	64	2	6	5	2	142	
-3000	50000	3	88	5	9	5	2	147	
-2950	50000	3	88	5	9	5	2	152	
-2900	50000	3	88	5	9	5	2	157	
-2850	50000	3	88	5	9	5	2	162	
-2800	50000	3	88	5	9	5	2	167	
-2750	70000	3	88	5	10	5	4	172	
-2700	70000	3	88	5	10	5	4	177	
-2650	70000	3	88	5	10	5	4	182	
-2600	50000	3	85	4	9	5	3	187	
-2550	70000	3	85	4	10	5	3	192	
-2500	70000	3	85	4	10	5	3	197	
-2450	80000	4	90	7	12	5	4	202	
-2400	60000	4	90	6	11	5	4	207	
-2350	60000	4	87	6	11	5	4	212	
-2300	60000	4	84	6	11	5	4	217	
-2250	60000	4	84	6	11	5	4	222	
-2200	60000	4	84	6	11	5	4	227	
-2150	80000	4	84	6	12	5	5	232	
-2100	90000	5	88	9	14	5	6	237	
-2050	90000	5	88	9	14	5	6	242	
-2000	90000	5	87	7	15	6	5	247	
-1950	90000	5	87	7	15	6	5	253	
-1900	80000	4	60	5	11	6	4	251	
-1850	80000	4	48	7	9	6	4	258	
-1800	50000	3	44	6	7	6	3	249	
-1750	50000	3	44	6	7	6	3	255	
-1700	50000	3	44	6	7	6	3	261	
-1650	70000	3	44	5	9	6	3	267	
-1600	40000	2	35	4	4	5	2	269	
-1550	60000	2	35	4	5	5	2	274	
-1500	90000	2	36	3	9	9	3	279	
-1450	90000	2	36	3	9	9	3	288	
-1400	90000	2	36	3	9	9	3	297	
-1350	90000	2	36	3	9	9	3	306	
-1300	90000	2	36	3	9	9	3	315	
-1250	90000	2	36	3	9	9	3	324	
-1200	90000	2	36	3	9	9	3	333	
-1150	90000	2	36	1	16	16	2	342	
-1100	60000	2	35	4	5	5	2	358	
-1050	90000	2	35	4	5	5	3	363	
-1000	90000	2	35	4	5	5	3	368	
-975	10000	1	21	1	3	4	1	366	
-950	0	0	0	0	0	0	0	370	
