
#x69815678
FC-Player-ZiaurRahman
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	38	1	5	6	2	56	
-3900	10000	1	38	1	5	6	2	62	
-3850	10000	1	38	1	5	6	2	68	
-3800	10000	1	38	1	5	6	2	74	
-3750	20000	2	48	4	6	7	3	81	
-3700	20000	2	48	4	6	7	3	88	
-3650	20000	2	48	4	6	7	3	95	
-3600	20000	2	48	4	6	7	3	102	
-3550	20000	2	48	4	6	7	3	109	
-3500	20000	2	48	4	6	7	3	116	
-3450	40000	2	48	4	6	7	4	123	
-3400	40000	2	48	4	6	7	4	130	
-3350	40000	2	48	4	6	7	4	137	
-3300	40000	2	48	4	6	7	4	144	
-3250	40000	2	48	4	6	7	4	151	
-3200	40000	2	48	4	6	7	4	158	
-3150	40000	2	48	4	6	7	4	165	
-3100	40000	2	48	4	6	7	4	172	
-3050	40000	2	48	4	6	7	4	179	
-3000	60000	2	48	3	9	10	4	186	
-2950	90000	2	49	2	11	11	4	197	
-2900	90000	2	49	2	11	11	4	208	
-2850	90000	2	49	2	11	11	4	219	
-2800	90000	2	49	2	11	11	4	230	
-2750	90000	2	49	2	11	11	4	241	
-2700	90000	2	49	2	11	11	4	252	
-2650	90000	2	49	2	11	11	4	263	
-2600	90000	2	49	2	11	11	4	274	
-2550	60000	2	48	2	9	10	4	284	
-2500	60000	2	48	2	9	10	4	294	
-2450	60000	2	48	2	9	10	4	304	
-2400	60000	2	47	2	9	10	4	314	
-2350	70000	3	49	5	11	10	5	324	
-2300	70000	3	49	5	11	10	5	334	
-2250	100000	3	50	4	13	11	5	345	
-2200	100000	3	50	4	13	11	5	356	
-2150	100000	3	50	4	13	12	5	367	
-2100	100000	3	50	4	13	12	5	379	
-2050	100000	3	50	4	13	12	5	391	
-2000	100000	3	50	4	13	12	5	403	
-1950	40000	2	32	2	10	10	3	403	
-1900	60000	2	32	2	10	10	4	413	
-1850	60000	2	32	2	10	10	4	423	
-1800	60000	2	32	2	10	10	4	433	
-1750	40000	2	32	3	7	7	4	443	
-1700	30000	1	10	2	3	1	2	450	
-1650	30000	1	16	2	3	1	2	451	
-1600	0	0	0	0	0	0	0	433	
-1550	0	0	0	0	0	0	0	433	
-1500	0	0	0	0	0	0	0	433	
-1450	0	0	0	0	0	0	0	433	
