
#x69814c78
FC-Player-Parameswara
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	43	3	1	2	2	52	
-3900	10000	1	43	3	1	2	2	54	
-3850	10000	1	43	3	1	2	2	56	
-3800	10000	1	43	3	1	2	2	58	
-3750	20000	2	67	6	2	2	3	60	
-3700	20000	2	67	6	2	2	3	62	
-3650	40000	2	67	4	9	9	2	64	
-3600	40000	2	67	4	9	9	2	73	
-3550	40000	2	67	4	9	9	2	82	
-3500	40000	2	67	4	9	9	2	91	
-3450	60000	2	67	4	9	9	2	100	
-3400	60000	2	67	4	9	9	2	109	
-3350	60000	2	67	4	9	9	2	118	
-3300	60000	2	67	4	9	9	2	127	
-3250	60000	2	67	4	9	9	2	136	
-3200	60000	2	67	4	9	9	2	145	
-3150	60000	2	67	4	9	9	2	154	
-3100	60000	2	67	4	9	9	2	163	
-3050	60000	2	67	4	9	9	2	172	
-3000	60000	2	67	4	9	9	2	181	
-2950	90000	2	68	4	9	10	2	190	
-2900	90000	2	68	4	9	10	2	200	
-2850	90000	2	68	4	9	10	2	210	
-2800	90000	2	68	4	9	10	2	220	
-2750	90000	2	68	4	9	10	2	230	
-2700	90000	2	68	4	9	10	2	240	
-2650	90000	2	68	4	9	10	2	250	
-2600	90000	2	68	4	9	10	2	260	
-2550	90000	2	68	4	9	10	2	270	
-2500	90000	2	68	4	9	10	2	280	
-2450	90000	2	68	4	9	10	2	290	
-2400	90000	2	68	4	9	10	2	300	
-2350	90000	2	68	4	9	10	2	310	
-2300	90000	2	68	4	9	10	2	320	
-2250	130000	2	68	3	10	10	2	330	
-2200	130000	2	68	3	10	10	2	340	
-2150	160000	2	71	3	10	11	3	351	
-2100	160000	2	71	3	10	11	3	362	
-2050	160000	2	71	3	10	11	3	373	
-2000	120000	2	71	3	9	11	3	384	
-1950	120000	2	71	3	9	11	3	395	
-1900	120000	2	71	3	9	11	3	406	
-1850	120000	2	71	3	9	11	3	417	
-1800	120000	2	71	3	9	11	3	428	
-1750	120000	2	71	3	9	11	3	439	
-1700	130000	3	118	7	11	11	4	450	
-1650	130000	3	118	7	11	11	4	461	
-1600	130000	3	118	7	11	11	4	472	
-1550	130000	3	118	7	11	11	4	483	
-1500	130000	3	116	7	11	11	4	494	
-1450	130000	3	114	7	11	11	4	505	
-1400	190000	3	114	6	13	11	5	516	
-1350	190000	3	114	6	13	11	5	527	
-1300	190000	3	114	6	13	11	5	538	
-1250	190000	3	114	6	14	11	5	549	
-1200	190000	3	114	6	14	11	5	560	
-1150	190000	3	114	6	14	11	5	571	
-1100	190000	3	114	6	14	11	5	582	
-1050	190000	3	114	6	14	11	5	593	
-1000	190000	3	114	6	13	11	5	604	
-975	190000	3	114	6	13	11	5	615	
-950	190000	3	114	6	13	11	5	626	
-925	160000	2	70	3	10	11	4	620	
-900	160000	2	71	3	10	11	4	631	
-875	160000	2	71	3	10	11	4	642	
-850	120000	2	70	3	9	11	3	653	
-825	60000	1	34	1	8	10	2	624	
-800	0	0	0	0	0	0	0	606	
