
#x69815878
FC-Player-TajAl-DinAl-Hasani
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	40	1	3	4	2	54	
-3900	10000	1	40	1	3	4	2	58	
-3850	10000	1	40	1	3	4	2	62	
-3800	10000	1	40	1	3	4	2	66	
-3750	10000	1	40	1	3	4	2	70	
-3700	20000	2	62	4	4	5	3	75	
-3650	20000	2	61	4	4	5	3	80	
-3600	20000	2	61	4	4	5	3	85	
-3550	20000	2	61	4	4	5	3	90	
-3500	20000	2	61	4	4	5	3	95	
-3450	20000	2	59	4	4	5	3	100	
-3400	40000	2	61	3	6	5	3	105	
-3350	40000	2	61	3	6	5	3	110	
-3300	40000	2	61	3	6	5	3	115	
-3250	40000	2	60	3	6	5	3	120	
-3200	40000	2	60	3	6	5	3	125	
-3150	40000	2	60	3	6	5	3	130	
-3100	40000	2	60	3	6	5	3	135	
-3050	40000	2	60	3	6	5	3	140	
-3000	60000	2	60	3	6	6	4	146	
-2950	60000	2	60	3	6	6	4	152	
-2900	60000	2	60	3	6	6	4	158	
-2850	60000	2	60	2	6	6	4	164	
-2800	60000	2	59	2	6	6	4	170	
-2750	60000	2	59	2	6	6	4	176	
-2700	60000	2	59	2	8	6	4	182	
-2650	70000	3	63	5	10	6	5	188	
-2600	70000	3	63	5	10	6	5	194	
-2550	70000	3	63	5	10	6	5	200	
-2500	70000	3	63	5	10	6	5	206	
-2450	70000	3	63	5	10	6	5	212	
-2400	70000	3	63	5	10	6	5	218	
-2350	50000	3	62	5	6	6	5	224	
-2300	50000	3	62	5	6	6	5	230	
-2250	70000	3	62	4	10	6	5	236	
-2200	90000	3	62	4	11	7	5	243	
-2150	90000	3	62	4	12	7	5	250	
-2100	90000	3	62	4	12	7	5	257	
-2050	100000	4	75	6	15	7	5	264	
-2000	100000	4	75	6	15	7	5	271	
-1950	100000	4	75	6	15	7	5	278	
-1900	80000	4	75	5	14	6	5	284	
-1850	80000	4	75	5	14	6	5	290	
-1800	80000	4	75	5	14	6	5	296	
-1750	80000	4	75	5	14	6	5	302	
-1700	90000	5	79	8	15	7	6	309	
-1650	90000	5	79	8	15	7	6	316	
-1600	110000	5	79	8	16	8	6	324	
-1550	110000	5	79	8	16	8	6	332	
-1500	140000	5	81	8	16	8	6	340	
-1450	140000	5	81	8	16	8	6	348	
-1400	170000	5	81	8	16	8	6	356	
-1350	170000	5	81	8	16	8	6	364	
-1300	170000	5	81	8	16	8	6	372	
-1250	190000	5	81	7	18	8	6	380	
-1200	190000	5	81	7	18	8	6	388	
-1150	190000	5	81	6	18	8	7	396	
-1100	180000	4	66	5	15	8	7	381	
-1050	180000	4	66	5	15	8	7	389	
-1000	180000	4	66	5	15	8	7	397	
-975	120000	3	50	4	10	7	5	397	
-950	90000	2	40	2	6	6	4	399	
-925	90000	2	40	2	6	6	4	405	
-900	90000	2	40	2	6	6	4	411	
-875	90000	2	40	2	6	6	4	417	
-850	90000	2	40	2	6	6	4	423	
-825	90000	2	40	2	6	6	4	429	
-800	90000	2	39	2	6	6	4	435	
-775	90000	2	39	2	6	6	4	441	
-750	90000	2	39	2	6	6	4	447	
-725	60000	1	30	1	3	5	3	427	
-700	60000	1	30	1	3	5	3	432	
-675	60000	1	30	1	3	5	3	437	
-650	60000	1	30	1	3	5	3	442	
-625	60000	1	30	0	7	8	2	447	
-600	60000	1	30	0	7	8	2	455	
-575	60000	1	30	0	7	8	2	463	
-550	60000	1	30	0	7	8	2	471	
-525	0	0	0	0	0	0	0	479	
