
#x69815a78
FC-Player-L.L.ZAMENHOF
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	32	2	3	4	1	54	
-3900	10000	1	32	2	3	4	1	58	
-3850	10000	1	32	2	3	4	1	62	
-3800	20000	2	55	5	5	4	2	66	
-3750	20000	2	55	5	5	4	2	70	
-3700	20000	2	55	5	5	4	2	74	
-3650	20000	2	55	5	5	4	2	78	
-3600	20000	2	55	5	5	4	2	82	
-3550	20000	2	55	5	5	5	2	86	
-3500	60000	2	55	4	9	7	3	91	
-3450	60000	2	55	4	9	7	3	98	
-3400	60000	2	55	4	9	7	3	105	
-3350	60000	2	55	4	9	7	3	112	
-3300	60000	2	55	4	10	7	3	119	
-3250	60000	2	54	4	10	7	3	126	
-3200	40000	2	52	4	8	7	3	133	
-3150	40000	2	52	4	8	7	3	140	
-3100	40000	2	52	4	8	7	3	147	
-3050	40000	2	52	5	7	7	3	154	
-3000	70000	3	58	7	10	8	4	162	
-2950	70000	3	58	7	10	8	4	170	
-2900	70000	3	60	7	10	8	4	178	
-2850	70000	3	60	7	10	8	4	186	
-2800	70000	3	60	7	10	8	4	194	
-2750	100000	3	62	6	13	11	4	202	
-2700	100000	3	62	6	13	11	4	213	
-2650	100000	3	62	6	13	11	4	224	
-2600	100000	3	62	5	13	11	4	235	
-2550	120000	3	63	4	15	11	5	246	
-2500	120000	3	63	4	15	11	5	257	
-2450	120000	3	63	4	15	11	5	268	
-2400	120000	3	63	4	15	11	5	279	
-2350	130000	4	68	6	17	11	6	290	
-2300	130000	4	68	7	17	11	6	301	
-2250	130000	4	68	7	17	11	6	312	
-2200	130000	4	68	7	17	11	6	323	
-2150	130000	4	68	7	17	11	6	334	
-2100	130000	4	68	6	17	11	6	345	
-2050	110000	4	68	6	15	11	5	356	
-2000	110000	4	67	6	15	11	5	367	
-1950	110000	4	67	6	15	11	5	378	
-1900	110000	4	67	7	15	11	5	389	
-1850	120000	5	93	10	16	12	6	401	
-1800	120000	5	93	10	16	12	6	413	
-1750	120000	5	93	10	16	12	6	425	
-1700	120000	5	93	10	16	12	6	437	
-1650	140000	5	94	9	18	13	6	450	
-1600	140000	5	94	9	18	13	6	463	
-1550	160000	5	94	8	20	13	6	476	
-1500	210000	5	95	6	23	16	6	488	
-1450	210000	5	95	6	23	16	6	504	
-1400	230000	5	95	5	25	16	6	520	
-1350	230000	5	95	5	25	16	6	536	
-1300	230000	5	95	5	25	16	6	552	
-1250	240000	6	97	8	26	17	7	569	
-1200	240000	6	97	8	26	17	7	586	
-1150	240000	6	97	8	26	17	7	603	
-1100	240000	6	97	8	26	17	7	620	
-1050	240000	6	97	8	26	17	7	637	
-1000	240000	6	97	8	26	17	7	654	
-975	260000	6	97	7	28	18	7	672	
-950	260000	6	97	7	29	18	7	690	
-925	260000	6	97	7	29	18	7	708	
-900	260000	6	97	7	29	18	7	726	
-875	300000	6	97	6	30	18	7	744	
-850	300000	6	97	6	30	18	7	762	
-825	300000	6	97	6	30	18	7	780	
-800	300000	6	97	6	30	18	7	798	
-775	300000	6	97	6	30	18	7	816	
-750	300000	6	97	6	30	18	7	834	
-725	300000	6	97	6	30	18	7	852	
-700	300000	6	97	6	30	18	7	870	
-675	300000	6	97	6	30	18	8	888	
-650	320000	6	97	5	32	18	8	906	
-625	320000	6	97	5	32	18	8	924	
-600	330000	7	105	8	33	19	9	943	
-575	330000	7	105	8	33	19	9	962	
-550	330000	7	105	9	33	19	9	981	
-525	330000	7	105	9	33	19	9	1000	
-500	330000	7	104	9	33	19	9	1019	
-475	330000	7	104	9	33	19	9	1038	
-450	360000	7	107	8	32	19	10	1057	
-425	260000	6	85	5	27	18	8	1044	
-400	230000	5	81	5	23	17	7	1001	
-375	250000	5	81	4	25	17	7	1018	
-350	250000	5	81	4	25	17	7	1035	
-325	250000	5	81	4	25	17	7	1052	
-300	250000	5	81	4	25	17	7	1069	
-275	250000	5	81	4	25	17	7	1086	
-250	250000	5	81	4	25	17	7	1103	
-225	280000	5	81	3	25	17	7	1120	
-200	280000	5	81	3	25	17	7	1137	
-175	280000	5	81	3	25	17	7	1154	
-150	280000	5	81	3	25	17	7	1171	
-125	240000	5	81	4	21	13	7	1188	
-100	240000	5	81	4	21	13	7	1201	
-75	180000	4	64	2	15	4	6	1188	
-50	160000	4	64	3	14	9	6	1199	
-25	150000	3	51	1	12	9	5	1208	
1	150000	3	58	1	12	9	5	1217	
20	150000	3	58	1	12	9	5	1226	
40	150000	3	58	1	12	9	5	1235	
60	150000	3	58	1	12	9	5	1244	
80	150000	3	58	1	12	9	5	1253	
100	150000	3	58	1	12	9	5	1262	
120	150000	3	58	1	12	9	5	1271	
140	150000	3	58	1	12	9	5	1280	
160	150000	3	58	1	12	9	5	1289	
180	150000	3	58	1	12	9	5	1298	
200	150000	3	58	1	12	9	5	1307	
220	150000	3	58	1	12	9	5	1316	
240	150000	3	58	1	12	9	5	1325	
260	150000	3	58	1	12	9	5	1334	
280	150000	3	58	1	12	9	5	1343	
300	150000	3	58	1	11	9	5	1352	
320	150000	3	58	1	11	9	5	1361	
340	150000	3	55	1	11	9	5	1370	
360	150000	3	55	1	11	9	5	1379	
380	150000	3	55	1	11	9	5	1388	
400	150000	3	55	1	11	9	5	1397	
420	150000	3	55	1	11	9	5	1406	
440	190000	3	56	0	13	9	5	1415	
460	190000	3	54	0	13	9	5	1424	
480	190000	3	54	0	13	9	5	1433	
500	190000	3	54	0	12	9	5	1442	
