
#x69814978
FC-Player-Agenor
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	20	2	3	4	1	54	
-3900	10000	1	20	2	3	4	1	58	
-3850	10000	1	20	2	3	4	1	62	
-3800	20000	2	28	5	4	4	2	66	
-3750	20000	2	28	5	4	4	2	70	
-3700	20000	2	28	5	4	4	2	74	
-3650	20000	2	28	5	4	4	2	78	
-3600	20000	2	28	5	4	4	2	82	
-3550	20000	2	27	5	4	5	2	86	
-3500	60000	2	27	4	8	7	3	91	
-3450	60000	2	27	4	8	7	3	98	
-3400	60000	2	27	4	8	7	3	105	
-3350	60000	2	27	4	8	7	3	112	
-3300	60000	2	27	4	8	7	3	119	
-3250	60000	2	27	4	8	7	3	126	
-3200	60000	2	27	4	8	7	3	133	
-3150	60000	2	24	4	8	7	3	140	
-3100	60000	2	24	4	8	7	3	147	
-3050	60000	2	24	4	8	7	4	154	
-3000	60000	2	24	4	8	7	4	161	
-2950	60000	2	24	3	8	7	4	168	
-2900	60000	2	24	3	8	7	4	175	
-2850	60000	2	24	3	8	7	4	182	
-2800	60000	2	24	4	8	7	4	189	
-2750	90000	2	25	3	11	10	4	196	
-2700	90000	2	24	3	11	10	4	206	
-2650	90000	2	24	3	11	10	4	216	
-2600	90000	2	24	3	11	10	4	226	
-2550	90000	2	24	3	11	10	4	236	
-2500	90000	2	24	3	11	10	4	246	
-2450	90000	2	24	3	11	10	4	256	
-2400	90000	2	24	3	11	10	4	266	
-2350	90000	2	24	3	11	10	4	276	
-2300	90000	2	24	3	11	10	4	286	
-2250	70000	2	24	3	9	10	3	296	
-2200	70000	2	24	3	9	10	3	306	
-2150	70000	2	24	3	9	10	3	316	
-2100	70000	2	24	3	9	10	3	326	
-2050	70000	2	24	3	9	10	3	336	
-2000	70000	2	24	3	9	10	3	346	
-1950	90000	2	24	3	9	10	3	356	
-1900	90000	2	24	3	9	10	3	366	
-1850	90000	2	24	3	9	10	3	376	
-1800	90000	2	24	3	9	10	3	386	
-1750	130000	2	24	3	9	11	4	397	
-1700	130000	2	24	3	9	11	4	408	
-1650	130000	2	24	3	9	11	4	419	
-1600	130000	2	24	3	9	11	4	430	
-1550	130000	2	24	3	9	11	4	441	
-1500	130000	2	24	3	9	11	4	452	
-1450	130000	2	24	3	9	11	4	463	
-1400	130000	2	24	3	9	11	4	474	
-1350	130000	2	24	3	9	11	4	485	
-1300	130000	2	24	3	9	11	4	496	
-1250	130000	2	24	3	9	11	4	507	
-1200	130000	2	24	3	9	11	4	518	
-1150	130000	2	24	3	9	11	4	529	
-1100	130000	2	24	3	9	11	4	540	
-1050	130000	2	24	3	9	11	4	551	
-1000	130000	2	24	3	9	11	4	562	
-975	130000	2	24	3	9	11	4	573	
-950	130000	2	24	3	9	11	4	584	
-925	130000	2	24	3	9	11	4	595	
-900	130000	2	24	3	9	11	4	606	
-875	130000	2	24	3	9	11	4	617	
-850	130000	2	24	3	9	11	4	628	
-825	130000	2	24	3	9	11	4	639	
-800	130000	2	24	3	9	11	4	650	
-775	130000	2	24	3	9	11	4	661	
-750	180000	2	24	2	6	8	4	672	
-725	210000	2	24	2	6	8	5	680	
-700	210000	2	24	2	6	8	5	688	
-675	180000	2	24	2	6	8	4	696	
-650	100000	1	16	3	5	7	3	667	
-625	0	0	0	0	0	0	0	649	
-600	0	0	0	0	0	0	0	649	
