
DESKTOP-5L122IC
FC-Player-JoséArtigas
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	24	1	5	1	1	51	
-3900	10000	1	24	1	5	1	1	52	
-3850	10000	1	24	1	5	1	1	53	
-3800	10000	1	24	1	5	1	1	54	
-3750	10000	1	24	1	5	1	1	55	
-3700	10000	1	24	1	5	1	1	56	
-3650	20000	2	50	3	7	2	2	58	
-3600	20000	2	50	3	7	2	2	60	
-3550	20000	2	50	3	7	2	2	62	
-3500	20000	2	50	3	7	2	2	64	
-3450	20000	2	50	3	7	2	2	66	
-3400	20000	2	50	3	7	2	2	68	
-3350	20000	2	49	3	7	2	2	70	
-3300	20000	2	49	3	7	2	2	72	
-3250	20000	2	49	3	7	2	2	74	
-3200	40000	2	50	2	9	2	3	76	
-3150	40000	2	50	2	9	2	3	78	
-3100	40000	2	50	2	9	2	3	80	
-3050	40000	2	50	2	9	2	3	82	
-3000	60000	2	50	1	12	2	4	84	
-2950	20000	2	50	1	7	2	2	86	
-2900	20000	2	48	1	7	2	2	88	
-2850	20000	2	48	1	7	2	2	90	
-2800	30000	3	73	4	9	3	3	93	
-2750	30000	3	73	4	9	3	3	96	
-2700	30000	3	73	4	9	3	3	99	
-2650	30000	3	73	4	9	3	3	102	
-2600	30000	3	73	4	9	3	3	105	
-2550	30000	3	73	4	9	3	3	108	
-2500	30000	3	73	4	8	3	3	111	
-2450	40000	4	97	7	9	5	4	123	
-2400	40000	4	97	7	9	5	4	128	
-2350	80000	4	97	6	11	5	6	133	
-2300	80000	4	97	6	11	5	6	138	
-2250	80000	4	97	6	12	5	6	143	
-2200	80000	4	97	6	12	5	6	148	
-2150	80000	4	97	6	12	5	6	153	
-2100	80000	4	96	6	11	5	6	158	
-2050	80000	4	98	6	12	5	6	163	
-2000	100000	4	98	6	13	5	6	168	
-1950	100000	4	98	6	13	5	6	173	
-1900	100000	4	97	6	13	5	6	178	
-1850	120000	4	97	5	16	5	7	183	
-1800	120000	4	97	5	16	5	7	188	
-1750	120000	4	97	5	17	4	7	192	
-1700	120000	4	97	5	17	4	7	196	
-1650	120000	4	97	5	17	4	7	200	
-1600	150000	4	99	4	19	2	7	202	
-1550	150000	4	99	4	19	2	7	204	
-1500	150000	4	99	4	19	2	7	206	
-1450	150000	4	99	4	19	2	7	208	
-1400	150000	4	98	4	19	1	7	209	
-1350	150000	4	98	4	19	1	7	210	
-1300	150000	4	98	4	19	1	7	211	
-1250	180000	4	98	3	21	9	7	236	
-1200	180000	4	98	3	21	8	7	244	
-1150	150000	4	99	4	19	8	7	252	
-1100	150000	4	99	4	19	8	7	260	
-1050	150000	4	99	4	19	0	7	260	
-1000	150000	4	99	4	19	0	7	196	
-975	150000	4	99	4	19	0	7	196	
-950	150000	4	99	4	18	0	7	196	
-925	180000	4	102	4	18	0	7	196	
-900	180000	4	102	4	18	0	7	196	
-875	180000	4	102	4	18	0	7	196	
-850	180000	4	102	4	17	0	7	196	
-825	180000	4	101	4	16	0	7	196	
-800	210000	4	103	3	18	0	7	196	
-775	210000	4	103	3	18	0	7	196	
-750	210000	4	103	3	18	0	7	196	
-725	210000	4	103	3	17	0	7	196	
-700	210000	4	103	3	17	5	7	201	
-675	210000	4	103	3	18	5	7	206	
-650	210000	4	103	3	20	0	7	206	
-625	210000	4	103	3	20	5	7	211	
-600	210000	4	103	3	19	4	7	215	
-575	210000	4	100	3	18	10	7	226	
-550	210000	4	100	3	18	10	7	236	
-525	210000	4	100	3	18	10	7	246	
-500	210000	4	100	3	18	13	7	263	
-475	210000	4	96	3	18	8	7	271	
-450	220000	5	117	5	20	8	8	280	
-425	220000	5	117	5	20	8	8	288	
-400	220000	5	117	5	20	-1	8	287	
-375	220000	5	117	5	20	-1	8	286	
-350	220000	5	117	5	19	-1	8	285	
-325	220000	5	113	5	19	-1	8	284	
-300	240000	5	118	5	19	0	8	284	
-275	240000	5	118	5	19	0	8	284	
-250	240000	5	118	5	19	0	8	284	
-225	240000	5	118	5	19	0	8	284	
-200	240000	5	118	5	19	0	8	284	
-175	240000	5	118	5	18	0	8	284	
-150	220000	5	118	5	18	1	8	286	
-125	250000	4	96	2	16	1	7	287	
-100	250000	4	100	2	16	6	7	296	
-75	250000	4	100	2	17	-1	7	295	
-50	250000	4	100	2	17	-1	7	294	
-25	250000	4	100	2	17	-1	7	293	
1	250000	4	97	2	16	-1	7	292	
