
DESKTOP-5L122IC
FC-Player-Awashish
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	0	0	0	0	0	0	0	50	
-3900	10000	1	23	3	3	0	1	50	
-3850	10000	1	23	3	3	0	1	50	
-3800	10000	1	23	3	3	0	1	50	
-3750	10000	1	23	3	3	0	1	50	
-3700	20000	2	50	6	5	1	2	51	
-3650	20000	2	50	6	5	1	2	52	
-3600	40000	2	50	5	9	1	2	53	
-3550	40000	2	50	5	9	1	2	54	
-3500	40000	2	50	5	9	1	2	55	
-3450	20000	2	50	5	5	1	2	56	
-3400	40000	2	50	5	6	1	2	57	
-3350	40000	2	50	5	6	1	2	58	
-3300	40000	2	50	5	6	1	2	59	
-3250	40000	2	50	5	6	1	2	60	
-3200	40000	2	50	5	6	1	2	61	
-3150	40000	2	50	5	6	1	2	62	
-3100	70000	3	78	7	12	2	3	64	
-3050	70000	3	78	7	12	2	3	66	
-3000	70000	3	78	7	12	2	3	68	
-2950	50000	3	78	6	8	2	3	70	
-2900	50000	3	78	6	8	2	3	72	
-2850	50000	3	78	6	8	2	3	74	
-2800	50000	3	78	6	8	2	3	76	
-2750	50000	3	78	6	8	2	3	78	
-2700	60000	4	89	9	9	2	4	80	
-2650	80000	4	89	9	9	2	4	82	
-2600	100000	4	89	8	13	2	4	84	
-2550	110000	5	108	11	15	2	5	86	
-2500	110000	5	108	11	15	2	5	88	
-2450	110000	5	108	11	15	1	5	89	
-2400	110000	5	108	11	15	1	5	90	
-2350	140000	5	108	11	15	1	6	91	
-2300	140000	5	108	11	15	0	6	91	
-2250	160000	5	108	10	17	0	6	91	
-2200	160000	5	108	10	18	0	6	91	
-2150	160000	5	108	10	18	0	6	91	
-2100	180000	5	109	10	19	0	6	91	
-2050	180000	5	108	10	19	0	6	91	
-2000	180000	5	108	10	19	0	6	91	
-1950	180000	5	108	10	19	-1	6	90	
-1900	210000	5	107	10	19	-1	7	89	
-1850	240000	5	106	9	22	-2	7	87	
-1800	240000	5	106	9	22	-2	7	85	
-1750	240000	5	106	9	22	-3	7	82	
-1700	240000	5	106	9	22	-3	7	79	
-1650	280000	5	106	7	26	-2	6	77	
-1600	280000	5	106	7	26	-2	6	75	
-1550	280000	5	106	7	25	-2	6	73	
-1500	280000	5	106	7	25	7	6	80	
-1450	280000	5	103	7	25	7	6	87	
-1400	280000	5	103	7	25	7	6	94	
-1350	310000	5	103	8	26	7	6	101	
-1300	310000	5	103	8	26	8	6	108	
-1250	310000	5	103	8	26	8	6	116	
-1200	310000	5	103	8	26	8	6	124	
-1150	310000	5	103	8	26	8	6	132	
-1100	310000	5	103	8	26	8	6	140	
-1050	340000	5	103	7	28	8	6	148	
-1000	340000	5	103	7	28	8	6	156	
-975	340000	5	103	7	28	8	6	164	
-950	340000	5	103	7	28	8	6	172	
-925	340000	5	103	7	28	8	6	180	
-900	340000	5	103	7	28	8	6	188	
-875	340000	5	103	7	28	8	6	196	
-850	340000	5	103	7	28	8	6	204	
-825	340000	5	103	7	28	8	6	212	
-800	340000	5	103	7	26	8	6	220	
-775	340000	5	103	7	25	8	6	228	
-750	340000	5	103	7	25	8	6	236	
-725	340000	5	103	7	26	8	6	244	
-700	390000	5	103	6	28	8	6	252	
-675	430000	5	104	6	30	8	6	260	
-650	430000	5	104	5	31	9	6	268	
-625	430000	5	104	5	30	9	6	277	
-600	430000	5	104	5	29	9	6	286	
-575	430000	5	104	5	29	9	6	295	
-550	470000	5	104	5	29	9	7	304	
-525	470000	5	104	5	29	9	7	313	
-500	470000	5	104	5	28	9	7	322	
-475	470000	5	104	5	26	9	7	331	
-450	470000	5	104	5	25	9	7	340	
-425	510000	5	104	5	25	10	7	350	
-400	510000	5	104	5	25	10	7	360	
-375	510000	5	104	5	24	10	7	370	
-350	510000	5	104	5	24	10	7	380	
-325	510000	5	104	5	24	10	7	390	
-300	510000	5	106	5	24	10	7	400	
-275	510000	5	106	5	23	10	7	410	
-250	510000	5	106	5	23	10	7	420	
-225	510000	5	106	5	22	10	7	430	
-200	510000	5	106	5	22	10	7	440	
-175	510000	5	106	5	22	10	7	450	
-150	510000	5	107	5	22	10	7	460	
-125	510000	5	107	5	22	10	7	436	
-100	510000	5	107	5	22	10	7	446	
-75	510000	5	106	5	21	9	7	456	
-50	510000	5	106	5	20	13	7	481	
-25	550000	5	106	5	20	13	7	494	
1	550000	5	106	5	19	13	7	507	
