
DESKTOP-5L122IC
FC-Player-GiorgiIII
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	32	1	7	0	0	50	
-3900	10000	1	32	1	7	0	0	50	
-3850	10000	1	32	1	7	0	0	50	
-3800	20000	2	37	3	9	1	1	51	
-3750	20000	2	37	3	9	1	1	52	
-3700	20000	2	37	3	9	1	1	53	
-3650	20000	2	37	3	9	1	1	54	
-3600	20000	2	37	3	9	1	1	55	
-3550	20000	2	37	3	9	1	1	56	
-3500	20000	2	37	3	9	1	1	57	
-3450	20000	2	37	3	9	1	1	58	
-3400	20000	2	37	3	9	1	1	59	
-3350	40000	2	37	3	9	1	2	60	
-3300	40000	2	37	3	9	1	2	61	
-3250	40000	2	37	3	9	1	2	62	
-3200	40000	2	37	3	9	1	2	63	
-3150	40000	2	37	3	9	1	2	64	
-3100	40000	2	37	3	9	1	2	65	
-3050	40000	2	37	3	9	1	2	66	
-3000	60000	2	37	2	12	1	2	67	
-2950	40000	2	37	2	9	1	2	68	
-2900	40000	2	37	2	9	1	2	69	
-2850	20000	2	37	1	9	1	1	70	
-2800	40000	2	37	1	9	1	2	71	
-2750	40000	2	37	1	9	1	2	72	
-2700	40000	2	37	1	9	1	2	73	
-2650	50000	3	66	4	12	1	3	74	
-2600	50000	3	66	4	12	1	3	75	
-2550	50000	3	66	4	12	1	3	76	
-2500	60000	4	80	7	13	2	4	78	
-2450	60000	4	80	7	15	1	4	79	
-2400	60000	4	80	7	15	1	4	80	
-2350	60000	4	80	7	15	1	4	81	
-2300	60000	4	80	7	15	1	4	82	
-2250	60000	4	80	7	15	1	4	83	
-2200	80000	4	80	8	14	1	5	84	
-2150	80000	4	80	8	14	1	5	85	
-2100	80000	4	80	8	14	1	5	86	
-2050	80000	4	80	7	13	2	5	88	
-2000	80000	4	80	7	13	2	5	90	
-1950	100000	4	80	6	16	2	5	92	
-1900	110000	4	80	5	15	3	5	95	
-1850	90000	4	80	4	15	2	5	97	
-1800	90000	4	80	4	14	2	5	99	
-1750	100000	5	98	7	17	1	6	100	
-1700	120000	5	98	8	19	6	6	171	
-1650	120000	5	98	8	19	6	6	177	
-1600	120000	5	98	8	19	6	6	183	
-1550	140000	5	98	8	20	6	6	189	
-1500	140000	5	92	9	20	6	6	195	
-1450	140000	5	98	9	20	6	6	201	
-1400	140000	5	98	9	20	6	6	207	
-1350	180000	5	98	8	23	10	7	214	
-1300	180000	5	98	8	23	14	7	230	
-1250	180000	5	98	8	23	14	7	244	
-1200	180000	5	98	8	23	13	7	257	
-1150	180000	5	98	8	23	12	7	223	
-1100	180000	5	98	8	23	12	7	235	
-1050	210000	5	98	8	23	13	7	248	
-1000	210000	5	98	8	23	13	7	261	
-975	210000	5	98	8	23	13	7	274	
-950	210000	5	98	8	23	13	7	287	
-925	210000	5	98	8	23	0	7	287	
-900	240000	5	98	7	25	1	7	288	
-875	240000	5	98	7	25	1	7	289	
-850	240000	5	98	7	25	1	7	290	
-825	240000	5	98	7	25	1	7	291	
-800	270000	5	98	6	26	1	7	292	
-775	270000	5	98	6	25	1	7	293	
-750	270000	5	98	6	25	1	7	294	
-725	270000	5	98	6	25	1	7	295	
-700	270000	5	98	5	27	1	7	296	
-675	270000	5	98	5	27	1	7	297	
-650	270000	5	98	5	27	1	7	298	
-625	270000	5	98	5	26	1	7	299	
-600	270000	5	98	5	26	8	7	311	
-575	270000	5	98	5	26	8	7	319	
-550	270000	5	98	5	26	8	7	327	
-525	310000	5	98	4	28	8	7	335	
-500	310000	5	98	4	28	8	7	343	
-475	310000	5	98	4	28	8	7	351	
-450	350000	5	98	3	28	8	8	359	
-425	380000	5	96	2	32	12	8	367	
-400	380000	5	96	2	32	12	8	379	
-375	380000	5	96	2	31	12	8	391	
-350	380000	5	96	2	33	17	8	435	
-325	380000	5	96	2	31	17	8	452	
-300	380000	5	96	1	34	29	8	516	
-275	340000	5	96	2	34	23	7	539	
-250	340000	5	96	2	32	22	7	562	
-225	340000	5	96	2	33	22	7	584	
-200	340000	5	95	2	33	22	7	606	
-175	340000	5	95	2	32	22	7	628	
-150	340000	5	95	2	30	20	7	650	
-125	340000	5	95	2	29	19	7	670	
-100	340000	5	95	2	29	19	7	689	
-75	340000	5	95	2	29	19	7	708	
-50	340000	5	95	2	29	19	7	727	
-25	340000	5	95	2	29	19	7	746	
1	340000	5	95	2	27	19	7	765	
