
DESKTOP-5L122IC
FC-Player-BenitoJuárez
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	57	2	5	1	1	51	
-3900	10000	1	57	2	5	1	1	52	
-3850	10000	1	57	2	5	1	1	53	
-3800	20000	2	98	4	6	2	2	55	
-3750	20000	2	98	4	6	2	2	57	
-3700	20000	2	98	4	6	2	2	59	
-3650	20000	2	98	4	6	2	2	61	
-3600	20000	2	98	4	6	2	2	63	
-3550	20000	2	98	4	6	2	2	65	
-3500	40000	2	98	3	9	3	3	68	
-3450	20000	2	98	3	6	2	2	70	
-3400	20000	2	98	3	6	2	2	72	
-3350	40000	2	98	3	8	2	2	74	
-3300	40000	2	98	3	8	2	2	76	
-3250	40000	2	98	3	8	2	2	78	
-3200	50000	3	112	6	10	3	4	81	
-3150	50000	3	112	6	10	3	4	84	
-3100	50000	3	112	6	10	3	4	87	
-3050	50000	3	112	6	10	3	4	90	
-3000	50000	3	112	6	10	3	4	93	
-2950	50000	3	112	6	10	3	4	96	
-2900	50000	3	112	6	10	3	4	99	
-2850	50000	3	112	4	13	3	5	102	
-2800	50000	3	112	4	10	3	4	105	
-2750	70000	3	112	3	12	4	4	109	
-2700	70000	3	112	3	12	4	4	113	
-2650	70000	3	112	3	12	4	4	117	
-2600	70000	3	112	3	12	4	4	121	
-2550	80000	4	130	6	15	5	5	126	
-2500	70000	5	143	9	17	4	5	130	
-2450	70000	5	143	9	17	4	5	134	
-2400	70000	5	143	9	17	4	5	138	
-2350	70000	5	143	9	17	4	5	142	
-2300	70000	5	143	9	17	4	5	146	
-2250	70000	5	143	9	17	4	5	150	
-2200	100000	6	157	11	22	5	7	155	
-2150	80000	6	157	10	19	4	6	159	
-2100	100000	6	157	9	21	4	6	163	
-2050	120000	6	157	9	21	4	7	167	
-2000	150000	7	158	11	24	5	8	172	
-1950	150000	7	158	11	24	5	8	177	
-1900	110000	7	158	10	22	5	7	182	
-1850	110000	7	158	10	22	5	7	187	
-1800	120000	8	179	13	25	4	8	191	
-1750	140000	8	179	12	27	9	9	200	
-1700	140000	8	179	12	27	9	9	209	
-1650	150000	9	190	14	31	9	10	218	
-1600	170000	9	190	13	34	9	10	227	
-1550	190000	9	190	12	37	9	10	236	
-1500	200000	10	227	15	40	9	11	245	
-1450	200000	10	227	15	40	9	11	254	
-1400	220000	10	227	15	40	13	12	267	
-1350	240000	10	227	15	40	22	12	279	
-1300	260000	10	227	15	40	21	12	301	
-1250	290000	10	227	14	42	21	13	322	
-1200	270000	10	227	13	42	21	13	343	
-1150	270000	10	226	13	42	21	13	364	
-1100	270000	10	226	13	42	20	13	384	
-1050	290000	10	226	13	43	20	13	404	
-1000	290000	10	226	13	43	20	13	424	
-975	290000	10	226	13	43	20	13	444	
-950	290000	10	226	13	43	19	13	463	
-925	280000	11	246	16	45	18	14	481	
-900	280000	11	246	14	46	18	13	499	
-875	280000	11	246	14	46	18	13	517	
-850	300000	11	246	14	47	20	13	536	
-825	330000	11	246	12	51	23	13	557	
-800	350000	11	246	11	53	23	13	580	
-775	370000	11	246	10	55	23	13	603	
-750	410000	12	256	12	58	23	13	626	
-725	410000	12	256	13	55	23	14	649	
-700	430000	12	256	13	55	22	14	672	
-675	430000	12	256	13	55	20	14	692	
-650	440000	13	266	16	57	20	15	712	
-625	440000	13	266	16	57	20	15	732	
-600	420000	13	265	15	56	19	15	751	
-575	420000	13	265	15	56	19	15	770	
-550	450000	13	265	15	56	19	15	789	
-525	450000	13	265	15	56	19	15	808	
-500	450000	13	265	15	56	19	15	827	
-475	450000	13	265	15	55	19	15	846	
-450	460000	14	271	18	57	19	15	865	
-425	480000	14	271	18	57	19	15	884	
-400	570000	14	271	16	61	19	15	903	
-375	590000	14	269	17	62	19	15	922	
-350	590000	14	269	17	61	17	15	939	
-325	590000	14	269	17	61	17	15	956	
-300	590000	14	269	17	61	17	15	973	
-275	610000	14	269	17	62	17	15	990	
-250	610000	14	269	17	62	17	15	1007	
-225	630000	14	269	17	61	17	15	1024	
-200	660000	14	269	17	61	20	15	1046	
-175	660000	14	269	18	61	19	15	1065	
-150	660000	14	267	18	61	19	15	1084	
-125	700000	14	267	18	60	19	15	1103	
-100	730000	14	267	17	61	21	15	1122	
-75	730000	14	267	17	60	21	15	1143	
-50	760000	14	267	17	60	21	15	1164	
-25	760000	14	267	17	59	21	15	1185	
1	790000	14	267	16	61	21	15	1206	
