
DESKTOP-5L122IC
FC-Player-Amanishakheto
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	0	0	0	0	0	0	0	50	
-3900	0	0	0	0	0	0	0	50	
-3850	0	0	0	0	0	0	0	50	
-3800	10000	1	32	2	3	1	1	51	
-3750	10000	1	32	2	3	1	1	52	
-3700	20000	2	76	4	5	1	2	53	
-3650	20000	2	76	4	5	1	2	54	
-3600	20000	2	76	4	5	1	2	55	
-3550	20000	2	76	4	5	1	2	56	
-3500	20000	2	76	4	5	1	2	57	
-3450	20000	2	76	4	5	1	2	58	
-3400	20000	2	76	4	5	1	2	59	
-3350	40000	2	76	4	7	1	3	60	
-3300	40000	2	76	4	7	1	3	61	
-3250	40000	2	76	3	6	1	2	62	
-3200	40000	2	76	3	6	1	2	63	
-3150	40000	2	76	3	6	1	2	64	
-3100	40000	2	76	3	6	1	2	65	
-3050	40000	2	76	3	6	1	2	66	
-3000	50000	3	85	6	9	1	2	67	
-2950	50000	3	85	6	9	1	2	68	
-2900	30000	3	85	5	8	1	2	69	
-2850	30000	3	85	5	8	1	2	70	
-2800	30000	3	85	5	8	1	2	71	
-2750	30000	3	85	5	8	1	2	72	
-2700	50000	3	85	5	10	1	3	73	
-2650	60000	4	96	8	11	1	4	74	
-2600	80000	4	96	8	12	1	4	75	
-2550	100000	4	96	7	15	1	5	76	
-2500	80000	4	96	6	13	1	4	77	
-2450	60000	4	96	6	10	1	3	78	
-2400	60000	4	95	6	10	1	3	79	
-2350	60000	4	95	6	10	1	3	80	
-2300	60000	4	95	6	10	1	3	81	
-2250	60000	4	95	6	10	1	3	82	
-2200	80000	4	95	5	12	2	3	84	
-2150	80000	6	105	9	16	2	5	86	
-2100	80000	6	105	9	16	2	5	88	
-2050	80000	6	105	9	16	2	5	90	
-2000	120000	6	105	9	19	2	6	92	
-1950	120000	6	105	9	19	2	6	94	
-1900	120000	6	105	9	19	2	6	96	
-1850	150000	7	122	11	24	1	8	97	
-1800	150000	7	122	11	24	0	8	97	
-1750	150000	7	122	11	24	0	8	97	
-1700	150000	7	122	11	22	0	8	97	
-1650	150000	7	122	11	22	0	8	97	
-1600	150000	7	122	11	22	0	8	25	
-1550	150000	7	122	11	22	0	8	25	
-1500	160000	8	128	13	25	0	8	25	
-1450	160000	8	128	13	25	0	8	25	
-1400	180000	8	128	13	26	0	8	25	
-1350	200000	8	128	12	28	1	8	26	
-1300	180000	8	128	12	27	1	8	27	
-1250	210000	8	129	12	29	1	8	28	
-1200	230000	8	129	11	30	2	8	19	
-1150	230000	8	129	11	30	2	8	21	
-1100	230000	8	129	11	30	2	8	23	
-1050	230000	8	129	11	29	1	8	24	
-1000	230000	8	129	11	29	1	8	25	
-975	260000	8	129	10	30	1	8	26	
-950	260000	8	129	10	30	1	8	27	
-925	260000	8	129	10	30	1	8	28	
-900	260000	8	129	10	30	1	8	29	
-875	280000	8	129	10	30	1	8	30	
-850	280000	8	129	10	29	0	8	30	
-825	280000	8	129	10	28	0	8	30	
-800	260000	8	129	11	26	2	8	36	
-775	280000	8	129	11	27	3	8	38	
-750	280000	8	129	11	27	3	8	41	
-725	280000	8	129	11	27	3	8	44	
-700	280000	8	129	11	26	3	8	47	
-675	310000	8	129	11	26	4	8	51	
-650	290000	8	129	11	25	4	8	55	
-625	370000	8	131	10	30	5	9	60	
-600	370000	8	131	9	31	6	9	65	
-575	370000	8	131	9	31	6	9	71	
-550	350000	8	131	9	29	6	9	77	
-525	350000	8	131	9	29	6	9	83	
-500	350000	8	131	9	29	6	9	89	
-475	350000	8	131	9	29	6	8	95	
-450	350000	8	131	10	26	5	8	101	
-425	380000	8	131	9	27	4	8	106	
-400	380000	8	131	8	30	5	9	110	
-375	400000	8	131	8	31	5	9	115	
-350	400000	8	131	8	31	5	9	120	
-325	440000	8	131	7	32	5	9	125	
-300	440000	8	131	7	32	5	9	130	
-275	440000	8	131	7	32	5	9	135	
-250	440000	8	131	6	31	4	9	139	
-225	420000	8	131	5	32	6	9	149	
-200	440000	8	131	5	33	3	9	152	
-175	440000	8	131	5	33	2	9	154	
-150	440000	8	131	5	33	2	9	156	
-125	440000	8	131	5	33	2	9	158	
-100	440000	8	131	5	33	2	9	160	
-75	440000	8	131	5	31	2	9	162	
-50	440000	8	131	5	30	2	9	164	
-25	440000	8	131	5	30	7	9	171	
1	440000	8	131	5	30	7	9	178	
