
DESKTOP-5L122IC
FC-Player-KayanoShigeru
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	0	0	0	0	0	0	0	50	
-3900	0	0	0	0	0	0	0	50	
-3850	10000	1	40	2	3	1	1	51	
-3800	20000	2	56	4	5	2	2	53	
-3750	20000	2	56	4	5	2	2	55	
-3700	20000	2	56	4	5	2	2	57	
-3650	20000	2	56	4	5	2	2	59	
-3600	20000	2	56	5	5	2	2	61	
-3550	20000	2	56	5	5	2	2	63	
-3500	20000	2	56	5	5	2	2	65	
-3450	20000	2	56	5	5	2	2	67	
-3400	60000	2	56	4	9	2	3	69	
-3350	60000	2	56	4	9	2	3	71	
-3300	40000	2	56	4	5	2	3	73	
-3250	40000	2	56	4	5	2	3	75	
-3200	40000	2	56	4	5	2	3	77	
-3150	40000	2	56	4	5	2	3	79	
-3100	40000	2	56	4	5	2	3	81	
-3050	50000	3	81	7	8	3	4	84	
-3000	50000	3	81	7	8	3	4	87	
-2950	50000	3	81	7	8	3	4	90	
-2900	80000	3	82	6	10	4	4	94	
-2850	50000	3	81	6	8	3	4	97	
-2800	50000	3	81	6	8	3	4	100	
-2750	70000	3	81	5	12	3	4	103	
-2700	50000	3	81	5	8	3	4	106	
-2650	60000	4	91	8	11	3	5	109	
-2600	80000	4	91	7	13	3	6	112	
-2550	80000	4	91	7	13	3	6	115	
-2500	80000	4	91	7	13	3	6	118	
-2450	80000	4	91	7	13	3	6	121	
-2400	70000	5	98	10	13	4	6	125	
-2350	70000	5	98	10	13	4	6	129	
-2300	100000	5	98	9	15	5	6	134	
-2250	100000	5	98	9	15	5	6	139	
-2200	120000	5	98	9	16	6	6	145	
-2150	130000	6	108	11	20	6	6	151	
-2100	150000	6	110	10	24	4	6	155	
-2050	150000	6	110	10	24	3	6	158	
-2000	150000	6	110	10	24	3	6	161	
-1950	170000	6	110	10	25	3	7	164	
-1900	170000	6	112	10	25	2	7	166	
-1850	160000	5	83	8	22	2	6	168	
-1800	160000	5	97	8	22	2	6	170	
-1750	160000	5	96	8	22	2	6	172	
-1700	160000	5	96	8	22	1	6	173	
-1650	160000	5	96	8	22	1	6	174	
-1600	160000	5	96	8	22	0	6	174	
-1550	160000	5	96	8	22	0	6	174	
-1500	160000	5	96	8	22	0	6	174	
-1450	190000	5	96	8	22	0	7	174	
-1400	190000	5	96	8	22	0	7	174	
-1350	190000	5	96	8	22	0	7	174	
-1300	230000	5	96	8	22	0	8	174	
-1250	230000	5	96	8	22	0	8	174	
-1200	280000	5	97	8	23	1	9	175	
-1150	280000	5	97	8	23	1	9	176	
-1100	280000	5	97	8	23	1	9	177	
-1050	280000	5	97	8	23	1	9	178	
-1000	280000	5	97	8	22	1	9	179	
-975	280000	5	97	8	22	1	9	180	
-950	280000	5	97	8	22	1	9	181	
-925	280000	5	97	8	22	1	9	182	
-900	280000	5	97	8	22	1	9	183	
-875	280000	5	97	8	22	1	9	184	
-850	280000	5	97	7	21	1	9	185	
-825	280000	5	97	7	21	6	9	191	
-800	280000	5	97	7	21	6	9	197	
-775	280000	5	97	7	21	6	9	203	
-750	280000	5	97	7	21	6	9	209	
-725	320000	5	97	6	23	6	9	215	
-700	320000	5	97	6	23	6	9	221	
-675	320000	5	97	6	23	6	9	227	
-650	320000	5	93	6	23	6	9	233	
-625	320000	5	93	6	22	6	9	239	
-600	360000	5	93	5	22	11	9	254	
-575	360000	5	97	5	23	14	9	270	
-550	360000	5	97	5	23	14	9	284	
-525	410000	5	97	4	24	15	9	298	
-500	410000	5	97	5	25	16	9	313	
-475	410000	5	97	5	24	10	9	323	
-450	410000	5	97	5	24	10	9	333	
-425	410000	5	97	5	24	10	9	343	
-400	410000	5	96	5	24	10	9	353	
-375	410000	5	96	5	24	10	9	363	
-350	440000	5	97	4	26	6	9	369	
-325	420000	5	97	4	21	6	9	375	
-300	420000	5	100	4	20	6	9	381	
-275	420000	5	100	4	20	12	9	396	
-250	420000	5	97	4	20	12	9	408	
-225	420000	5	100	4	20	12	9	420	
-200	420000	5	100	4	20	12	9	432	
-175	430000	6	115	7	23	14	10	446	
-150	430000	6	115	7	23	14	10	460	
-125	380000	6	115	7	21	14	10	474	
-100	400000	6	115	6	24	20	10	490	
-75	400000	6	109	6	24	24	10	516	
-50	400000	6	109	6	24	24	10	540	
-25	400000	6	109	6	24	24	10	564	
1	420000	6	109	7	26	25	10	589	
