
DESKTOP-5L122IC
FC-Player-Tutankhamun
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	0	0	0	0	0	0	0	50	
-3900	0	0	0	0	0	0	0	50	
-3850	0	0	0	0	0	0	0	50	
-3800	10000	1	24	3	1	1	1	51	
-3750	20000	2	67	6	3	1	2	52	
-3700	20000	2	67	6	3	1	2	53	
-3650	20000	2	67	6	3	1	2	54	
-3600	20000	2	67	6	3	1	2	55	
-3550	20000	2	67	6	3	1	2	56	
-3500	40000	2	67	5	9	1	2	57	
-3450	60000	2	67	4	11	1	2	58	
-3400	60000	2	67	4	11	1	2	59	
-3350	60000	2	67	4	11	1	2	60	
-3300	60000	2	67	4	11	1	2	61	
-3250	40000	2	67	4	5	1	2	62	
-3200	40000	2	67	4	5	1	2	63	
-3150	40000	2	66	4	5	1	2	64	
-3100	40000	2	66	4	5	1	2	65	
-3050	50000	3	88	7	7	1	3	66	
-3000	50000	3	88	6	11	1	3	67	
-2950	70000	3	88	5	13	1	3	68	
-2900	70000	3	88	5	13	1	3	69	
-2850	80000	4	93	8	14	2	4	71	
-2800	80000	4	93	8	14	2	4	73	
-2750	60000	4	93	8	8	2	4	75	
-2700	60000	4	93	8	8	2	4	77	
-2650	50000	3	79	6	7	1	3	79	
-2600	70000	3	88	6	7	2	3	81	
-2550	70000	3	88	6	7	2	3	83	
-2500	90000	3	88	5	13	2	3	85	
-2450	100000	4	97	8	15	2	3	87	
-2400	100000	4	97	7	16	2	3	89	
-2350	90000	3	80	5	14	2	3	91	
-2300	70000	3	87	7	7	1	3	92	
-2250	70000	3	87	6	8	1	3	93	
-2200	50000	3	87	7	6	1	3	94	
-2150	80000	3	88	6	8	1	3	95	
-2100	90000	2	60	3	13	0	2	96	
-2050	70000	2	68	5	5	-1	2	73	
-2000	70000	2	68	5	5	-1	2	72	
-1950	10000	1	40	3	3	-1	1	61	
-1900	10000	1	37	3	3	-1	1	60	
-1850	0	0	0	0	0	0	0	59	
