
DESKTOP-5L122IC
FC-Player-SimonPetlura
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	36	2	3	1	1	51	
-3900	10000	1	36	2	3	1	1	52	
-3850	20000	2	47	4	6	2	2	54	
-3800	20000	2	47	4	6	2	2	56	
-3750	20000	2	47	4	6	2	2	58	
-3700	20000	2	47	4	6	2	2	60	
-3650	20000	2	47	4	6	2	2	62	
-3600	20000	2	47	4	6	2	2	64	
-3550	20000	2	47	4	6	2	2	66	
-3500	40000	2	47	3	10	2	3	68	
-3450	40000	2	47	3	10	2	3	70	
-3400	40000	2	47	2	8	2	3	72	
-3350	40000	2	47	2	8	2	3	74	
-3300	20000	2	47	2	6	2	2	76	
-3250	20000	2	47	2	6	2	2	78	
-3200	30000	3	58	5	8	3	3	81	
-3150	30000	3	58	5	8	3	3	84	
-3100	30000	3	58	5	8	3	3	87	
-3050	30000	3	56	6	8	3	3	90	
-3000	30000	3	58	6	8	3	3	93	
-2950	30000	3	58	6	8	3	3	96	
-2900	30000	3	58	6	8	3	3	99	
-2850	30000	3	58	6	8	3	3	102	
-2800	70000	3	58	4	14	3	5	105	
-2750	90000	3	58	4	15	3	6	108	
-2700	90000	3	58	4	15	2	6	110	
-2650	70000	3	58	3	15	3	5	113	
-2600	70000	3	58	3	15	3	5	116	
-2550	70000	3	58	3	15	3	5	119	
-2500	70000	3	58	3	15	3	5	122	
-2450	70000	3	58	3	15	3	5	125	
-2400	70000	3	58	3	15	3	5	120	
-2350	70000	3	58	3	15	3	5	123	
-2300	70000	3	58	3	15	3	5	126	
-2250	70000	3	58	3	15	3	5	129	
-2200	90000	3	58	3	16	3	6	132	
-2150	90000	3	58	3	15	2	6	134	
-2100	90000	3	58	3	15	2	6	136	
-2050	90000	3	58	3	15	2	6	138	
-2000	90000	3	58	3	15	2	6	140	
-1950	90000	3	58	3	14	2	6	142	
-1900	90000	3	58	3	15	2	6	144	
-1850	90000	3	58	3	15	1	6	145	
-1800	90000	3	58	3	16	1	6	146	
-1750	90000	3	58	3	16	1	6	147	
-1700	90000	3	58	3	16	1	6	148	
-1650	90000	3	58	3	16	1	6	149	
-1600	90000	3	58	3	16	1	6	150	
-1550	90000	3	58	3	16	1	6	151	
-1500	90000	3	58	3	16	1	6	152	
-1450	120000	3	58	2	18	2	6	154	
-1400	120000	3	58	2	17	2	6	156	
-1350	120000	3	58	2	17	2	6	158	
-1300	150000	3	59	2	17	3	6	161	
-1250	150000	3	59	2	17	3	6	164	
-1200	150000	3	59	2	16	3	6	167	
-1150	150000	3	59	2	16	9	6	176	
-1100	150000	3	59	2	16	9	6	185	
-1050	150000	3	59	2	16	3	6	188	
-1000	150000	3	59	3	15	2	6	190	
-975	150000	3	59	3	15	2	6	192	
-950	150000	3	59	3	15	7	6	201	
-925	150000	3	59	3	15	7	6	208	
-900	150000	3	59	3	15	7	6	215	
-875	150000	3	59	3	15	7	6	222	
-850	130000	3	59	3	10	7	5	229	
-825	130000	3	59	3	10	12	5	242	
-800	130000	3	59	3	10	12	5	254	
-775	130000	3	59	3	10	12	5	266	
-750	140000	4	73	6	12	12	6	278	
-725	140000	4	73	6	12	12	6	290	
-700	140000	4	73	6	12	12	6	302	
-675	160000	4	73	5	16	12	7	314	
-650	160000	4	73	5	16	12	7	326	
-625	160000	4	73	5	16	12	7	338	
-600	160000	4	73	5	16	12	7	350	
-575	160000	4	73	5	16	12	7	362	
-550	160000	4	73	5	16	12	7	374	
-525	180000	4	74	5	16	13	7	387	
-500	180000	4	74	5	16	13	7	400	
-475	160000	4	74	5	11	13	6	413	
-450	160000	4	74	5	12	13	6	426	
-425	160000	4	74	5	12	13	6	439	
-400	160000	4	74	5	12	13	6	452	
-375	160000	4	74	5	12	13	6	465	
-350	160000	4	73	5	12	13	6	478	
-325	160000	4	73	5	12	13	6	491	
-300	160000	4	73	5	12	13	6	504	
-275	160000	4	73	5	12	13	6	517	
-250	160000	4	72	5	12	13	6	530	
-225	210000	5	90	8	15	13	6	543	
-200	230000	5	90	7	19	13	7	440	
-175	230000	5	90	7	19	12	7	438	
-150	300000	5	90	5	23	14	7	450	
-125	300000	5	90	5	23	14	7	464	
-100	280000	5	89	5	18	14	6	478	
-75	280000	5	89	5	18	15	6	494	
-50	290000	6	92	8	20	17	8	511	
-25	290000	6	92	8	20	17	8	528	
