
DESKTOP-5L122IC
FC-Player-RenéLévesque
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	48	3	3	1	2	51	
-3900	10000	1	48	3	3	1	2	52	
-3850	10000	1	48	3	3	1	2	53	
-3800	10000	1	48	3	3	1	2	54	
-3750	10000	1	48	3	3	1	2	55	
-3700	20000	2	71	5	7	1	3	56	
-3650	40000	2	71	4	11	1	3	57	
-3600	40000	2	71	4	11	1	3	58	
-3550	40000	2	71	4	11	1	3	59	
-3500	20000	2	71	4	7	1	3	60	
-3450	20000	2	71	4	7	1	3	61	
-3400	30000	3	79	7	10	2	4	63	
-3350	30000	3	78	7	10	2	4	65	
-3300	30000	3	78	7	10	2	4	67	
-3250	70000	3	78	5	16	2	4	69	
-3200	50000	3	76	5	14	2	4	71	
-3150	50000	3	76	5	14	2	4	73	
-3100	50000	3	76	5	14	2	4	75	
-3050	30000	3	74	5	10	2	4	77	
-3000	40000	4	77	8	12	2	5	79	
-2950	60000	4	77	7	14	2	6	81	
-2900	60000	4	77	7	14	2	6	83	
-2850	50000	5	77	10	13	2	6	85	
-2800	70000	5	77	9	17	2	6	87	
-2750	80000	6	79	12	20	2	7	89	
-2700	80000	6	79	12	20	2	7	91	
-2650	100000	6	79	11	22	14	7	91	
-2600	100000	6	79	11	22	13	7	105	
-2550	120000	6	79	10	25	7	7	112	
-2500	120000	6	79	10	25	7	7	119	
-2450	120000	6	79	10	25	13	7	134	
-2400	140000	6	79	9	29	14	7	147	
-2350	160000	6	79	8	31	17	8	87	
-2300	180000	6	79	7	34	-2	8	85	
-2250	180000	6	79	7	34	-2	8	83	
-2200	160000	6	79	8	28	-2	8	24	
-2150	160000	6	79	8	28	-2	8	22	
-2100	150000	5	69	6	29	-3	7	20	
-2050	180000	5	79	5	30	-3	7	17	
-2000	180000	5	79	5	30	-3	7	14	
-1950	180000	5	79	5	32	-3	7	11	
-1900	180000	5	79	5	31	-3	7	8	
-1850	180000	5	79	5	32	2	7	33	
-1800	180000	5	79	5	32	2	7	35	
-1750	180000	5	79	5	32	2	7	37	
-1700	180000	5	79	5	32	2	7	39	
-1650	180000	5	79	5	32	12	7	55	
-1600	180000	5	79	5	32	12	7	67	
-1550	180000	5	79	5	32	12	7	79	
-1500	180000	5	79	5	32	12	7	91	
-1450	180000	5	79	5	32	12	7	103	
-1400	180000	5	79	5	32	12	7	115	
-1350	180000	5	79	5	32	12	7	127	
-1300	180000	5	79	5	32	18	7	150	
-1250	180000	5	79	5	32	18	7	168	
-1200	180000	5	79	5	32	18	7	186	
-1150	210000	5	79	5	32	23	7	209	
-1100	180000	5	79	5	29	23	7	232	
-1050	210000	5	79	4	31	25	7	255	
-1000	210000	5	79	4	31	25	7	280	
-975	220000	6	79	7	33	26	8	306	
-950	220000	6	79	7	33	26	8	214	
-925	250000	6	82	7	33	26	8	182	
-900	280000	6	82	6	35	28	8	208	
-875	280000	6	80	6	34	28	8	236	
-850	280000	6	80	6	34	28	8	264	
-825	280000	6	79	6	34	28	8	292	
-800	280000	6	79	6	34	28	8	320	
-775	280000	6	79	6	34	20	8	340	
-750	300000	6	79	5	38	20	8	360	
-725	300000	6	79	5	38	15	8	375	
-700	300000	6	79	5	38	15	8	390	
-675	300000	6	79	5	38	15	8	405	
-650	330000	6	79	4	40	15	8	420	
-625	330000	6	77	4	39	15	8	435	
-600	330000	6	77	4	39	15	8	450	
-575	330000	6	77	4	39	15	8	465	
-550	330000	6	77	4	39	15	8	480	
-525	370000	6	77	3	43	19	8	495	
-500	370000	6	77	3	43	19	8	514	
-475	370000	6	77	3	43	19	8	533	
-450	380000	7	83	5	45	18	9	552	
-425	380000	7	83	5	44	18	9	452	
-400	380000	7	83	5	43	18	9	470	
-375	380000	7	83	5	44	18	9	488	
-350	380000	7	83	5	44	18	9	506	
-325	380000	7	83	5	43	18	9	524	
-300	400000	7	83	4	44	18	9	542	
-275	400000	7	83	4	44	18	9	560	
-250	400000	7	83	4	44	18	9	578	
-225	400000	7	83	4	45	18	9	596	
-200	400000	7	83	4	44	18	9	614	
-175	400000	7	83	4	43	18	9	632	
-150	400000	7	83	4	43	18	9	650	
-125	400000	7	83	4	43	18	9	668	
-100	400000	7	83	4	43	18	9	686	
-75	400000	7	83	4	42	18	9	704	
-50	400000	7	83	4	42	18	9	722	
-25	400000	7	83	4	43	18	9	740	
1	430000	7	83	3	45	18	9	727	
