
DESKTOP-5L122IC
FC-Player-JoséMartí
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	0	0	0	0	0	0	0	50	
-3900	0	0	0	0	0	0	0	50	
-3850	0	0	0	0	0	0	0	50	
-3800	0	0	0	0	0	0	0	50	
-3750	0	0	0	0	0	0	0	50	
-3700	0	0	0	0	0	0	0	50	
-3650	0	0	0	0	0	0	0	50	
-3600	0	0	0	0	0	0	0	50	
-3550	10000	1	43	2	5	1	1	51	
-3500	20000	2	64	4	8	2	2	53	
-3450	20000	2	64	4	8	2	2	55	
-3400	20000	2	64	4	8	2	2	57	
-3350	20000	2	64	4	8	2	2	59	
-3300	20000	2	64	4	8	2	2	61	
-3250	20000	2	64	4	8	2	2	63	
-3200	20000	2	64	4	8	2	2	65	
-3150	20000	2	64	4	8	2	2	67	
-3100	40000	2	64	3	11	2	2	69	
-3050	40000	2	64	3	8	2	3	71	
-3000	40000	2	64	3	8	2	3	73	
-2950	40000	2	64	3	8	2	3	75	
-2900	40000	2	64	3	8	2	3	77	
-2850	40000	2	64	3	8	2	3	79	
-2800	40000	2	64	3	8	2	3	81	
-2750	40000	2	64	3	8	2	3	83	
-2700	30000	3	88	5	10	3	3	86	
-2650	30000	3	88	5	10	3	3	89	
-2600	30000	3	88	5	10	3	3	92	
-2550	30000	3	88	5	11	2	3	94	
-2500	30000	3	88	5	11	2	3	96	
-2450	30000	3	88	5	11	2	3	98	
-2400	80000	4	89	7	17	4	4	102	
-2350	80000	4	88	6	19	4	4	106	
-2300	80000	4	88	6	18	4	4	110	
-2250	100000	4	88	6	19	4	4	114	
-2200	100000	4	88	6	19	3	4	81	
-2150	100000	4	88	6	19	3	4	84	
-2100	100000	4	88	6	19	3	4	87	
-2050	100000	4	88	6	19	3	4	90	
-2000	100000	4	88	6	19	2	4	92	
-1950	120000	4	88	5	21	2	5	94	
-1900	120000	4	88	5	21	14	5	96	
-1850	120000	4	88	5	21	2	5	98	
-1800	120000	4	88	6	19	2	5	100	
-1750	120000	4	88	6	19	2	5	102	
-1700	120000	4	88	6	19	1	6	103	
-1650	130000	4	90	6	15	1	7	104	
-1600	130000	4	90	6	15	1	7	105	
-1550	130000	4	90	6	15	0	7	105	
-1500	160000	4	92	5	17	0	7	105	
-1450	160000	4	92	5	17	0	7	105	
-1400	170000	5	115	9	19	8	8	105	
-1350	170000	5	109	9	19	0	8	105	
-1300	170000	5	110	9	19	0	8	105	
-1250	170000	5	110	9	19	0	8	105	
-1200	170000	5	110	9	18	0	8	105	
-1150	190000	5	110	8	21	0	8	105	
-1100	210000	5	110	8	21	1	8	106	
-1050	210000	5	110	8	21	1	8	107	
-1000	180000	5	108	7	21	1	7	108	
-975	180000	5	108	7	21	10	7	109	
-950	180000	5	114	8	20	6	7	115	
-925	180000	5	114	8	20	6	7	121	
-900	180000	5	114	8	20	6	7	127	
-875	210000	5	117	8	20	6	8	133	
-850	210000	5	119	8	19	6	8	139	
-825	210000	5	120	8	21	6	8	145	
-800	240000	5	120	7	24	6	8	151	
-775	240000	5	120	7	23	6	8	157	
-750	250000	6	129	10	24	7	9	169	
-725	280000	6	129	10	24	7	9	176	
-700	280000	6	129	10	26	12	9	191	
-675	280000	6	130	10	26	12	9	203	
-650	280000	6	130	10	26	12	9	215	
-625	280000	6	129	10	26	12	9	227	
-600	320000	6	128	9	28	11	9	238	
-575	320000	6	125	9	28	9	9	247	
-550	320000	6	125	9	28	9	9	256	
-525	340000	6	125	9	28	9	9	265	
-500	340000	6	127	9	28	9	9	274	
-475	340000	6	127	9	27	16	9	293	
-450	340000	6	127	9	27	21	9	314	
-425	340000	6	127	9	27	12	9	326	
-400	340000	6	127	9	27	11	9	337	
-375	340000	6	127	9	27	11	9	348	
-350	340000	6	127	9	27	11	9	359	
-325	410000	6	127	7	31	13	9	370	
-300	450000	6	127	6	32	13	9	383	
-275	450000	6	127	6	32	13	9	396	
-250	450000	6	127	6	33	13	9	409	
-225	450000	6	127	6	33	13	9	422	
-200	450000	6	127	6	33	13	9	435	
-175	450000	6	125	6	33	13	9	448	
-150	480000	6	125	5	35	14	9	462	
-125	480000	6	126	5	35	14	9	476	
-100	480000	6	126	5	35	14	9	490	
-75	480000	6	126	5	33	14	9	504	
-50	480000	6	126	4	35	12	9	518	
-25	480000	6	126	4	35	12	9	530	
