
#x69814678
FC-Player-TrygveLie
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	34	1	5	0	1	50	
-3900	10000	1	34	1	5	0	1	50	
-3850	10000	1	34	1	5	0	1	50	
-3800	20000	2	57	3	6	0	1	50	
-3750	20000	2	57	3	6	1	1	50	
-3700	20000	2	57	3	6	1	1	51	
-3650	20000	2	57	3	6	1	1	52	
-3600	20000	2	57	3	6	1	1	53	
-3550	20000	2	57	3	6	1	1	54	
-3500	20000	2	57	3	8	1	1	55	
-3450	20000	2	57	3	8	1	2	56	
-3400	20000	2	57	3	8	1	2	57	
-3350	40000	2	57	2	10	1	2	58	
-3300	40000	2	57	2	10	1	2	59	
-3250	40000	2	57	2	10	1	2	60	
-3200	40000	2	57	2	10	1	2	61	
-3150	40000	2	57	2	10	1	2	62	
-3100	40000	2	57	2	10	1	2	63	
-3050	40000	2	57	2	10	1	2	64	
-3000	60000	2	57	2	10	1	3	65	
-2950	40000	2	57	1	9	1	2	66	
-2900	40000	2	57	1	9	1	2	67	
-2850	20000	2	57	1	8	1	2	68	
-2800	20000	2	57	1	8	1	2	69	
-2750	30000	3	63	4	10	2	3	71	
-2700	30000	3	63	4	10	2	3	73	
-2650	30000	3	63	4	10	2	3	75	
-2600	40000	4	77	7	11	2	4	77	
-2550	40000	4	77	7	11	2	4	79	
-2500	60000	4	77	6	13	2	4	81	
-2450	60000	4	77	6	13	2	4	83	
-2400	60000	4	77	6	13	2	4	85	
-2350	60000	4	77	6	13	2	4	87	
-2300	80000	4	77	5	15	2	4	89	
-2250	80000	4	75	5	15	2	4	91	
-2200	80000	4	75	5	15	2	4	93	
-2150	80000	4	75	5	13	3	4	96	
-2100	80000	4	75	5	13	3	4	99	
-2050	80000	4	75	5	13	3	4	102	
-2000	90000	5	81	8	16	3	5	105	
-1950	90000	5	81	8	17	3	5	108	
-1900	90000	5	81	8	17	3	5	111	
-1850	90000	5	81	8	17	3	5	114	
-1800	110000	5	79	8	17	3	6	117	
-1750	110000	5	79	6	18	3	5	120	
-1700	90000	5	79	6	16	3	5	123	
-1650	90000	5	79	7	17	3	5	126	
-1600	90000	5	79	7	17	3	5	129	
-1550	110000	5	79	8	17	4	5	133	
-1500	110000	5	79	8	17	4	5	137	
-1450	110000	5	79	8	17	4	5	141	
-1400	160000	5	81	6	22	4	5	145	
-1350	140000	5	81	6	20	4	5	149	
-1300	120000	5	81	5	22	3	4	153	
-1250	120000	5	81	5	22	3	4	156	
-1200	120000	5	81	5	22	3	4	159	
-1150	130000	6	91	8	23	3	5	162	
-1100	130000	6	91	8	23	3	5	165	
-1050	90000	5	70	6	18	4	4	169	
-1000	70000	5	79	5	18	3	4	172	
-975	70000	5	79	5	18	3	4	175	
-950	70000	5	83	7	18	3	4	178	
-925	70000	5	90	7	20	3	4	181	
-900	70000	5	90	7	20	3	4	184	
-875	70000	5	90	8	20	3	4	187	
-850	70000	5	90	8	20	3	4	190	
-825	110000	5	90	8	20	3	6	193	
-800	80000	4	80	5	18	8	4	204	
-775	80000	4	89	5	16	6	4	212	
-750	80000	4	89	5	16	13	4	367	
-725	110000	5	92	7	20	14	5	381	
-700	140000	5	92	6	22	14	5	395	
-675	140000	5	92	6	22	14	5	409	
-650	120000	5	92	7	20	13	5	423	
-625	90000	5	91	8	18	13	5	436	
-600	60000	4	68	6	16	12	4	441	
-575	50000	3	43	4	13	12	3	453	
-550	40000	2	38	2	11	12	2	465	
-525	30000	1	29	1	7	7	1	477	
-500	30000	1	39	1	10	0	1	477	
-475	30000	1	39	1	10	0	1	477	
-450	30000	1	39	1	10	0	1	477	
-425	30000	1	39	1	10	0	1	477	
-400	30000	1	38	1	10	10	1	494	
-375	30000	1	38	1	10	10	1	504	
-350	30000	1	38	1	10	10	1	514	
-325	30000	1	38	1	10	10	1	524	
-300	30000	1	38	1	10	10	1	534	
-275	30000	1	38	1	10	10	1	544	
-250	30000	1	38	1	10	10	1	554	
-225	30000	1	38	1	10	10	1	564	
-200	30000	1	38	1	10	10	1	574	
-175	30000	1	38	1	10	10	1	584	
-150	30000	1	38	1	10	10	1	594	
-125	30000	1	38	1	10	10	1	604	
-100	30000	1	38	1	10	10	1	614	
-75	60000	1	39	0	14	14	1	624	
-50	60000	1	39	0	14	14	1	638	
-25	60000	1	36	0	14	14	1	652	
1	60000	1	33	0	14	14	1	666	
20	60000	1	33	0	14	14	1	680	
40	60000	1	33	0	14	14	1	694	
60	60000	1	33	0	14	14	1	708	
80	60000	1	33	0	14	14	1	722	
100	60000	1	33	0	14	14	1	736	
120	60000	1	33	0	14	14	1	750	
140	60000	1	33	0	14	14	1	764	
160	60000	1	32	0	14	14	1	778	
180	60000	1	32	0	14	14	1	792	
200	60000	1	33	0	14	14	1	806	
220	60000	1	32	0	14	14	1	820	
240	60000	1	32	0	14	14	1	834	
260	60000	1	32	0	14	14	1	848	
280	60000	1	30	0	14	14	1	862	
300	60000	1	30	0	14	14	1	876	
320	60000	1	30	0	14	14	1	890	
340	60000	1	30	0	14	14	1	904	
360	60000	1	30	0	14	14	1	918	
380	60000	1	30	0	14	14	1	932	
400	60000	1	30	0	14	14	1	946	
420	60000	1	30	0	14	14	1	960	
440	60000	1	30	0	14	14	1	974	
460	60000	1	30	0	14	14	1	988	
480	60000	1	30	0	14	14	1	1002	
