
#x69814778
FC-Player-Kamehameha
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	23	1	5	1	1	51	
-3900	10000	1	23	1	5	1	1	52	
-3850	10000	1	23	1	5	1	1	53	
-3800	20000	2	29	3	6	2	2	55	
-3750	20000	2	29	3	6	2	2	57	
-3700	20000	2	29	3	6	2	2	59	
-3650	20000	2	29	3	6	2	2	61	
-3600	20000	2	29	3	6	2	2	63	
-3550	20000	2	29	3	6	2	2	65	
-3500	20000	2	29	3	6	2	2	67	
-3450	20000	2	29	3	6	2	2	69	
-3400	20000	2	29	3	6	2	2	71	
-3350	40000	2	29	2	8	2	2	73	
-3300	40000	2	29	2	8	2	2	75	
-3250	40000	2	29	2	8	2	2	77	
-3200	40000	2	29	2	8	2	2	79	
-3150	40000	2	29	2	8	2	2	81	
-3100	40000	2	29	2	8	2	2	83	
-3050	40000	2	29	2	8	2	2	85	
-3000	60000	2	29	2	8	2	2	87	
-2950	40000	2	29	1	8	2	2	89	
-2900	40000	2	29	1	8	2	2	91	
-2850	20000	2	29	1	6	2	2	93	
-2800	20000	2	29	1	6	2	2	95	
-2750	30000	3	44	4	8	3	3	98	
-2700	30000	3	44	4	8	3	3	101	
-2650	30000	3	44	4	8	3	3	104	
-2600	30000	3	44	4	8	3	3	107	
-2550	30000	3	44	4	8	3	3	110	
-2500	30000	3	44	4	8	3	3	113	
-2450	40000	4	53	7	9	4	4	117	
-2400	60000	4	53	6	11	4	4	121	
-2350	60000	4	53	6	11	4	4	125	
-2300	80000	4	53	5	13	4	5	129	
-2250	80000	4	53	5	13	4	5	133	
-2200	80000	4	53	5	13	4	5	137	
-2150	80000	4	53	5	13	4	5	141	
-2100	80000	4	53	5	13	4	5	145	
-2050	80000	4	53	5	13	2	5	147	
-2000	100000	4	53	5	13	2	5	149	
-1950	100000	4	53	5	13	2	5	151	
-1900	100000	4	52	5	13	2	5	153	
-1850	100000	4	52	5	13	2	5	155	
-1800	120000	4	52	5	13	5	5	162	
-1750	100000	4	52	4	13	5	5	167	
-1700	100000	4	52	4	13	5	5	172	
-1650	100000	4	52	4	13	5	5	177	
-1600	100000	4	52	4	12	5	5	182	
-1550	100000	4	52	4	11	5	5	187	
-1500	100000	4	52	4	12	5	5	192	
-1450	100000	4	52	4	13	5	5	197	
-1400	100000	4	52	4	12	5	5	202	
-1350	100000	4	52	4	12	2	5	204	
-1300	110000	5	57	7	14	2	6	206	
-1250	140000	5	57	6	16	2	7	208	
-1200	140000	5	57	6	16	2	7	210	
-1150	130000	4	49	4	14	2	6	212	
-1100	130000	4	53	4	14	2	6	214	
-1050	100000	4	51	5	12	2	5	216	
-1000	70000	3	36	3	11	1	4	209	
-975	70000	3	36	3	10	1	4	210	
-950	100000	3	36	2	13	1	5	211	
-925	100000	3	36	2	13	5	5	218	
-900	130000	3	37	2	13	6	5	224	
-875	130000	3	37	2	13	6	5	230	
-850	130000	3	37	2	13	6	5	236	
-825	130000	3	37	2	13	6	5	242	
-800	130000	3	37	2	13	6	5	248	
-775	130000	3	37	3	13	6	5	254	
-750	130000	3	37	3	13	6	5	260	
-725	130000	3	37	2	14	11	4	272	
-700	130000	3	37	2	13	10	4	283	
-675	150000	3	37	1	16	10	4	293	
-650	130000	3	36	1	13	10	4	303	
-625	130000	3	36	2	13	15	4	335	
-600	130000	3	36	2	13	15	4	350	
-575	130000	3	36	2	13	15	4	365	
-550	130000	3	36	2	13	15	4	380	
-525	130000	3	36	2	13	15	4	395	
-500	130000	3	36	2	13	15	4	410	
-475	130000	3	36	2	13	15	4	425	
-450	130000	3	36	1	15	16	3	440	
-425	130000	3	36	2	15	16	3	456	
-400	130000	3	36	2	15	16	3	472	
-375	130000	3	36	2	15	16	3	488	
-350	130000	3	36	2	15	16	3	504	
-325	130000	3	36	2	15	16	3	520	
-300	130000	3	36	2	15	16	3	536	
-275	130000	3	36	2	15	16	3	552	
-250	130000	3	36	2	15	16	3	568	
-225	130000	3	36	2	15	16	3	584	
-200	130000	3	36	2	15	16	3	600	
-175	130000	3	36	2	15	16	3	616	
-150	130000	3	36	2	15	16	3	632	
-125	130000	3	36	2	15	16	3	648	
-100	130000	3	36	2	15	16	3	664	
-75	130000	3	36	2	15	16	3	680	
-50	130000	3	36	2	15	16	3	696	
-25	130000	3	36	2	15	16	3	712	
1	130000	3	36	2	15	16	3	728	
20	130000	3	36	2	15	16	3	744	
40	130000	3	36	2	15	16	3	760	
60	130000	3	36	2	15	16	3	776	
80	170000	3	36	2	16	17	4	792	
100	170000	3	36	2	16	17	4	809	
120	170000	3	36	2	16	17	4	826	
140	170000	3	36	2	16	17	4	843	
160	170000	3	36	2	16	17	4	860	
180	170000	3	36	2	16	17	4	877	
200	170000	3	36	2	16	17	4	894	
220	170000	3	36	2	16	17	4	911	
240	170000	3	36	2	16	17	4	928	
260	210000	3	36	2	16	17	5	945	
280	210000	3	36	2	16	17	5	962	
300	210000	3	36	2	16	17	5	979	
320	210000	3	36	2	16	17	5	996	
340	210000	3	36	2	16	17	5	1013	
360	210000	3	36	2	16	17	5	1030	
380	210000	3	36	2	16	17	5	1047	
400	210000	3	36	2	16	17	5	1064	
420	210000	3	36	2	16	17	5	1081	
440	210000	3	36	2	16	17	5	1098	
