
#x69814978
FC-Player-Sakura
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	36	2	5	0	1	50	
-3900	10000	1	36	2	5	0	1	50	
-3850	10000	1	36	2	5	0	1	50	
-3800	20000	2	59	4	8	0	1	50	
-3750	20000	2	59	4	8	1	1	50	
-3700	20000	2	59	4	8	1	1	51	
-3650	20000	2	59	4	8	1	1	52	
-3600	20000	2	59	4	8	1	1	53	
-3550	20000	2	59	4	8	1	1	54	
-3500	40000	2	59	3	11	1	1	55	
-3450	20000	2	59	3	8	1	1	56	
-3400	20000	2	59	3	8	1	1	57	
-3350	40000	2	59	3	9	2	2	59	
-3300	40000	2	59	3	9	2	2	61	
-3250	50000	3	66	6	10	3	2	64	
-3200	50000	3	66	6	10	3	2	67	
-3150	50000	3	66	6	10	3	2	70	
-3100	30000	3	66	5	9	2	1	72	
-3050	30000	3	66	5	9	2	1	74	
-3000	30000	3	66	5	9	2	1	76	
-2950	40000	4	83	8	12	2	2	78	
-2900	60000	4	83	7	15	2	3	80	
-2850	40000	4	83	7	13	2	3	82	
-2800	60000	4	83	6	15	10	3	114	
-2750	80000	4	83	6	16	11	4	125	
-2700	80000	4	83	6	16	11	4	136	
-2650	90000	5	86	9	18	13	5	149	
-2600	90000	5	86	9	18	13	5	162	
-2550	70000	5	86	8	17	12	4	174	
-2500	90000	5	86	8	18	17	4	194	
-2450	90000	5	86	8	18	17	4	211	
-2400	90000	5	86	8	18	17	4	228	
-2350	70000	5	86	7	17	16	4	244	
-2300	100000	6	89	9	24	20	5	260	
-2250	100000	6	89	9	24	20	5	280	
-2200	120000	6	89	9	24	20	5	300	
-2150	120000	6	89	9	24	23	5	324	
-2100	150000	7	93	11	28	26	8	349	
-2050	150000	7	93	11	28	27	8	375	
-2000	150000	7	93	11	28	27	8	402	
-1950	150000	7	93	11	28	27	8	429	
-1900	150000	7	93	11	28	27	8	456	
-1850	190000	7	93	10	30	31	8	485	
-1800	190000	7	93	10	30	31	8	516	
-1750	190000	7	93	9	31	32	8	547	
-1700	160000	6	83	8	28	28	7	571	
-1650	130000	5	69	6	23	21	6	589	
-1600	70000	3	37	4	14	11	4	577	
-1550	50000	3	48	4	14	10	4	588	
-1500	40000	2	26	2	11	10	3	598	
-1450	40000	2	26	2	11	10	3	608	
-1400	40000	2	26	2	11	10	3	618	
-1350	40000	2	26	2	11	10	3	628	
-1300	20000	2	26	3	8	7	3	638	
-1250	10000	1	7	1	5	1	2	613	
-1200	10000	1	7	1	5	1	2	614	
-1150	10000	1	9	1	5	1	2	615	
-1100	0	0	0	0	0	0	0	616	
