
#x69814a78
FC-Player-MalandelaKaLuzumana
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	22	1	3	1	2	51	
-3900	10000	1	22	1	3	1	2	52	
-3850	10000	1	22	1	3	1	2	53	
-3800	10000	1	22	1	3	1	2	54	
-3750	10000	1	22	1	3	1	2	55	
-3700	10000	1	22	1	3	1	2	56	
-3650	10000	1	22	1	3	1	2	57	
-3600	20000	2	44	4	5	2	3	59	
-3550	20000	2	44	4	5	2	3	61	
-3500	20000	2	44	4	5	2	3	63	
-3450	20000	2	44	4	5	2	3	65	
-3400	20000	2	44	4	5	2	3	67	
-3350	20000	2	44	4	5	2	3	69	
-3300	40000	2	45	3	7	2	3	71	
-3250	40000	2	45	3	7	2	3	73	
-3200	40000	2	45	3	7	2	3	75	
-3150	40000	2	45	3	7	2	3	77	
-3100	40000	2	45	3	7	2	3	79	
-3050	40000	2	45	3	7	2	3	81	
-3000	60000	2	45	3	7	2	3	83	
-2950	20000	2	45	2	5	2	3	85	
-2900	20000	2	45	2	5	2	3	87	
-2850	20000	2	45	2	5	2	3	89	
-2800	40000	2	45	1	7	2	3	91	
-2750	50000	3	47	4	9	3	4	94	
-2700	50000	3	47	4	9	3	4	97	
-2650	60000	4	56	7	10	3	5	100	
-2600	60000	4	56	7	10	3	5	103	
-2550	60000	4	56	7	10	3	5	106	
-2500	60000	4	56	7	10	3	5	109	
-2450	60000	4	56	7	10	3	5	112	
-2400	60000	4	58	7	10	3	5	115	
-2350	60000	4	58	7	10	3	5	118	
-2300	80000	4	58	7	10	3	6	121	
-2250	80000	4	58	6	10	3	6	124	
-2200	100000	4	61	5	12	3	6	127	
-2150	70000	3	41	4	9	3	5	130	
-2100	80000	4	50	7	10	4	7	134	
-2050	80000	4	50	7	10	3	7	137	
-2000	80000	4	50	8	8	3	7	140	
-1950	80000	4	50	8	8	3	7	143	
-1900	80000	4	50	8	8	3	7	146	
-1850	80000	4	49	8	8	3	7	149	
-1800	100000	4	49	8	8	4	7	153	
-1750	80000	4	49	7	8	3	7	156	
-1700	80000	4	49	7	8	6	7	186	
-1650	100000	4	49	6	10	6	7	192	
-1600	130000	4	50	5	12	6	8	198	
-1550	130000	4	49	4	12	6	7	204	
-1500	130000	4	49	4	12	6	7	210	
-1450	130000	4	49	4	12	6	7	216	
-1400	130000	4	49	4	12	6	7	222	
-1350	130000	4	49	4	12	6	7	228	
-1300	140000	5	56	7	13	6	8	234	
-1250	140000	5	56	7	13	6	8	240	
-1200	140000	5	56	7	13	7	8	246	
-1150	140000	5	56	7	13	11	8	257	
-1100	140000	5	56	7	13	11	8	268	
-1050	130000	4	46	5	12	11	7	279	
-1000	130000	4	49	5	12	11	7	290	
-975	130000	4	49	5	12	11	7	301	
-950	130000	4	49	5	12	11	7	312	
-925	130000	4	49	5	12	11	7	323	
-900	130000	4	49	5	12	11	7	334	
-875	130000	4	49	5	12	11	7	345	
-850	160000	4	49	5	12	11	8	356	
-825	160000	4	49	5	12	11	8	367	
-800	160000	4	48	5	12	11	8	378	
-775	200000	4	48	4	13	11	8	389	
-750	200000	4	48	4	13	11	8	400	
-725	200000	4	48	4	13	11	8	411	
-700	200000	4	48	8	12	6	0	417	
-675	200000	4	48	8	12	6	0	423	
-650	200000	4	48	8	12	6	0	429	
-625	200000	4	48	10	13	17	16	435	
-600	230000	4	48	9	15	14	12	452	
-575	200000	4	48	10	13	14	12	466	
-550	200000	4	48	11	13	14	12	480	
-525	170000	4	48	11	13	14	11	494	
-500	140000	3	28	8	9	11	9	484	
-475	140000	3	28	8	9	11	9	495	
-450	140000	3	28	8	9	11	9	506	
-425	190000	3	28	7	10	12	9	517	
-400	190000	3	28	7	10	12	9	529	
-375	190000	3	28	7	10	12	9	541	
-350	190000	3	28	7	10	12	9	553	
-325	190000	3	28	7	10	13	9	565	
-300	190000	3	28	7	10	13	9	578	
-275	190000	3	28	7	10	13	9	591	
-250	190000	3	28	7	10	13	9	604	
-225	190000	3	28	7	10	16	9	621	
-200	220000	3	28	7	12	18	9	637	
-175	220000	3	28	7	12	18	9	655	
-150	220000	3	28	8	12	18	9	673	
-125	240000	3	28	7	15	21	9	691	
-100	240000	3	28	7	15	21	9	712	
-75	300000	3	28	5	15	21	9	733	
-50	300000	3	28	5	15	21	9	754	
-25	300000	3	28	5	15	21	9	775	
1	300000	3	28	5	15	21	9	796	
20	300000	3	28	5	15	21	9	817	
40	300000	3	28	5	15	21	9	838	
60	300000	3	28	5	15	21	9	859	
80	300000	3	28	5	15	21	9	880	
100	300000	3	28	5	15	21	9	901	
120	300000	3	28	5	15	21	9	922	
140	300000	3	28	5	15	21	9	943	
160	300000	3	28	5	15	21	9	964	
180	300000	3	28	5	15	21	9	985	
200	300000	3	28	5	15	21	9	1006	
220	300000	3	28	5	15	21	9	1027	
240	300000	3	28	5	15	21	9	1048	
260	300000	3	28	5	15	21	9	1069	
280	300000	3	28	5	15	21	9	1090	
300	300000	3	28	5	15	21	9	1111	
320	300000	3	28	5	15	21	9	1132	
340	300000	3	28	5	15	21	9	1153	
360	300000	3	28	5	15	21	9	1174	
380	300000	3	28	5	15	21	9	1195	
400	300000	3	28	5	15	21	9	1216	
420	350000	3	28	3	11	17	9	1237	
440	350000	3	28	3	11	17	9	1254	
460	340000	2	14	1	9	12	6	1271	
