
#x69814978
FC-Player-lojbab
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	20	1	5	0	0	50	
-3900	10000	1	20	1	5	0	0	50	
-3850	10000	1	20	1	5	0	0	50	
-3800	10000	1	20	1	5	0	0	50	
-3750	10000	1	20	1	5	0	1	50	
-3700	10000	1	20	1	5	0	1	50	
-3650	10000	1	20	1	5	0	1	50	
-3600	10000	1	20	1	5	0	1	50	
-3550	20000	2	52	4	8	0	2	50	
-3500	20000	2	52	5	8	0	2	50	
-3450	20000	2	52	5	8	0	2	50	
-3400	20000	2	52	5	8	0	2	50	
-3350	20000	2	52	5	8	0	2	50	
-3300	20000	2	52	5	8	0	2	50	
-3250	60000	2	52	5	9	1	2	51	
-3200	40000	2	52	4	9	0	2	51	
-3150	40000	2	50	4	9	0	2	51	
-3100	50000	3	59	7	11	1	3	52	
-3050	50000	3	59	7	11	1	3	53	
-3000	50000	3	59	7	11	1	3	54	
-2950	50000	3	59	7	11	1	3	55	
-2900	50000	3	59	7	11	1	3	56	
-2850	50000	3	59	7	11	1	3	57	
-2800	50000	3	59	7	11	1	3	58	
-2750	50000	3	59	6	11	1	3	59	
-2700	70000	3	59	6	11	6	3	66	
-2650	70000	3	59	4	13	5	4	71	
-2600	70000	3	59	4	13	5	4	76	
-2550	70000	3	59	4	13	5	4	81	
-2500	80000	4	62	6	16	13	4	88	
-2450	90000	5	66	9	19	7	5	95	
-2400	90000	5	65	9	19	7	5	102	
-2350	90000	5	65	9	19	7	6	109	
-2300	90000	5	65	9	19	7	6	116	
-2250	90000	5	65	9	19	7	6	123	
-2200	90000	5	65	9	19	7	6	130	
-2150	120000	5	65	9	19	7	6	137	
-2100	140000	5	64	9	19	8	6	145	
-2050	120000	5	64	8	19	7	6	152	
-2000	140000	5	64	8	20	8	6	160	
-1950	140000	5	64	8	20	8	6	168	
-1900	120000	5	64	8	18	8	5	176	
-1850	120000	5	64	8	18	8	5	184	
-1800	120000	5	64	8	18	8	5	192	
-1750	120000	5	64	10	18	4	5	196	
-1700	140000	5	64	9	20	4	6	200	
-1650	140000	5	64	9	20	4	6	204	
-1600	140000	5	64	9	20	3	6	207	
-1550	160000	5	64	8	20	4	6	211	
-1500	160000	5	64	8	20	4	6	215	
-1450	200000	5	64	8	20	5	6	220	
-1400	220000	5	64	8	20	6	6	226	
-1350	200000	5	64	7	20	5	6	231	
-1300	80000	4	46	4	13	4	4	231	
-1250	110000	4	47	6	15	3	5	234	
-1200	110000	4	47	6	15	3	5	237	
-1150	110000	4	47	6	15	3	5	240	
-1100	110000	4	47	6	15	3	5	243	
-1050	110000	4	47	6	15	3	5	246	
-1000	110000	4	47	6	15	3	5	249	
-975	130000	4	47	5	17	3	6	252	
-950	130000	4	47	5	17	3	6	255	
-925	100000	4	47	4	16	3	5	258	
-900	120000	4	47	4	16	4	5	262	
-875	100000	4	47	3	16	3	5	265	
-850	100000	4	47	4	16	3	5	268	
-825	100000	4	47	5	16	3	5	271	
-800	80000	4	47	5	14	3	4	274	
-775	80000	4	47	6	14	3	4	277	
-750	80000	4	47	6	14	3	4	280	
-725	80000	4	47	6	14	3	4	283	
-700	110000	4	47	6	15	3	5	286	
-675	110000	4	47	6	15	3	5	289	
-650	110000	4	47	6	15	3	5	292	
-625	110000	4	47	6	17	2	6	295	
-600	130000	4	47	6	17	3	6	298	
-575	100000	3	44	6	12	0	4	301	
-550	90000	2	24	4	10	0	3	301	
-525	90000	2	33	4	10	0	3	301	
-500	90000	2	33	4	10	0	3	301	
-475	90000	2	33	4	10	0	3	301	
-450	90000	2	33	4	10	0	3	301	
-425	70000	2	33	3	10	-1	3	300	
-400	70000	2	33	3	10	4	3	305	
-375	80000	3	35	6	13	7	3	312	
-350	80000	3	35	6	13	7	3	319	
-325	100000	3	35	6	13	8	3	327	
-300	100000	3	35	6	13	8	3	335	
-275	100000	3	35	6	13	8	3	343	
-250	100000	3	35	6	13	8	3	351	
-225	100000	3	35	5	13	8	3	359	
-200	100000	3	35	6	13	8	3	367	
-175	100000	3	35	6	13	8	3	375	
-150	120000	3	36	5	14	9	4	383	
-125	120000	3	36	5	14	9	4	392	
-100	120000	3	36	5	14	9	4	401	
-75	120000	3	36	5	14	9	4	410	
-50	120000	3	36	5	14	9	4	419	
-25	120000	3	36	5	14	9	4	428	
1	120000	3	36	5	14	9	4	437	
20	120000	3	36	5	14	9	4	446	
40	150000	3	36	5	14	9	4	455	
60	150000	3	36	5	14	9	4	464	
80	150000	3	36	5	14	9	4	473	
100	150000	3	36	5	14	9	4	482	
120	150000	3	36	5	14	9	4	491	
140	150000	3	36	5	14	9	4	500	
160	150000	3	36	5	14	9	4	509	
180	150000	3	36	5	14	9	4	518	
200	150000	3	36	5	14	9	4	527	
220	150000	3	36	5	14	8	4	535	
240	190000	3	36	4	16	8	4	543	
260	190000	3	36	4	16	8	4	551	
280	190000	3	36	4	16	8	4	559	
300	190000	3	36	4	16	8	4	567	
320	190000	3	36	4	16	8	4	575	
340	190000	3	36	4	16	8	4	583	
360	190000	3	36	4	16	8	4	591	
380	190000	3	36	4	16	8	4	599	
400	190000	3	36	4	16	8	4	607	
420	190000	3	36	4	16	8	4	615	
440	230000	3	36	4	16	9	4	624	
460	230000	3	36	4	16	9	4	633	
480	260000	3	36	3	17	11	4	643	
500	260000	3	36	3	17	11	4	654	
