
#x69814c78
FC-Player-BrianMulroney
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	32	1	5	1	1	51	
-3900	10000	1	32	1	5	1	1	52	
-3850	10000	1	32	1	5	1	1	53	
-3800	20000	2	39	2	7	1	1	54	
-3750	20000	2	39	2	7	1	1	55	
-3700	20000	2	39	2	7	1	1	56	
-3650	20000	2	39	3	7	1	1	57	
-3600	20000	2	39	3	7	1	1	58	
-3550	20000	2	39	3	7	1	1	59	
-3500	20000	2	39	3	7	1	1	60	
-3450	20000	2	39	3	7	1	1	61	
-3400	20000	2	39	3	7	1	1	62	
-3350	20000	2	39	3	7	1	2	63	
-3300	40000	2	39	2	10	1	2	64	
-3250	20000	2	39	2	7	1	2	65	
-3200	20000	2	39	2	7	1	2	66	
-3150	20000	2	39	2	7	1	2	67	
-3100	20000	2	39	3	7	1	2	68	
-3050	20000	2	39	3	7	9	2	68	
-3000	30000	3	58	5	9	1	3	69	
-2950	50000	3	58	4	11	1	3	70	
-2900	30000	3	58	4	9	1	3	71	
-2850	30000	3	58	4	9	1	3	72	
-2800	30000	3	58	4	9	1	3	73	
-2750	40000	4	61	7	11	3	4	76	
-2700	40000	4	61	7	11	3	4	79	
-2650	60000	4	61	6	14	3	4	82	
-2600	40000	4	61	6	11	3	4	85	
-2550	40000	4	61	6	11	3	4	88	
-2500	40000	4	61	6	11	3	4	91	
-2450	40000	4	61	6	11	3	4	94	
-2400	40000	4	61	6	11	3	4	97	
-2350	60000	4	61	5	13	3	4	100	
-2300	80000	4	62	4	15	3	4	103	
-2250	90000	5	69	7	16	3	5	106	
-2200	90000	5	69	7	16	3	5	109	
-2150	90000	5	69	7	16	3	5	112	
-2100	90000	5	68	7	16	3	5	115	
-2050	110000	5	66	7	16	2	6	117	
-2000	110000	5	66	7	16	2	6	119	
-1950	130000	5	66	6	19	2	6	121	
-1900	110000	5	66	6	16	2	6	123	
-1850	110000	5	65	6	16	2	6	125	
-1800	130000	5	65	5	18	2	6	127	
-1750	130000	5	65	5	18	2	6	129	
-1700	130000	5	65	6	18	2	6	131	
-1650	130000	5	65	6	18	2	6	133	
-1600	110000	5	65	6	16	2	6	135	
-1550	90000	5	65	6	14	4	6	141	
-1500	90000	5	65	6	14	4	6	145	
-1450	90000	5	65	7	14	3	6	148	
-1400	90000	5	65	7	14	6	6	155	
-1350	130000	5	65	6	16	6	6	161	
-1300	150000	5	65	5	19	6	6	167	
-1250	130000	5	65	5	16	6	6	173	
-1200	130000	5	65	5	16	6	6	179	
-1150	130000	5	64	5	16	7	6	185	
-1100	130000	5	64	6	16	7	6	192	
-1050	140000	6	66	7	20	8	7	200	
-1000	140000	6	66	7	20	8	7	208	
-975	120000	6	66	7	18	8	7	216	
-950	120000	6	66	7	18	8	7	224	
-925	120000	6	66	8	18	8	7	232	
-900	120000	6	66	8	18	8	7	240	
-875	120000	6	66	7	18	8	7	248	
-850	120000	6	66	7	18	8	7	256	
-825	120000	6	66	7	18	8	7	264	
-800	130000	5	48	4	18	10	6	272	
-775	160000	5	63	4	18	7	6	279	
-750	150000	4	55	4	14	6	5	286	
-725	150000	4	59	4	14	6	5	292	
-700	120000	4	59	4	13	5	5	298	
-675	120000	3	40	3	12	8	3	290	
-650	90000	2	31	2	11	0	2	283	
-625	70000	2	31	3	9	0	2	283	
-600	60000	1	22	1	7	0	1	283	
-575	60000	1	25	1	7	0	1	283	
-550	30000	1	25	1	7	-1	1	283	
-525	30000	1	25	1	7	-1	1	282	
-500	30000	1	25	1	7	-1	1	281	
-475	30000	1	25	1	7	-1	1	280	
-450	30000	1	25	1	7	-1	1	279	
-425	10000	1	24	1	3	-1	1	278	
-400	10000	1	24	2	3	-1	1	277	
-375	10000	1	22	2	3	-1	1	276	
-350	10000	1	22	2	3	-1	1	275	
-325	10000	1	22	1	1	-1	1	274	
-300	10000	1	22	1	1	-1	1	273	
-275	0	0	0	0	0	0	0	272	
