
#x69814d78
FC-Player-RoyJenkins
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	37	2	1	1	1	51	
-3900	10000	1	37	2	1	1	1	52	
-3850	10000	1	37	2	1	1	1	53	
-3800	10000	1	37	2	1	1	1	54	
-3750	10000	1	37	2	1	1	1	55	
-3700	10000	1	37	2	1	1	1	56	
-3650	10000	1	37	2	1	1	1	57	
-3600	10000	1	37	2	1	1	1	58	
-3550	10000	1	37	2	1	1	1	59	
-3500	40000	2	53	5	2	2	2	61	
-3450	40000	2	53	5	2	2	2	63	
-3400	40000	2	53	5	2	2	2	65	
-3350	40000	2	53	5	2	2	3	67	
-3300	40000	2	53	5	2	2	3	69	
-3250	40000	2	53	5	2	2	3	71	
-3200	60000	2	53	4	4	2	3	73	
-3150	60000	2	53	4	4	2	3	75	
-3100	60000	2	53	4	4	2	3	77	
-3050	60000	2	53	4	4	2	3	79	
-3000	60000	2	53	4	4	2	3	81	
-2950	60000	2	53	4	4	2	3	83	
-2900	60000	2	53	4	4	2	3	85	
-2850	60000	2	53	4	4	2	3	87	
-2800	60000	2	53	4	4	5	3	88	
-2750	90000	2	58	4	4	2	3	90	
-2700	90000	2	58	4	4	2	3	92	
-2650	90000	2	58	4	4	2	3	94	
-2600	90000	2	58	4	4	2	3	96	
-2550	90000	2	58	4	4	2	3	98	
-2500	90000	2	58	4	4	2	3	100	
-2450	120000	2	59	3	6	2	3	102	
-2400	120000	2	59	3	6	2	3	104	
-2350	120000	2	59	3	6	2	3	106	
-2300	120000	2	59	3	6	2	3	108	
-2250	90000	2	58	3	4	2	3	110	
-2200	90000	2	58	3	4	2	3	112	
-2150	100000	3	67	6	6	3	4	115	
-2100	100000	3	67	6	6	3	4	118	
-2050	100000	3	67	6	6	3	4	121	
-2000	70000	3	62	5	6	2	4	123	
-1950	100000	3	67	5	6	3	4	126	
-1900	100000	3	67	5	6	3	4	129	
-1850	100000	3	67	5	6	3	4	132	
-1800	110000	4	79	8	8	3	4	135	
-1750	110000	4	79	8	8	3	4	138	
-1700	130000	4	72	8	8	3	4	141	
-1650	130000	4	72	8	8	3	4	144	
-1600	130000	4	72	7	8	3	4	147	
-1550	130000	4	72	7	8	3	4	150	
-1500	130000	4	72	7	8	3	4	153	
-1450	140000	5	76	9	11	3	4	156	
-1400	140000	5	73	9	11	3	4	159	
-1350	160000	5	73	8	12	3	4	162	
-1300	160000	5	73	8	12	3	4	165	
-1250	160000	5	73	8	12	3	4	168	
-1200	140000	5	73	7	11	3	4	171	
-1150	160000	5	73	7	12	3	4	174	
-1100	160000	5	73	7	12	3	4	177	
-1050	160000	5	73	7	13	3	4	180	
-1000	160000	5	73	7	13	3	4	183	
-975	170000	6	91	9	14	4	5	187	
-950	180000	5	78	6	13	3	6	188	
-925	160000	5	79	7	11	3	6	191	
-900	130000	4	70	4	10	3	6	191	
-875	120000	3	50	2	7	4	5	194	
-850	80000	3	63	3	5	4	4	198	
-825	20000	2	35	1	6	2	2	202	
-800	0	0	0	0	0	0	0	230	
