
#x69814e78
FC-Player-OleHenrikMagga
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	34	3	1	1	1	51	
-3900	10000	1	34	3	1	1	1	52	
-3850	10000	1	34	3	1	1	1	53	
-3800	10000	1	34	3	1	1	1	54	
-3750	10000	1	34	3	1	1	1	55	
-3700	20000	2	73	6	2	1	2	56	
-3650	40000	2	73	4	9	1	2	57	
-3600	40000	2	73	4	9	1	2	58	
-3550	40000	2	73	4	9	1	2	59	
-3500	40000	2	73	4	9	1	2	60	
-3450	40000	2	73	4	9	1	2	61	
-3400	40000	2	73	4	4	1	2	62	
-3350	40000	2	73	4	4	1	2	63	
-3300	40000	2	73	4	4	1	2	64	
-3250	40000	2	73	4	4	1	2	65	
-3200	40000	2	73	4	4	1	2	66	
-3150	40000	2	73	4	4	1	2	67	
-3100	50000	3	97	8	5	1	3	68	
-3050	70000	3	96	6	12	1	3	69	
-3000	70000	3	96	6	12	1	3	70	
-2950	70000	3	96	6	12	1	3	71	
-2900	70000	3	95	6	12	1	3	72	
-2850	50000	3	95	7	3	2	3	74	
-2800	70000	3	95	6	5	2	3	76	
-2750	80000	4	95	9	6	3	4	79	
-2700	80000	4	95	9	6	3	4	82	
-2650	80000	4	95	9	6	3	4	85	
-2600	80000	4	95	9	6	3	4	88	
-2550	110000	5	129	11	16	3	5	91	
-2500	110000	5	129	11	16	3	5	94	
-2450	110000	5	129	11	16	3	5	97	
-2400	110000	5	127	11	16	3	5	100	
-2350	90000	5	127	12	9	3	5	103	
-2300	110000	5	127	11	11	3	6	106	
-2250	160000	5	130	9	13	3	6	109	
-2200	160000	5	130	9	13	3	6	112	
-2150	170000	6	133	12	16	3	7	115	
-2100	170000	6	133	12	16	3	7	118	
-2050	110000	5	90	9	18	2	4	113	
-2000	90000	5	91	11	11	3	4	115	
-1950	80000	4	82	9	10	2	4	118	
-1900	70000	3	71	5	11	1	3	120	
-1850	40000	2	60	3	8	1	2	119	
-1800	40000	2	60	3	8	1	2	120	
-1750	40000	2	60	3	8	1	2	121	
-1700	40000	2	55	4	8	1	2	122	
-1650	40000	2	59	4	8	1	2	123	
-1600	10000	1	21	1	5	1	1	120	
-1550	10000	1	21	1	5	1	1	121	
-1500	10000	1	21	1	5	1	1	122	
-1450	10000	1	21	1	5	1	1	123	
-1400	10000	1	21	1	5	1	1	124	
-1350	30000	1	21	1	5	1	1	125	
-1300	30000	1	21	1	5	1	1	126	
-1250	30000	1	21	1	5	1	1	127	
-1200	30000	1	21	1	5	1	1	128	
-1150	30000	1	21	1	5	1	1	129	
-1100	30000	1	21	1	5	1	1	130	
-1050	30000	1	21	1	5	1	1	131	
-1000	30000	1	21	1	5	1	1	132	
-975	30000	1	21	1	5	1	1	133	
-950	30000	1	21	1	5	1	1	134	
-925	10000	1	21	1	1	0	0	134	
-900	10000	1	21	1	1	0	0	134	
-875	10000	1	21	1	1	0	0	134	
-850	10000	1	21	1	1	0	0	134	
-825	20000	2	22	4	2	2	1	136	
-800	20000	2	22	4	2	2	1	138	
-775	20000	2	22	4	2	2	1	140	
-750	40000	2	22	3	6	3	2	143	
-725	40000	2	22	3	6	3	2	146	
-700	40000	2	22	3	6	3	2	149	
-675	40000	2	22	3	6	3	2	152	
-650	10000	1	6	2	1	2	1	152	
-625	10000	1	6	2	1	1	1	153	
-600	0	0	0	0	0	0	0	149	
