
#x69814f78
FC-Player-DengXiaoping
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	39	1	3	1	1	51	
-3900	10000	1	39	1	3	1	1	52	
-3850	10000	1	39	1	3	1	1	53	
-3800	10000	1	39	1	3	1	1	54	
-3750	20000	2	69	4	4	1	2	55	
-3700	20000	2	69	4	4	1	2	56	
-3650	20000	2	69	4	4	1	2	57	
-3600	20000	2	69	4	4	1	2	58	
-3550	20000	2	69	4	4	1	2	59	
-3500	20000	2	69	4	4	1	2	60	
-3450	40000	2	69	2	8	2	2	62	
-3400	40000	2	69	2	8	2	2	64	
-3350	40000	2	69	2	8	2	2	66	
-3300	40000	2	69	2	8	2	2	68	
-3250	40000	2	69	2	8	2	2	70	
-3200	40000	2	69	2	8	2	2	72	
-3150	40000	2	69	2	8	2	2	74	
-3100	20000	2	69	3	4	1	2	75	
-3050	20000	2	69	3	4	1	2	76	
-3000	40000	2	69	3	4	1	2	77	
-2950	20000	2	69	2	4	1	2	78	
-2900	30000	3	74	5	6	2	3	80	
-2850	50000	3	74	4	8	3	3	83	
-2800	50000	3	74	4	8	3	3	86	
-2750	60000	4	91	7	10	3	4	89	
-2700	60000	4	91	7	10	3	4	92	
-2650	60000	4	91	7	10	3	4	95	
-2600	60000	4	91	7	10	3	4	98	
-2550	60000	4	91	7	10	5	4	100	
-2500	60000	4	91	7	10	2	4	102	
-2450	80000	4	91	7	10	2	4	104	
-2400	80000	4	91	7	10	3	4	106	
-2350	80000	4	91	7	10	3	4	109	
-2300	100000	4	91	6	12	2	5	111	
-2250	100000	4	91	6	12	6	5	117	
-2200	100000	4	89	6	12	6	5	123	
-2150	100000	4	89	6	12	8	5	131	
-2100	130000	4	90	5	14	8	5	139	
-2050	130000	4	90	5	14	8	5	147	
-2000	130000	4	90	5	14	8	5	155	
-1950	130000	4	90	5	14	8	5	163	
-1900	130000	4	90	5	14	8	5	171	
-1850	130000	4	90	5	14	8	5	179	
-1800	120000	4	89	6	10	8	5	187	
-1750	120000	4	89	6	10	8	5	195	
-1700	160000	5	97	8	15	10	6	203	
-1650	160000	5	97	8	15	10	6	213	
-1600	160000	5	97	8	15	10	6	223	
-1550	130000	4	84	5	12	10	5	233	
-1500	130000	4	89	6	12	10	5	243	
-1450	130000	4	89	6	12	10	5	253	
-1400	160000	4	90	5	14	10	5	263	
-1350	160000	4	90	5	14	10	5	273	
-1300	160000	4	90	5	14	10	5	283	
-1250	160000	4	90	5	14	10	5	293	
-1200	160000	4	90	5	14	10	5	303	
-1150	160000	4	90	5	14	10	5	313	
-1100	160000	4	90	5	14	10	5	323	
-1050	160000	4	90	5	14	10	5	333	
-1000	160000	4	90	5	14	10	5	343	
-975	160000	4	90	5	14	10	5	353	
-950	160000	4	90	5	14	10	5	363	
-925	160000	4	90	5	14	10	5	373	
-900	190000	4	91	5	14	10	5	383	
-875	190000	4	91	5	14	10	5	393	
-850	210000	4	91	5	14	10	5	403	
-825	190000	4	91	5	14	10	5	413	
-800	180000	3	68	4	13	10	6	423	
-775	180000	3	82	4	13	10	6	433	
-750	180000	3	82	4	13	10	6	443	
-725	150000	3	80	3	13	10	5	453	
-700	130000	3	80	5	11	12	5	472	
-675	120000	2	50	3	9	10	4	484	
-650	120000	2	55	3	9	10	4	494	
-625	60000	1	12	1	7	9	2	482	
-600	0	0	0	0	0	0	0	465	
