
#x69815078
FC-Player-KonstantinPÃ¤ts
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	42	1	7	0	0	50	
-3900	10000	1	42	1	7	0	0	50	
-3850	10000	1	42	1	7	0	0	50	
-3800	20000	2	47	3	9	0	1	50	
-3750	20000	2	47	3	9	0	1	50	
-3700	20000	2	47	3	9	0	1	50	
-3650	20000	2	47	3	9	0	1	50	
-3600	20000	2	47	3	9	1	1	50	
-3550	20000	2	47	3	9	1	1	51	
-3500	20000	2	47	3	9	1	1	52	
-3450	20000	2	47	3	9	1	1	53	
-3400	20000	2	47	3	9	1	1	54	
-3350	40000	2	47	3	10	1	1	55	
-3300	40000	2	47	3	10	1	1	56	
-3250	40000	2	47	3	10	1	1	57	
-3200	40000	2	47	3	10	1	1	58	
-3150	40000	2	47	3	10	5	1	58	
-3100	40000	2	47	3	10	0	1	58	
-3050	40000	2	47	3	10	0	1	58	
-3000	60000	2	47	3	13	0	1	58	
-2950	40000	2	47	2	10	0	1	58	
-2900	40000	2	47	2	10	0	1	58	
-2850	40000	2	47	2	10	0	1	58	
-2800	40000	2	47	2	10	0	1	58	
-2750	50000	3	72	5	13	0	2	58	
-2700	50000	3	72	5	13	0	2	58	
-2650	50000	3	72	5	13	0	2	58	
-2600	80000	3	72	4	13	0	3	58	
-2550	80000	3	72	4	13	0	3	58	
-2500	50000	3	72	4	13	0	2	58	
-2450	50000	3	72	4	13	0	2	58	
-2400	60000	4	73	6	16	3	2	61	
-2350	60000	4	70	6	16	3	2	64	
-2300	80000	4	70	5	18	8	3	67	
-2250	80000	4	70	5	18	8	3	75	
-2200	80000	4	70	5	18	8	4	83	
-2150	80000	4	70	5	18	8	4	91	
-2100	80000	4	70	5	18	8	4	99	
-2050	80000	4	70	5	18	8	4	107	
-2000	80000	4	70	5	18	8	4	115	
-1950	80000	4	70	5	19	9	4	123	
-1900	80000	4	70	5	19	9	4	132	
-1850	80000	4	70	4	19	9	4	141	
-1800	100000	4	70	3	22	9	4	150	
-1750	80000	4	70	3	19	9	4	159	
-1700	80000	4	70	3	19	16	4	300	
-1650	80000	4	70	3	19	16	4	316	
-1600	90000	5	75	6	21	19	5	335	
-1550	90000	5	75	6	21	19	5	354	
-1500	100000	6	90	9	24	19	6	373	
-1450	120000	6	90	9	24	20	6	393	
-1400	120000	6	85	9	24	20	6	413	
-1350	120000	6	85	9	24	20	6	433	
-1300	120000	6	85	9	24	20	6	453	
-1250	90000	5	60	8	17	13	4	465	
-1200	80000	4	52	6	15	10	3	478	
-1150	80000	4	54	6	15	10	3	488	
-1100	80000	4	54	6	15	10	3	498	
-1050	100000	4	55	6	15	10	3	508	
-1000	130000	4	55	5	15	10	4	518	
-975	110000	4	55	5	15	10	4	528	
-950	110000	4	55	5	15	10	4	538	
-925	110000	4	55	5	15	10	4	548	
-900	110000	4	55	5	15	10	4	558	
-875	110000	4	55	5	15	10	4	568	
-850	110000	4	55	5	15	10	4	578	
-825	100000	3	34	3	12	10	3	588	
-800	100000	3	36	3	12	10	3	598	
-775	120000	3	37	3	15	13	3	608	
-750	120000	3	37	3	15	13	3	621	
-725	120000	3	37	3	15	13	3	634	
-700	120000	3	37	2	15	13	3	647	
-675	90000	2	29	1	13	10	2	632	
-650	90000	2	29	1	13	10	2	642	
-625	90000	2	29	1	13	10	2	652	
-600	90000	2	29	1	13	10	2	662	
-575	90000	2	29	1	13	10	2	672	
-550	90000	2	29	1	13	10	2	682	
-525	90000	2	29	1	13	10	2	692	
-500	90000	2	29	1	13	10	2	702	
-475	90000	2	29	1	13	10	2	712	
-450	30000	1	20	0	10	10	0	698	
-425	30000	1	20	0	10	10	0	708	
-400	30000	1	20	0	10	10	0	718	
