
#x69815178
FC-Player-PierreCharles
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	33	2	5	1	1	51	
-3900	10000	1	33	2	5	1	1	52	
-3850	10000	1	33	2	5	1	1	53	
-3800	10000	1	33	2	5	1	1	54	
-3750	10000	1	33	2	5	1	1	55	
-3700	10000	1	33	2	5	1	1	56	
-3650	20000	2	77	5	7	4	2	60	
-3600	20000	2	77	5	7	4	2	64	
-3550	20000	2	77	5	7	4	2	68	
-3500	40000	2	77	5	9	5	3	73	
-3450	20000	2	77	4	7	4	2	77	
-3400	20000	2	77	4	7	9	2	98	
-3350	40000	2	77	4	8	10	2	107	
-3300	50000	3	79	7	9	12	3	119	
-3250	50000	3	79	7	9	12	3	131	
-3200	50000	3	79	7	9	12	3	143	
-3150	50000	3	79	7	9	12	3	155	
-3100	50000	3	79	7	9	12	3	167	
-3050	50000	3	79	7	9	12	3	179	
-3000	50000	3	79	7	9	12	3	191	
-2950	50000	3	79	7	9	12	3	203	
-2900	70000	3	79	7	11	15	4	216	
-2850	120000	3	82	5	15	19	5	231	
-2800	120000	3	82	5	15	19	5	250	
-2750	120000	3	82	6	15	19	5	269	
-2700	120000	3	82	6	15	19	5	288	
-2650	120000	3	82	6	15	19	5	307	
-2600	120000	3	82	6	15	19	5	326	
-2550	120000	3	82	6	15	19	5	345	
-2500	120000	3	82	6	15	19	5	364	
-2450	120000	3	82	6	15	19	5	383	
-2400	120000	3	82	6	15	19	5	402	
-2350	120000	3	82	6	15	19	5	421	
-2300	120000	3	82	6	15	19	5	440	
-2250	120000	3	82	6	15	19	5	459	
-2200	120000	3	82	6	15	19	5	478	
-2150	190000	3	84	5	18	22	7	497	
-2100	190000	3	84	5	18	22	7	519	
-2050	190000	3	84	5	18	22	7	541	
-2000	190000	3	84	5	18	22	7	563	
-1950	190000	3	84	5	18	22	7	585	
-1900	190000	3	84	5	18	22	7	607	
-1850	190000	3	84	5	18	22	7	629	
-1800	60000	1	28	2	8	10	4	600	
-1750	60000	1	28	2	8	10	4	610	
-1700	30000	1	26	2	7	9	2	620	
-1650	0	0	0	0	0	0	0	617	
