
#x69815278
FC-Player-WÅadysÅawJagieÅÅo
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	33	2	3	1	1	51	
-3900	10000	1	33	2	3	1	1	52	
-3850	10000	1	33	2	3	1	1	53	
-3800	20000	2	45	4	4	1	2	54	
-3750	20000	2	45	4	4	1	2	55	
-3700	20000	2	45	4	4	1	2	56	
-3650	20000	2	45	4	4	1	2	57	
-3600	20000	2	45	4	4	1	2	58	
-3550	20000	2	45	4	4	1	3	59	
-3500	40000	2	45	3	8	2	3	61	
-3450	40000	2	45	3	9	2	3	63	
-3400	20000	2	45	3	6	1	3	64	
-3350	40000	2	45	2	8	2	3	66	
-3300	40000	2	45	2	8	2	3	68	
-3250	40000	2	45	2	8	2	3	70	
-3200	40000	2	45	2	8	2	3	72	
-3150	50000	3	56	5	11	2	4	74	
-3100	50000	3	56	5	11	2	4	76	
-3050	50000	3	56	5	11	2	4	78	
-3000	50000	3	56	5	11	2	4	80	
-2950	50000	3	56	5	11	2	4	82	
-2900	50000	3	56	5	11	2	4	84	
-2850	70000	3	56	4	14	3	4	87	
-2800	50000	3	56	4	11	2	4	89	
-2750	50000	3	56	4	11	2	4	91	
-2700	70000	3	56	4	11	5	4	93	
-2650	50000	3	56	4	9	2	4	95	
-2600	50000	3	56	4	9	1	4	96	
-2550	50000	3	56	4	9	1	4	97	
-2500	60000	4	63	7	12	4	4	101	
-2450	60000	4	63	7	12	4	4	105	
-2400	60000	4	63	7	12	4	4	109	
-2350	80000	4	63	6	14	4	4	113	
-2300	90000	5	90	10	16	5	5	118	
-2250	90000	5	90	10	16	5	5	123	
-2200	110000	5	90	9	19	6	5	129	
-2150	90000	5	90	9	15	5	5	134	
-2100	90000	5	90	9	15	9	5	144	
-2050	110000	5	90	8	17	11	6	153	
-2000	130000	5	90	7	17	11	6	164	
-1950	130000	5	90	7	17	14	6	180	
-1900	130000	5	90	7	17	14	6	194	
-1850	130000	5	90	7	17	14	6	208	
-1800	140000	6	91	9	21	14	7	221	
-1750	150000	7	96	12	23	18	8	240	
-1700	150000	7	96	12	23	18	8	258	
-1650	150000	7	96	12	23	18	8	276	
-1600	150000	7	96	12	23	17	8	293	
-1550	150000	7	96	12	23	17	8	310	
-1500	200000	7	97	10	27	21	8	328	
-1450	200000	7	97	10	27	21	8	349	
-1400	200000	7	97	10	27	21	8	370	
-1350	200000	7	97	10	27	20	8	390	
-1300	220000	7	97	9	29	20	8	410	
-1250	220000	7	97	9	29	20	8	430	
-1200	220000	7	97	9	29	20	8	450	
-1150	250000	7	97	9	29	20	8	470	
-1100	250000	7	97	9	29	20	8	490	
-1050	250000	7	97	9	29	20	8	510	
-1000	250000	7	97	9	29	20	8	530	
-975	250000	7	97	10	29	19	8	549	
-950	250000	7	97	10	29	19	8	568	
-925	300000	7	97	9	31	21	9	587	
-900	300000	7	97	9	31	21	9	608	
-875	300000	7	97	9	31	21	9	629	
-850	300000	7	97	9	31	21	9	650	
-825	340000	7	97	8	32	21	9	671	
-800	340000	7	97	8	32	22	9	692	
-775	330000	7	97	8	31	23	9	715	
-750	330000	7	95	8	31	26	9	744	
-725	330000	7	95	9	28	22	0	766	
-700	340000	8	96	18	34	32	18	788	
-675	340000	8	96	19	34	31	17	820	
-650	380000	8	96	18	36	34	17	852	
-625	380000	8	96	18	36	34	17	886	
-600	380000	8	96	18	36	34	17	920	
-575	360000	8	95	17	35	33	16	953	
-550	390000	8	95	16	37	33	16	986	
-525	420000	7	89	14	37	34	16	1019	
-500	440000	7	93	13	39	38	17	1054	
-475	440000	7	90	14	39	38	17	1093	
-450	440000	7	93	14	39	38	17	1131	
-425	440000	7	93	14	39	38	17	1169	
-400	440000	7	93	14	39	38	17	1207	
-375	490000	7	93	12	39	38	17	1245	
-350	490000	7	93	14	39	38	17	1283	
-325	490000	7	93	14	39	38	17	1321	
-300	490000	7	93	14	39	38	17	1359	
-275	530000	7	93	13	41	41	17	1398	
-250	530000	7	92	13	41	41	17	1439	
-225	530000	7	92	13	41	41	17	1480	
-200	530000	7	92	13	41	41	17	1521	
-175	530000	7	92	13	41	41	17	1562	
-150	530000	7	91	13	41	41	17	1603	
-125	560000	7	91	12	43	41	17	1644	
-100	580000	7	91	12	41	41	18	1685	
-75	590000	7	91	11	45	40	17	1726	
-50	580000	6	86	9	43	41	16	1766	
-25	430000	5	79	6	38	35	14	1748	
1	330000	4	65	4	24	25	12	1676	
20	330000	4	65	4	24	25	12	1701	
40	330000	4	65	4	24	25	12	1726	
60	280000	4	65	3	18	17	0	1742	
80	120000	2	28	-1	15	15	0	1644	
100	60000	1	18	0	5	7	5	1625	
120	60000	1	18	-1	7	10	6	1632	
