
#x69815378
FC-Player-DaoudKhan
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	38	2	3	1	1	51	
-3900	10000	1	38	2	3	1	1	52	
-3850	10000	1	38	2	3	1	1	53	
-3800	10000	1	38	2	3	1	1	54	
-3750	20000	2	52	5	6	1	2	55	
-3700	20000	2	52	5	6	1	2	56	
-3650	20000	2	52	5	6	1	2	57	
-3600	20000	2	52	5	6	1	2	58	
-3550	20000	2	52	5	6	1	2	59	
-3500	40000	2	52	4	10	1	3	60	
-3450	60000	2	53	3	12	2	3	62	
-3400	40000	2	53	3	8	2	2	64	
-3350	40000	2	53	3	8	2	2	66	
-3300	40000	2	53	3	8	2	2	68	
-3250	20000	2	53	3	6	1	2	69	
-3200	30000	3	67	5	9	1	2	70	
-3150	30000	3	67	5	9	1	2	71	
-3100	30000	3	67	5	9	1	2	72	
-3050	40000	4	70	8	12	4	2	76	
-3000	60000	4	70	7	14	5	2	81	
-2950	60000	4	70	7	14	5	2	86	
-2900	60000	4	70	7	14	5	2	91	
-2850	80000	4	70	6	18	5	3	96	
-2800	60000	4	70	6	14	5	2	101	
-2750	40000	4	70	6	12	7	2	112	
-2700	40000	4	70	6	12	10	2	123	
-2650	40000	4	70	6	13	10	2	133	
-2600	70000	5	75	9	15	10	4	143	
-2550	70000	5	75	9	15	10	4	153	
-2500	90000	5	75	8	17	13	4	164	
-2450	90000	5	75	8	17	13	4	177	
-2400	70000	5	69	9	16	10	4	182	
-2350	70000	5	69	9	16	11	4	192	
-2300	70000	5	69	9	16	11	4	203	
-2250	110000	5	69	7	22	15	5	214	
-2200	60000	4	55	5	15	9	4	227	
-2150	80000	4	55	4	18	9	4	236	
-2100	50000	3	43	3	13	8	3	234	
-2050	50000	3	43	3	13	8	3	242	
-2000	60000	4	46	4	14	8	4	250	
-1950	80000	4	46	4	14	8	4	258	
-1900	50000	3	28	3	7	1	2	266	
-1850	50000	3	29	3	7	1	2	267	
-1800	50000	3	29	3	7	1	2	268	
-1750	50000	3	29	3	7	1	2	269	
-1700	30000	3	29	3	7	0	2	270	
-1650	20000	2	20	1	5	0	1	270	
-1600	20000	2	24	1	5	0	1	270	
-1550	20000	2	24	1	5	0	1	270	
-1500	20000	2	24	1	5	0	1	270	
-1450	20000	2	24	1	5	0	1	270	
-1400	20000	2	24	1	5	0	1	270	
-1350	20000	2	24	1	5	0	1	270	
-1300	20000	2	24	1	5	0	1	270	
-1250	20000	2	24	1	5	0	1	270	
-1200	20000	2	24	1	5	0	1	270	
-1150	20000	2	24	1	5	0	1	270	
-1100	20000	2	24	1	5	0	1	270	
-1050	40000	2	26	0	6	0	1	270	
-1000	40000	2	26	0	6	0	1	270	
-975	40000	2	26	0	6	0	1	270	
-950	40000	2	26	0	6	0	1	270	
-925	40000	2	26	0	6	0	1	270	
-900	40000	2	26	0	6	0	1	270	
-875	20000	2	26	0	5	0	1	270	
-850	20000	2	26	0	5	0	1	270	
-825	20000	2	26	0	5	0	1	270	
-800	20000	2	26	0	5	0	1	270	
-775	20000	2	26	1	5	0	1	270	
-750	20000	2	26	1	5	0	1	270	
-725	10000	1	17	1	7	-1	0	270	
-700	10000	1	20	1	7	-1	0	269	
-675	10000	1	20	1	7	-1	0	268	
-650	10000	1	20	1	7	-1	0	267	
-625	10000	1	20	1	7	-1	0	266	
-600	10000	1	20	1	7	-1	0	265	
-575	10000	1	20	1	7	-1	0	264	
-550	10000	1	20	1	7	-1	0	263	
-525	10000	1	20	1	7	-1	0	262	
-500	10000	1	20	1	7	-1	0	261	
-475	10000	1	20	1	7	-1	0	260	
-450	10000	1	20	1	7	-1	0	259	
-425	10000	1	17	1	7	-1	0	258	
-400	10000	1	17	1	7	-1	0	257	
-375	10000	1	17	1	7	-1	0	256	
-350	10000	1	17	1	7	-1	0	255	
-325	10000	1	17	1	7	-1	0	254	
-300	10000	1	17	1	7	-1	0	253	
-275	30000	1	17	0	8	-1	0	252	
-250	10000	1	17	0	7	-1	0	251	
-225	10000	1	17	0	7	-1	0	250	
-200	10000	1	17	0	7	-1	0	249	
-175	10000	1	17	0	7	-1	0	248	
-150	10000	1	17	1	7	-1	0	247	
-125	10000	1	17	1	7	-1	0	246	
-100	10000	1	17	1	7	-1	0	245	
-75	10000	1	17	1	7	-1	0	244	
-50	10000	1	17	1	7	-1	0	243	
-25	10000	1	17	1	7	-1	0	242	
1	10000	1	17	1	7	-1	0	241	
20	10000	1	17	1	7	-1	0	240	
40	10000	1	17	1	7	-1	0	239	
60	10000	1	17	1	7	-1	0	238	
80	10000	1	17	1	7	-1	0	237	
100	10000	1	17	1	7	-1	0	236	
120	10000	1	17	1	7	-1	0	235	
140	10000	1	17	1	7	-1	0	234	
160	10000	1	17	1	7	-1	0	233	
180	10000	1	17	1	7	-1	0	232	
200	10000	1	17	1	7	-1	0	231	
220	10000	1	17	1	7	-1	0	230	
240	10000	1	17	1	7	-1	0	229	
260	10000	1	17	1	7	-1	0	228	
280	30000	1	17	0	8	-1	0	227	
300	10000	1	17	0	7	-1	0	226	
320	10000	1	17	1	7	-1	0	225	
340	10000	1	17	1	7	-1	0	224	
360	10000	1	17	1	7	-1	0	223	
380	10000	1	17	1	7	-1	0	222	
400	10000	1	17	1	7	-1	0	221	
420	10000	1	17	1	7	-1	0	220	
440	10000	1	17	1	7	-1	0	219	
460	10000	1	17	1	7	-1	0	218	
480	10000	1	17	1	7	-1	0	217	
500	10000	1	17	1	7	-1	0	216	
