
#x69815478
FC-Player-AhmedBenBella
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	44	3	3	0	1	50	
-3900	10000	1	44	3	3	0	1	50	
-3850	10000	1	44	3	3	0	1	50	
-3800	20000	2	64	6	4	1	2	51	
-3750	20000	2	64	6	4	2	2	52	
-3700	20000	2	64	6	4	2	2	54	
-3650	40000	2	64	5	8	2	2	56	
-3600	40000	2	64	5	8	2	2	58	
-3550	40000	2	63	5	8	2	2	60	
-3500	40000	2	63	4	8	2	2	62	
-3450	40000	2	63	4	8	2	2	64	
-3400	40000	2	63	4	8	2	2	66	
-3350	40000	2	63	4	8	2	2	68	
-3300	50000	3	73	7	9	4	3	72	
-3250	50000	3	69	8	7	4	3	76	
-3200	70000	3	69	7	11	4	3	80	
-3150	70000	3	69	7	11	4	3	84	
-3100	50000	3	69	7	7	4	3	88	
-3050	50000	3	69	7	7	4	3	92	
-3000	50000	3	69	7	7	4	3	96	
-2950	50000	3	69	6	7	4	3	100	
-2900	50000	3	69	6	7	4	3	104	
-2850	100000	4	73	8	13	5	5	109	
-2800	100000	4	70	8	13	5	5	114	
-2750	110000	5	79	11	16	8	5	122	
-2700	90000	5	79	11	12	8	5	130	
-2650	90000	5	79	11	12	8	5	138	
-2600	90000	5	79	11	12	8	5	146	
-2550	90000	5	79	11	12	8	5	154	
-2500	110000	5	79	10	16	8	5	162	
-2450	120000	6	84	12	19	10	6	172	
-2400	140000	6	84	12	19	13	7	185	
-2350	140000	6	84	12	20	14	7	198	
-2300	160000	6	86	12	21	15	7	212	
-2250	160000	6	86	12	21	15	7	227	
-2200	140000	6	86	12	17	15	7	242	
-2150	160000	6	86	11	21	15	7	257	
-2100	230000	7	89	12	24	17	8	272	
-2050	230000	7	89	12	24	17	8	289	
-2000	230000	7	89	12	24	17	8	306	
-1950	230000	7	89	12	24	17	8	323	
-1900	210000	7	89	12	20	17	9	340	
-1850	210000	7	89	12	20	17	9	357	
-1800	230000	7	89	11	24	17	9	374	
-1750	160000	5	67	8	18	11	7	376	
-1700	150000	4	63	6	15	11	6	387	
-1650	180000	4	64	7	15	12	6	399	
-1600	120000	3	51	5	13	10	4	387	
-1550	150000	3	51	4	15	12	4	397	
-1500	60000	2	36	4	9	5	2	385	
-1450	30000	1	18	2	5	1	1	386	
-1400	10000	1	18	4	3	1	1	387	
-1350	10000	1	18	4	3	1	1	388	
-1300	0	0	0	0	0	0	0	383	
