
#x69814e78
FC-Player-ManuelA.OdrÃ­a
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	38	1	3	1	1	51	
-3900	10000	1	38	1	3	1	1	52	
-3850	10000	1	38	1	3	1	1	53	
-3800	20000	2	64	3	6	2	2	55	
-3750	20000	2	64	3	6	2	2	57	
-3700	20000	2	64	3	6	2	2	59	
-3650	20000	2	64	3	6	2	2	61	
-3600	20000	2	64	3	6	2	2	63	
-3550	20000	2	64	3	6	2	2	65	
-3500	20000	2	64	3	6	2	2	67	
-3450	20000	2	64	3	6	2	2	69	
-3400	20000	2	64	3	6	2	2	71	
-3350	40000	2	64	3	7	2	3	73	
-3300	40000	2	64	3	7	2	3	75	
-3250	40000	2	64	3	7	2	3	77	
-3200	20000	2	64	2	6	2	2	79	
-3150	20000	2	64	2	6	2	2	81	
-3100	20000	2	64	2	6	2	2	83	
-3050	20000	2	64	2	6	2	2	85	
-3000	50000	3	88	5	9	2	2	87	
-2950	30000	3	88	4	9	2	2	89	
-2900	30000	3	88	4	9	2	2	91	
-2850	30000	3	88	4	9	2	2	93	
-2800	30000	3	88	4	9	2	2	95	
-2750	50000	3	88	4	10	2	4	97	
-2700	50000	3	88	4	10	2	4	99	
-2650	50000	3	88	4	10	2	4	101	
-2600	60000	4	94	7	12	6	5	102	
-2550	80000	4	94	7	13	4	5	102	
-2500	80000	4	89	7	13	0	5	102	
-2450	80000	4	89	7	13	0	5	102	
-2400	80000	4	89	7	13	0	5	102	
-2350	80000	4	88	7	13	0	5	102	
-2300	80000	4	88	7	13	0	5	102	
-2250	80000	4	88	7	13	0	5	102	
-2200	80000	4	86	7	13	0	5	102	
-2150	100000	4	86	7	14	1	5	103	
-2100	100000	4	86	7	13	1	5	104	
-2050	100000	4	86	7	12	1	5	105	
-2000	130000	4	86	6	16	2	5	107	
-1950	130000	4	86	6	15	1	5	108	
-1900	130000	4	82	6	15	1	5	109	
-1850	130000	4	82	6	15	1	5	110	
-1800	160000	4	84	6	15	1	5	111	
-1750	160000	4	84	6	15	1	5	112	
-1700	160000	4	84	6	15	1	5	113	
-1650	180000	4	84	6	14	1	5	114	
-1600	160000	4	84	5	14	1	5	115	
-1550	160000	4	84	5	14	1	5	116	
-1500	160000	4	84	5	13	1	5	117	
-1450	160000	4	83	5	13	1	5	118	
-1400	190000	4	83	4	15	1	5	119	
-1350	200000	5	93	7	16	2	6	121	
-1300	200000	5	94	7	16	2	6	123	
-1250	200000	5	94	7	17	2	6	125	
-1200	200000	5	94	7	17	2	6	127	
-1150	200000	5	94	7	17	2	6	129	
-1100	200000	5	94	7	18	2	6	131	
-1050	200000	5	92	7	18	2	6	133	
-1000	170000	5	92	7	16	2	6	134	
-975	170000	5	92	7	15	2	6	136	
-950	200000	6	96	9	21	3	8	139	
-925	200000	6	96	9	21	3	8	142	
-900	240000	6	96	8	23	3	8	145	
-875	210000	6	95	8	22	3	8	148	
-850	240000	6	95	7	24	4	8	152	
-825	200000	6	94	7	22	4	8	156	
-800	200000	6	94	7	23	4	8	160	
-775	170000	6	94	7	19	3	8	162	
-750	170000	6	94	7	19	6	8	171	
-725	180000	7	97	9	21	9	7	177	
-700	190000	6	89	7	20	9	7	186	
-675	180000	7	101	9	21	10	8	196	
-650	190000	8	104	12	23	14	8	215	
-625	180000	7	95	10	22	14	8	229	
-600	180000	7	101	10	22	14	8	243	
-575	210000	7	101	9	24	14	8	257	
-550	210000	7	101	10	24	14	8	271	
-525	210000	7	101	10	24	14	8	285	
-500	230000	7	100	10	26	14	9	299	
-475	230000	7	100	9	26	14	9	313	
-450	250000	7	100	8	26	15	9	328	
-425	250000	7	100	8	26	15	9	343	
-400	250000	7	100	8	26	15	9	358	
-375	280000	7	100	6	27	18	9	374	
-350	280000	7	100	7	28	18	9	392	
-325	280000	7	100	7	28	18	9	410	
-300	280000	7	99	7	28	21	9	431	
-275	280000	7	99	7	28	21	9	452	
-250	250000	7	99	7	25	21	9	473	
-225	220000	7	98	7	23	20	9	493	
-200	220000	7	98	9	22	24	9	521	
-175	220000	7	98	10	23	24	9	545	
-150	220000	7	98	10	23	24	9	569	
-125	220000	7	96	10	22	23	9	593	
-100	220000	7	96	10	22	23	9	616	
-75	220000	7	96	10	22	23	9	639	
-50	220000	7	96	9	22	23	9	661	
-25	220000	7	96	8	23	23	9	684	
1	240000	7	96	8	23	23	9	707	
20	300000	7	96	7	25	25	9	730	
40	300000	7	96	7	25	25	9	755	
60	270000	7	96	7	23	25	9	780	
80	270000	7	96	7	23	25	9	805	
100	270000	7	96	8	23	25	9	830	
120	270000	7	96	9	22	24	9	855	
140	270000	7	96	9	22	24	9	879	
160	300000	7	96	9	24	27	9	904	
180	340000	7	96	9	24	27	9	931	
200	370000	7	96	8	26	29	9	958	
220	370000	7	96	8	26	29	9	987	
240	400000	7	96	7	26	29	9	1016	
260	400000	7	96	7	26	29	9	1045	
280	400000	7	96	7	26	29	9	1074	
300	400000	7	96	7	26	29	9	1103	
320	400000	7	96	7	26	29	9	1132	
340	400000	7	96	7	26	29	9	1161	
360	430000	7	96	6	28	29	9	1190	
380	430000	7	96	6	28	29	9	1219	
400	430000	7	96	6	28	29	9	1248	
420	400000	7	96	6	26	29	9	1277	
440	400000	7	96	6	26	31	9	1311	
460	400000	7	96	7	26	31	9	1342	
480	400000	7	96	7	26	31	9	1373	
500	400000	7	96	7	26	31	9	1404	
