
#x69815678
FC-Player-ZiaurRahman
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	38	1	5	1	2	51	
-3900	10000	1	38	1	5	1	2	52	
-3850	10000	1	38	1	5	1	2	53	
-3800	10000	1	38	1	5	1	2	54	
-3750	20000	2	48	4	6	2	3	56	
-3700	20000	2	48	4	6	2	3	58	
-3650	20000	2	48	4	6	2	3	60	
-3600	20000	2	48	4	6	2	3	62	
-3550	20000	2	48	4	6	2	3	64	
-3500	20000	2	48	4	6	2	3	66	
-3450	40000	2	48	4	6	2	4	68	
-3400	40000	2	48	4	6	2	4	70	
-3350	40000	2	48	4	6	2	4	72	
-3300	40000	2	48	4	6	2	4	74	
-3250	40000	2	48	4	6	2	4	76	
-3200	40000	2	48	4	6	2	4	78	
-3150	40000	2	48	4	6	2	4	80	
-3100	40000	2	48	4	6	2	4	82	
-3050	40000	2	48	4	6	2	4	84	
-3000	60000	2	48	3	9	2	4	86	
-2950	70000	2	49	2	8	3	4	89	
-2900	70000	2	49	2	8	3	4	92	
-2850	70000	2	49	2	8	3	4	95	
-2800	70000	2	49	2	8	3	4	98	
-2750	80000	3	50	5	9	4	5	102	
-2700	80000	3	50	5	9	3	5	105	
-2650	80000	3	50	5	9	3	5	108	
-2600	80000	3	50	5	9	3	5	111	
-2550	80000	3	50	5	9	3	5	114	
-2500	80000	3	50	5	9	3	5	117	
-2450	80000	3	50	5	9	3	5	120	
-2400	80000	3	50	5	9	3	5	123	
-2350	80000	3	50	5	9	3	5	126	
-2300	100000	3	50	4	11	3	5	129	
-2250	100000	3	50	4	11	3	5	132	
-2200	100000	3	50	4	11	3	5	135	
-2150	100000	3	50	4	11	3	5	138	
-2100	100000	3	50	4	11	3	5	141	
-2050	100000	3	50	4	11	3	5	144	
-2000	100000	3	50	4	11	3	5	147	
-1950	140000	3	50	3	12	3	5	150	
-1900	140000	3	50	3	12	3	5	153	
-1850	140000	3	50	3	12	3	5	156	
-1800	140000	3	50	2	13	3	5	159	
-1750	120000	3	50	2	10	3	5	162	
-1700	120000	3	50	2	10	3	5	165	
-1650	80000	3	49	2	9	3	5	168	
-1600	80000	3	49	2	9	3	5	171	
-1550	80000	3	49	2	9	3	5	174	
-1500	90000	4	60	5	9	4	6	178	
-1450	90000	4	60	5	9	4	6	182	
-1400	90000	4	60	5	9	4	6	186	
-1350	130000	6	71	9	14	4	8	190	
-1300	130000	6	71	9	14	4	8	194	
-1250	120000	5	55	7	13	4	7	198	
-1200	110000	4	55	6	12	4	6	202	
-1150	110000	4	60	6	12	4	6	206	
-1100	60000	4	60	7	10	3	6	210	
-1050	40000	2	40	3	6	2	3	205	
-1000	40000	2	44	3	6	2	3	207	
-975	40000	2	44	3	7	3	3	209	
-950	40000	2	44	3	7	3	3	212	
-925	40000	2	44	3	7	3	3	215	
-900	40000	2	44	3	7	3	3	218	
-875	40000	2	44	3	7	3	3	221	
-850	40000	2	44	3	7	3	3	224	
-825	40000	2	44	3	7	3	3	227	
-800	40000	2	44	3	7	3	3	230	
-775	60000	2	45	2	10	3	3	233	
-750	40000	2	44	2	7	3	3	236	
-725	40000	2	44	2	7	2	3	238	
-700	40000	2	44	2	7	2	3	240	
-675	40000	2	37	3	7	2	3	242	
-650	70000	2	48	2	8	4	3	245	
-625	70000	2	48	2	8	4	3	249	
-600	70000	2	48	2	8	4	3	253	
-575	70000	2	48	2	8	4	3	257	
-550	70000	2	48	2	8	4	3	261	
-525	70000	2	48	2	8	4	3	265	
-500	70000	2	48	2	8	4	3	269	
-475	70000	2	48	2	8	4	3	273	
-450	70000	2	48	2	8	4	3	277	
-425	70000	2	48	2	8	4	3	281	
-400	70000	2	48	2	8	4	3	285	
-375	70000	2	48	2	8	4	3	289	
-350	70000	2	48	2	8	4	3	293	
-325	70000	2	48	2	8	4	3	297	
-300	70000	2	44	2	8	4	3	301	
-275	70000	2	44	2	8	4	3	305	
-250	70000	2	44	2	8	4	3	309	
-225	70000	2	44	2	8	4	3	313	
-200	90000	2	44	1	11	4	3	317	
-175	70000	2	44	2	8	4	3	321	
-150	70000	2	44	2	8	4	3	325	
-125	70000	2	44	2	8	4	3	329	
-100	70000	2	44	2	8	4	3	333	
-75	70000	2	44	2	8	4	3	337	
-50	70000	2	44	2	8	4	3	341	
-25	70000	2	44	2	8	4	3	345	
1	70000	2	44	2	8	4	3	349	
20	70000	2	44	2	8	4	3	353	
40	70000	2	44	2	8	4	3	357	
60	70000	2	44	2	8	4	3	361	
80	70000	2	44	2	8	4	3	365	
100	70000	2	39	2	8	4	3	369	
120	70000	2	39	2	8	4	3	373	
140	70000	2	39	2	8	4	3	377	
160	70000	2	39	2	8	4	3	381	
180	70000	2	39	2	8	4	3	385	
200	70000	2	39	2	8	4	3	389	
220	70000	2	39	2	7	3	4	393	
240	70000	2	39	2	7	3	4	396	
260	30000	1	16	0	8	0	2	390	
280	10000	1	16	0	5	0	2	390	
300	10000	1	16	0	5	0	2	390	
320	10000	1	16	1	5	0	2	390	
340	10000	1	16	1	5	0	2	390	
360	10000	1	16	1	5	0	2	390	
380	10000	1	16	1	5	0	2	390	
400	10000	1	16	1	5	0	2	390	
420	10000	1	16	1	5	0	2	390	
440	10000	1	16	1	5	0	2	390	
460	10000	1	16	1	5	0	2	390	
480	10000	1	16	1	5	0	2	390	
500	10000	1	16	1	5	0	2	390	
