
#x69815878
FC-Player-Parameswara
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	43	3	1	1	2	51	
-3900	10000	1	43	3	1	1	2	52	
-3850	10000	1	43	3	1	1	2	53	
-3800	10000	1	43	3	1	1	2	54	
-3750	20000	2	67	6	2	1	3	55	
-3700	20000	2	67	6	2	1	3	56	
-3650	40000	2	67	4	9	1	2	57	
-3600	40000	2	67	4	9	1	2	58	
-3550	40000	2	67	4	9	1	2	59	
-3500	40000	2	67	4	9	1	2	60	
-3450	60000	2	67	4	9	1	2	61	
-3400	40000	2	67	5	2	1	3	62	
-3350	40000	2	67	5	2	1	3	63	
-3300	40000	2	67	5	2	1	3	64	
-3250	40000	2	67	5	2	1	3	65	
-3200	50000	3	79	8	3	1	3	66	
-3150	50000	3	79	8	3	1	3	67	
-3100	70000	3	79	6	10	1	2	68	
-3050	70000	3	79	6	10	1	2	69	
-3000	70000	3	79	6	10	1	2	70	
-2950	100000	3	80	6	10	1	2	71	
-2900	80000	3	80	7	3	1	3	72	
-2850	80000	3	80	7	3	1	3	73	
-2800	90000	4	83	10	5	2	5	75	
-2750	110000	4	83	9	7	3	6	78	
-2700	110000	4	83	9	7	3	6	81	
-2650	110000	4	83	9	7	3	6	84	
-2600	130000	4	83	7	14	3	5	87	
-2550	130000	4	83	7	14	3	5	90	
-2500	130000	4	83	7	14	3	5	93	
-2450	130000	4	83	7	14	3	5	96	
-2400	130000	4	83	7	14	2	5	98	
-2350	150000	4	83	7	14	3	5	101	
-2300	150000	4	83	7	14	3	5	104	
-2250	170000	4	83	6	14	2	5	106	
-2200	170000	4	83	6	14	2	5	108	
-2150	150000	4	83	7	7	2	5	110	
-2100	150000	4	83	7	7	2	5	112	
-2050	160000	5	102	10	9	5	6	117	
-2000	120000	5	102	10	8	5	6	122	
-1950	130000	6	115	12	10	8	7	130	
-1900	170000	6	115	9	19	12	7	139	
-1850	170000	6	115	9	19	12	7	151	
-1800	170000	6	115	9	19	12	7	163	
-1750	170000	6	115	9	19	12	7	175	
-1700	160000	7	163	14	14	12	8	187	
-1650	160000	7	163	14	14	13	8	200	
-1600	210000	7	163	13	17	14	8	213	
-1550	210000	7	163	13	17	14	8	227	
-1500	210000	7	163	13	17	14	8	241	
-1450	180000	7	163	13	15	14	8	255	
-1400	250000	8	167	15	19	15	9	270	
-1350	270000	8	166	13	26	22	9	285	
-1300	270000	8	165	13	26	22	9	307	
-1250	270000	8	165	13	26	21	9	328	
-1200	280000	9	165	16	27	21	9	349	
-1150	270000	8	156	14	26	21	9	370	
-1100	270000	8	165	14	26	21	9	391	
-1050	270000	8	165	14	26	21	9	412	
-1000	290000	8	165	14	26	21	9	433	
-975	310000	8	165	13	28	20	9	453	
-950	320000	8	168	14	24	14	9	474	
-925	350000	8	168	12	26	16	10	488	
-900	340000	7	149	9	29	11	8	504	
-875	240000	6	137	8	27	11	7	500	
-850	210000	6	136	8	24	11	6	511	
-825	180000	5	123	7	22	10	5	509	
-800	180000	5	123	7	22	10	5	519	
-775	180000	5	123	7	21	9	5	529	
-750	150000	4	113	6	17	9	4	513	
-725	150000	4	115	11	17	14	9	521	
-700	180000	4	116	9	20	16	8	535	
-675	180000	4	115	9	20	16	7	551	
-650	160000	4	115	8	18	16	7	567	
-625	130000	3	63	3	16	17	6	584	
-600	130000	3	63	3	16	11	6	595	
-575	150000	3	63	4	16	11	7	606	
-550	150000	3	63	4	16	11	7	617	
-525	150000	3	63	4	16	12	8	628	
-500	150000	3	63	4	15	11	8	640	
-475	150000	3	63	4	16	12	8	651	
-450	150000	3	63	4	16	12	8	663	
-425	150000	3	63	4	16	12	8	675	
-400	120000	2	46	2	14	12	6	678	
-375	120000	2	46	2	14	12	6	690	
-350	120000	2	46	2	13	17	6	708	
-325	160000	2	46	1	20	24	6	725	
-300	160000	2	46	1	20	24	6	749	
-275	160000	2	46	1	20	24	6	773	
-250	160000	2	46	1	20	24	6	797	
-225	160000	2	46	1	20	24	6	821	
-200	160000	2	46	1	20	24	6	845	
-175	160000	2	46	1	20	24	6	869	
-150	160000	2	46	1	20	24	6	893	
-125	160000	2	46	1	20	24	6	917	
-100	160000	2	46	1	20	24	6	941	
-75	160000	2	45	0	23	27	6	965	
-50	130000	2	44	2	18	22	6	992	
-25	130000	2	44	2	18	22	6	1014	
1	130000	2	44	2	18	22	6	1036	
20	130000	2	44	2	18	22	6	1058	
40	130000	2	44	2	14	18	6	1080	
60	130000	2	44	2	18	22	6	1098	
80	130000	2	44	2	18	22	6	1120	
100	130000	2	43	2	18	22	6	1142	
120	130000	2	43	2	18	22	6	1164	
140	130000	2	43	2	18	22	6	1186	
160	110000	2	43	3	16	18	5	1208	
180	60000	1	24	1	9	11	3	1226	
200	0	0	0	0	0	0	0	1193	
