
#x69815a78
FC-Player-TajAl-DinAl-Hasani
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	40	1	3	1	2	51	
-3900	10000	1	40	1	3	1	2	52	
-3850	10000	1	40	1	3	1	2	53	
-3800	10000	1	40	1	3	1	2	54	
-3750	10000	1	40	1	3	1	2	55	
-3700	20000	2	62	4	4	2	3	57	
-3650	20000	2	61	4	4	2	3	59	
-3600	20000	2	61	4	4	2	3	61	
-3550	20000	2	61	4	4	2	3	63	
-3500	20000	2	61	4	4	2	3	65	
-3450	20000	2	59	4	4	2	3	67	
-3400	40000	2	61	3	6	2	3	69	
-3350	40000	2	61	3	6	2	3	71	
-3300	40000	2	61	3	6	2	3	73	
-3250	40000	2	60	3	6	2	3	75	
-3200	40000	2	60	3	6	2	3	77	
-3150	40000	2	60	3	6	2	3	79	
-3100	40000	2	60	3	6	2	3	81	
-3050	40000	2	60	3	6	2	3	83	
-3000	60000	2	60	3	6	3	4	86	
-2950	40000	2	60	2	6	2	3	88	
-2900	40000	2	60	2	6	2	3	90	
-2850	40000	2	60	2	6	2	3	92	
-2800	50000	3	61	5	9	2	3	94	
-2750	50000	3	61	5	9	2	3	96	
-2700	50000	3	61	5	11	2	3	98	
-2650	80000	3	61	5	11	2	3	100	
-2600	80000	3	61	5	11	2	3	102	
-2550	50000	3	61	4	11	2	3	104	
-2500	50000	3	61	4	11	2	3	106	
-2450	50000	3	61	4	11	2	3	108	
-2400	50000	3	61	4	11	2	3	110	
-2350	80000	4	71	7	14	2	5	112	
-2300	80000	4	71	7	14	2	5	114	
-2250	80000	4	71	7	14	2	5	116	
-2200	60000	4	71	6	13	2	4	118	
-2150	40000	4	71	6	9	2	4	120	
-2100	40000	4	71	6	10	2	4	122	
-2050	60000	4	71	5	14	2	4	124	
-2000	60000	4	71	5	14	2	4	126	
-1950	70000	5	78	8	16	2	5	128	
-1900	90000	5	79	7	18	2	5	130	
-1850	110000	5	79	7	18	3	6	133	
-1800	90000	5	79	6	18	1	5	134	
-1750	90000	5	79	6	18	5	5	140	
-1700	120000	6	99	9	20	5	7	145	
-1650	100000	6	99	8	19	5	6	150	
-1600	110000	7	104	11	21	11	7	166	
-1550	120000	8	108	12	24	11	8	177	
-1500	140000	8	108	12	24	12	8	189	
-1450	110000	7	93	10	19	7	7	190	
-1400	100000	6	88	10	16	7	6	197	
-1350	60000	4	64	7	8	4	5	193	
-1300	60000	4	71	7	8	5	5	197	
-1250	80000	4	72	7	8	4	5	201	
-1200	80000	4	72	7	8	6	5	207	
-1150	100000	4	72	6	10	8	5	213	
-1100	100000	4	72	6	10	8	5	221	
-1050	100000	4	72	6	10	8	5	229	
-1000	70000	3	47	4	9	8	4	227	
-975	70000	3	47	4	9	8	4	235	
-950	70000	3	47	4	9	8	4	243	
-925	70000	3	47	4	9	8	4	251	
-900	70000	3	47	4	9	8	4	259	
-875	100000	3	47	3	11	10	5	267	
-850	100000	3	47	3	11	10	4	277	
-825	60000	2	33	2	7	7	4	277	
-800	40000	2	32	2	5	4	3	283	
-775	10000	1	18	0	3	4	2	316	
-750	10000	1	18	0	3	4	2	320	
-725	10000	1	18	0	3	4	2	324	
-700	10000	1	18	0	3	4	2	328	
-675	10000	1	18	1	3	4	2	332	
-650	10000	1	18	1	3	4	2	336	
-625	10000	1	18	1	3	4	2	340	
-600	10000	1	18	1	3	4	2	344	
-575	10000	1	18	1	3	4	2	348	
-550	10000	1	18	1	3	4	2	352	
-525	10000	1	18	1	3	4	2	356	
-500	0	0	0	0	0	0	0	360	
