
#x69815178
FC-Player-L.L.ZAMENHOF
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	32	2	3	1	1	51	
-3900	10000	1	32	2	3	1	1	52	
-3850	10000	1	32	2	3	1	1	53	
-3800	20000	2	55	5	5	1	2	54	
-3750	20000	2	55	5	5	1	2	55	
-3700	20000	2	55	5	5	1	2	56	
-3650	20000	2	55	5	5	1	2	57	
-3600	20000	2	55	5	5	1	2	58	
-3550	20000	2	55	5	5	2	2	59	
-3500	60000	2	55	4	9	2	3	61	
-3450	60000	2	55	4	9	2	3	63	
-3400	40000	2	55	3	7	2	2	65	
-3350	40000	2	55	3	7	2	2	67	
-3300	40000	2	55	3	8	6	2	68	
-3250	40000	2	54	3	8	1	2	69	
-3200	50000	3	81	6	9	2	3	71	
-3150	50000	3	81	6	9	2	3	73	
-3100	50000	3	81	6	9	2	3	75	
-3050	50000	3	81	7	8	2	3	77	
-3000	50000	3	81	7	8	2	3	79	
-2950	50000	3	81	7	8	2	3	81	
-2900	70000	3	81	7	10	2	4	83	
-2850	70000	3	81	6	10	2	4	85	
-2800	50000	3	81	5	8	2	3	87	
-2750	70000	3	81	4	10	2	3	89	
-2700	70000	3	81	4	10	2	3	91	
-2650	90000	5	93	10	13	4	5	95	
-2600	90000	5	93	10	13	4	5	99	
-2550	90000	5	93	10	13	4	5	103	
-2500	90000	5	93	11	13	4	5	107	
-2450	90000	5	93	11	13	4	5	111	
-2400	90000	5	93	11	13	4	5	115	
-2350	90000	5	93	10	13	4	5	119	
-2300	130000	5	93	9	17	8	5	128	
-2250	110000	5	93	9	15	8	5	136	
-2200	120000	6	98	10	14	10	7	146	
-2150	120000	6	98	10	14	10	7	156	
-2100	120000	6	98	10	14	10	7	166	
-2050	130000	7	123	13	15	11	8	177	
-2000	130000	7	123	13	15	11	8	188	
-1950	130000	7	123	13	15	10	8	198	
-1900	160000	8	124	15	19	16	9	212	
-1850	160000	8	124	15	19	16	9	228	
-1800	220000	8	125	14	20	17	10	244	
-1750	220000	8	125	14	20	17	10	261	
-1700	220000	8	125	14	20	18	10	279	
-1650	220000	8	125	14	21	19	10	297	
-1600	260000	8	125	13	25	20	10	317	
-1550	260000	8	125	13	25	20	10	337	
-1500	220000	8	124	13	19	20	9	357	
-1450	240000	8	124	12	21	26	9	385	
-1400	240000	8	124	12	21	26	9	411	
-1350	240000	8	124	12	21	26	9	437	
-1300	240000	8	124	12	21	26	9	463	
-1250	270000	9	124	14	24	28	9	489	
-1200	290000	9	125	13	26	28	10	517	
-1150	290000	9	125	13	26	28	10	545	
-1100	330000	9	125	12	28	30	10	573	
-1050	330000	9	125	12	28	30	10	603	
-1000	330000	9	125	12	28	30	10	633	
-975	350000	9	125	11	32	34	10	663	
-950	350000	9	125	11	32	34	10	697	
-925	380000	9	127	10	34	36	10	731	
-900	440000	9	127	8	37	37	11	767	
-875	440000	9	127	8	37	40	11	809	
-850	440000	9	127	19	36	42	17	840	
-825	440000	9	127	19	36	42	17	882	
-800	470000	9	127	18	38	44	17	924	
-775	470000	9	127	18	38	44	17	968	
-750	470000	9	126	18	38	44	17	1012	
-725	470000	9	126	18	38	44	17	1056	
-700	470000	9	126	18	38	44	17	1100	
-675	520000	9	126	16	38	44	17	1144	
-650	520000	9	126	16	40	44	17	1188	
-625	520000	9	126	16	40	44	17	1232	
-600	520000	9	126	16	40	44	17	1276	
-575	520000	9	126	16	40	44	17	1320	
-550	520000	9	126	16	40	44	17	1364	
-525	550000	9	126	15	43	47	17	1408	
-500	530000	9	126	16	41	46	18	1454	
-475	590000	9	125	15	43	48	18	1500	
-450	640000	9	125	13	43	48	18	1548	
-425	670000	10	125	16	46	50	19	1598	
