
#x69815078
FC-Player-Agenor
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	20	2	3	1	1	51	
-3900	10000	1	20	2	3	1	1	52	
-3850	10000	1	20	2	3	1	1	53	
-3800	20000	2	28	5	4	1	2	54	
-3750	20000	2	28	5	4	1	2	55	
-3700	20000	2	28	5	4	1	2	56	
-3650	20000	2	28	5	4	1	2	57	
-3600	20000	2	28	5	4	1	2	58	
-3550	20000	2	27	5	4	2	2	59	
-3500	60000	2	27	4	8	2	3	61	
-3450	60000	2	27	4	8	2	3	63	
-3400	40000	2	27	3	6	2	3	65	
-3350	40000	2	27	3	6	2	3	67	
-3300	40000	2	27	3	6	2	3	69	
-3250	40000	2	27	3	6	2	3	71	
-3200	50000	3	28	5	7	3	4	74	
-3150	50000	3	27	5	7	3	4	77	
-3100	50000	3	27	5	7	6	4	79	
-3050	50000	3	27	5	7	2	4	81	
-3000	50000	3	27	5	7	2	4	83	
-2950	50000	3	27	5	7	2	4	85	
-2900	70000	3	27	5	9	2	4	87	
-2850	70000	3	27	5	9	2	4	89	
-2800	50000	3	27	4	7	2	4	91	
-2750	80000	3	27	4	7	1	4	92	
-2700	80000	3	27	4	7	1	4	93	
-2650	80000	3	27	4	7	1	4	94	
-2600	80000	3	27	4	7	1	4	95	
-2550	80000	3	27	4	7	1	4	96	
-2500	80000	3	27	4	7	1	4	97	
-2450	50000	3	27	3	7	1	4	98	
-2400	50000	3	27	3	7	1	4	99	
-2350	50000	3	27	3	7	1	4	100	
-2300	50000	3	27	3	7	0	4	100	
-2250	70000	3	27	3	7	1	4	101	
-2200	70000	3	27	3	7	1	4	102	
-2150	70000	3	27	3	7	1	4	103	
-2100	70000	3	27	3	7	1	4	104	
-2050	70000	3	27	3	7	1	4	105	
-2000	70000	3	27	3	7	1	4	106	
-1950	90000	3	27	3	8	1	5	107	
-1900	90000	3	27	3	8	1	5	108	
-1850	90000	3	27	3	8	1	5	109	
-1800	90000	3	27	3	7	1	5	110	
-1750	70000	3	27	3	7	0	5	111	
-1700	30000	1	15	1	3	0	2	106	
-1650	10000	1	15	1	1	0	1	106	
-1600	10000	1	15	1	1	0	1	106	
-1550	10000	1	15	1	1	0	1	106	
-1500	10000	1	15	1	1	0	1	106	
-1450	10000	1	15	1	1	0	1	106	
-1400	10000	1	15	1	1	0	1	106	
-1350	10000	1	15	1	1	0	1	106	
-1300	10000	1	15	1	1	0	1	106	
-1250	10000	1	15	1	1	0	1	106	
-1200	10000	1	15	1	3	0	1	106	
-1150	10000	1	15	1	3	0	1	106	
-1100	10000	1	15	1	3	0	1	106	
-1050	0	0	0	0	0	0	0	106	
-1000	0	0	0	0	0	0	0	106	
-975	0	0	0	0	0	0	0	106	
