
#x69814678
FC-Player-TrygveLie
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	34	1	5	0	1	50	
-3900	10000	1	34	1	5	0	1	50	
-3850	10000	1	34	1	5	0	1	50	
-3800	20000	2	57	3	6	0	1	50	
-3750	20000	2	57	3	6	1	1	50	
-3700	20000	2	57	3	6	1	1	51	
-3650	20000	2	57	3	6	1	1	52	
-3600	20000	2	57	3	6	1	1	53	
-3550	20000	2	57	3	6	1	1	54	
-3500	20000	2	57	3	8	1	1	55	
-3450	20000	2	57	3	8	1	2	56	
-3400	20000	2	57	3	8	1	2	57	
-3350	40000	2	57	2	10	1	2	58	
-3300	40000	2	57	2	10	1	2	59	
-3250	40000	2	57	2	10	1	2	60	
-3200	40000	2	57	2	10	1	2	61	
-3150	40000	2	57	2	10	1	2	62	
-3100	40000	2	57	2	10	1	2	63	
-3050	40000	2	57	2	10	1	2	64	
-3000	60000	2	57	2	10	4	3	64	
-2950	40000	2	57	1	10	0	2	64	
-2900	40000	2	57	1	10	0	2	64	
-2850	40000	2	57	1	11	0	2	64	
-2800	40000	2	57	1	11	0	2	64	
-2750	50000	3	63	4	12	1	3	65	
-2700	50000	3	63	4	12	1	3	66	
-2650	50000	3	63	4	12	1	3	67	
-2600	50000	3	63	4	12	1	3	68	
-2550	50000	3	63	4	12	1	3	69	
-2500	50000	3	63	4	12	1	3	70	
-2450	50000	3	63	4	12	1	3	71	
-2400	50000	3	63	4	12	1	3	72	
-2350	50000	3	63	3	12	1	3	73	
-2300	70000	3	63	2	16	1	3	74	
-2250	70000	3	61	2	16	1	3	75	
-2200	80000	4	67	5	19	1	4	76	
-2150	80000	4	67	5	19	1	4	77	
-2100	80000	4	67	5	19	1	4	78	
-2050	80000	4	67	5	19	1	4	79	
-2000	80000	4	67	5	19	1	4	80	
-1950	80000	4	67	5	19	1	4	81	
-1900	60000	4	67	5	15	1	4	82	
-1850	60000	4	67	5	15	1	4	83	
-1800	80000	4	65	5	16	1	5	84	
-1750	80000	4	65	4	16	1	4	85	
-1700	90000	5	77	7	18	2	5	87	
-1650	70000	5	77	7	16	2	5	89	
-1600	70000	5	77	7	16	2	5	91	
-1550	70000	5	77	7	16	2	5	93	
-1500	100000	6	86	9	21	2	6	95	
-1450	100000	6	86	9	21	2	6	97	
-1400	100000	6	86	9	21	2	6	99	
-1350	100000	6	86	9	21	2	6	101	
-1300	110000	7	103	11	24	2	7	103	
-1250	130000	7	103	10	26	2	7	105	
-1200	130000	7	103	10	26	2	7	107	
-1150	130000	7	103	10	26	2	7	109	
-1100	110000	7	103	10	22	2	7	111	
-1050	130000	7	103	9	24	3	7	114	
-1000	160000	7	103	8	26	3	7	117	
-975	170000	8	110	10	29	3	8	120	
-950	170000	8	110	10	29	3	8	123	
-925	190000	8	110	10	29	3	8	126	
-900	190000	8	110	10	29	3	8	129	
-875	210000	8	110	9	33	3	8	132	
-850	210000	8	101	10	33	2	8	135	
-825	210000	8	107	10	33	2	8	137	
-800	210000	8	106	10	33	2	8	139	
-775	200000	7	97	9	30	1	8	140	
-750	180000	7	97	8	30	0	7	140	
-725	180000	7	97	9	27	0	7	140	
-700	180000	7	97	9	27	0	7	140	
-675	180000	7	97	9	26	0	7	140	
-650	180000	7	99	9	26	0	7	140	
-625	200000	7	99	8	29	0	7	140	
-600	200000	7	99	8	28	0	7	140	
-575	200000	7	99	7	27	0	7	140	
-550	180000	7	99	8	25	0	7	140	
-525	210000	7	100	8	26	1	7	141	
-500	220000	6	87	5	25	1	6	142	
-475	190000	6	94	5	25	0	6	142	
-450	190000	6	95	5	25	0	6	142	
-425	190000	6	95	5	26	0	6	142	
-400	190000	6	95	5	27	0	6	142	
-375	210000	7	106	8	28	0	7	142	
-350	210000	7	106	8	28	0	7	142	
-325	210000	7	106	8	28	0	7	142	
-300	210000	7	106	8	28	0	7	142	
-275	210000	7	105	8	28	0	7	142	
-250	210000	7	105	8	28	0	7	142	
-225	230000	7	102	8	32	0	8	142	
-200	230000	7	102	7	31	0	7	142	
-175	230000	7	102	8	30	1	7	142	
-150	250000	7	106	7	32	1	7	143	
-125	280000	7	107	6	34	1	7	144	
-100	250000	6	86	5	31	0	6	138	
-75	250000	6	86	5	31	0	6	138	
-50	220000	6	86	5	28	0	6	138	
-25	220000	6	86	5	29	0	6	138	
1	220000	6	86	5	27	0	6	138	
20	220000	6	85	5	27	0	6	138	
40	210000	7	89	7	29	0	6	138	
60	210000	7	86	8	29	0	6	138	
80	190000	7	86	8	24	0	6	138	
100	190000	7	86	8	24	0	6	138	
120	190000	7	86	8	24	0	6	138	
140	220000	7	86	8	25	0	6	138	
160	220000	7	86	8	25	0	6	138	
180	220000	7	86	7	29	0	6	138	
200	210000	6	78	7	25	0	6	138	
220	210000	6	81	7	25	0	6	138	
240	210000	6	81	8	24	0	6	138	
260	200000	6	81	7	24	0	7	138	
280	180000	6	81	6	25	0	6	138	
300	180000	6	81	7	25	0	6	138	
320	180000	6	81	8	25	0	6	138	
340	200000	6	81	7	28	0	6	138	
360	200000	6	81	7	28	0	6	138	
380	230000	6	81	6	29	0	6	138	
400	220000	5	71	5	27	1	5	138	
420	220000	5	75	5	26	1	5	139	
440	220000	5	75	5	25	1	5	140	
460	220000	5	75	5	27	1	5	141	
480	220000	5	75	5	27	1	5	142	
500	220000	5	75	5	28	1	5	143	
