
#x69814778
FC-Player-Kamehameha
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	23	1	5	1	1	51	
-3900	10000	1	23	1	5	1	1	52	
-3850	10000	1	23	1	5	1	1	53	
-3800	20000	2	29	3	6	2	2	55	
-3750	20000	2	29	3	6	2	2	57	
-3700	20000	2	29	3	6	2	2	59	
-3650	20000	2	29	3	6	2	2	61	
-3600	20000	2	29	3	6	2	2	63	
-3550	20000	2	29	3	6	2	2	65	
-3500	20000	2	29	3	6	2	2	67	
-3450	20000	2	29	3	6	2	2	69	
-3400	20000	2	29	3	6	2	2	71	
-3350	40000	2	29	2	8	2	2	73	
-3300	40000	2	29	2	8	2	2	75	
-3250	40000	2	29	2	8	2	2	77	
-3200	40000	2	29	2	8	2	2	79	
-3150	40000	2	29	2	8	2	2	81	
-3100	40000	2	29	2	8	2	2	83	
-3050	40000	2	29	2	8	2	2	85	
-3000	60000	2	29	2	8	5	2	86	
-2950	40000	2	29	1	8	1	2	87	
-2900	40000	2	29	1	8	1	2	88	
-2850	40000	2	29	1	8	1	2	89	
-2800	40000	2	29	1	8	1	2	90	
-2750	50000	3	44	4	10	2	3	92	
-2700	50000	3	44	4	10	2	3	94	
-2650	50000	3	44	4	10	2	3	96	
-2600	50000	3	44	4	10	2	3	98	
-2550	50000	3	44	4	10	2	3	100	
-2500	50000	3	44	4	10	2	3	102	
-2450	50000	3	44	4	10	2	3	104	
-2400	50000	3	44	4	10	2	3	106	
-2350	50000	3	44	3	10	2	3	108	
-2300	70000	3	44	2	12	2	4	110	
-2250	70000	3	44	2	12	2	4	112	
-2200	70000	3	44	2	12	2	4	114	
-2150	70000	3	44	2	12	2	4	116	
-2100	70000	3	44	2	12	2	4	118	
-2050	50000	3	44	2	10	2	3	120	
-2000	60000	4	49	5	13	2	4	122	
-1950	60000	4	49	5	13	2	4	124	
-1900	60000	4	49	5	13	2	4	126	
-1850	60000	4	49	5	13	2	4	128	
-1800	80000	4	49	5	13	2	4	130	
-1750	70000	5	57	7	15	2	5	132	
-1700	70000	5	57	7	15	2	5	134	
-1650	70000	5	57	7	15	1	5	135	
-1600	70000	5	57	7	15	1	5	136	
-1550	110000	5	57	6	17	2	6	138	
-1500	110000	5	57	6	17	4	6	142	
-1450	110000	5	57	6	17	4	6	146	
-1400	110000	5	57	6	17	4	6	150	
-1350	110000	5	57	6	17	4	6	154	
-1300	130000	5	57	5	19	7	6	159	
-1250	130000	5	57	5	19	7	6	166	
-1200	130000	5	57	5	19	7	6	173	
-1150	110000	5	57	5	17	7	5	180	
-1100	110000	5	57	5	17	7	5	187	
-1050	110000	5	57	5	17	7	5	194	
-1000	110000	5	57	5	17	7	5	201	
-975	110000	5	57	5	17	7	5	208	
-950	110000	5	57	5	17	7	5	215	
-925	110000	5	57	4	17	7	5	222	
-900	110000	5	57	4	17	7	5	229	
-875	110000	5	57	4	17	7	5	236	
-850	110000	5	57	4	16	7	5	243	
-825	110000	5	57	4	16	7	5	250	
-800	110000	5	57	4	16	7	5	257	
-775	160000	5	57	3	17	7	7	264	
-750	160000	5	57	3	17	7	7	271	
-725	160000	5	57	3	16	6	7	277	
-700	160000	5	57	3	16	6	7	283	
-675	160000	5	57	4	16	6	7	289	
-650	160000	5	57	4	16	6	7	295	
-625	160000	5	57	4	17	6	7	301	
-600	160000	5	57	4	17	6	7	307	
-575	130000	5	57	4	16	6	7	313	
-550	100000	4	47	3	12	1	6	319	
-525	100000	4	48	3	12	1	6	320	
-500	100000	4	48	3	12	1	6	321	
-475	100000	4	48	3	12	1	6	322	
-450	100000	4	48	3	12	1	6	323	
-425	100000	4	48	4	12	1	6	324	
-400	100000	4	48	4	12	1	6	325	
-375	110000	5	54	6	14	1	7	326	
-350	110000	5	54	7	14	1	7	327	
-325	100000	4	47	6	12	1	6	328	
-300	100000	4	48	6	12	1	6	329	
-275	80000	4	48	6	12	0	6	330	
-250	100000	4	48	6	12	1	6	331	
-225	110000	4	48	5	14	1	6	333	
-200	100000	3	35	3	11	1	5	334	
-175	100000	3	44	3	11	1	5	335	
-150	100000	3	44	3	11	1	5	336	
-125	70000	3	43	4	11	0	5	337	
-100	40000	2	23	3	7	0	3	319	
-75	40000	2	23	3	7	0	3	319	
-50	40000	2	23	3	7	0	3	319	
-25	70000	2	23	2	9	0	3	319	
1	70000	2	23	2	9	0	3	319	
20	70000	2	23	2	9	0	3	319	
40	60000	1	8	1	7	0	2	319	
60	60000	1	15	0	5	1	2	319	
80	60000	1	15	0	5	1	2	320	
100	60000	1	15	0	5	1	2	321	
120	60000	1	15	0	5	1	2	322	
140	60000	1	15	0	5	1	2	323	
160	60000	1	15	0	5	1	2	324	
180	60000	1	15	0	5	1	2	325	
200	60000	1	15	0	5	1	2	326	
220	60000	1	15	0	5	1	2	327	
240	60000	1	15	0	5	1	2	328	
260	60000	1	15	0	5	1	2	329	
280	60000	1	15	0	5	1	2	330	
300	60000	1	15	0	5	1	2	331	
320	60000	1	15	0	5	1	2	332	
340	60000	1	15	0	5	1	2	333	
360	60000	1	15	0	5	1	2	334	
380	60000	1	15	0	5	1	2	335	
400	60000	1	14	0	5	1	2	336	
420	60000	1	14	0	5	1	2	337	
440	60000	1	14	0	5	1	2	338	
460	60000	1	14	0	5	1	2	339	
480	60000	1	14	0	5	1	2	340	
