
#x69814978
FC-Player-Sakura
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	36	2	5	0	1	50	
-3900	10000	1	36	2	5	0	1	50	
-3850	10000	1	36	2	5	0	1	50	
-3800	20000	2	59	4	8	0	1	50	
-3750	20000	2	59	4	8	1	1	50	
-3700	20000	2	59	4	8	1	1	51	
-3650	20000	2	59	4	8	1	1	52	
-3600	20000	2	59	4	8	1	1	53	
-3550	20000	2	59	4	8	1	1	54	
-3500	40000	2	59	3	11	1	1	55	
-3450	20000	2	59	3	8	1	1	56	
-3400	20000	2	59	3	8	1	1	57	
-3350	40000	2	59	3	9	2	2	59	
-3300	40000	2	59	3	9	2	2	61	
-3250	50000	3	66	6	10	2	2	63	
-3200	30000	3	66	5	9	1	1	64	
-3150	30000	3	66	5	9	1	1	65	
-3100	30000	3	66	5	9	1	1	66	
-3050	40000	4	83	8	12	1	2	67	
-3000	40000	4	83	8	12	1	2	68	
-2950	40000	4	83	8	12	1	2	69	
-2900	60000	4	83	7	15	1	3	70	
-2850	40000	4	83	7	13	1	3	71	
-2800	60000	4	83	6	15	2	3	73	
-2750	80000	4	83	6	16	3	4	76	
-2700	80000	4	83	6	16	3	4	79	
-2650	70000	5	86	8	17	10	4	80	
-2600	90000	5	86	8	18	2	4	82	
-2550	90000	5	86	8	18	2	4	84	
-2500	90000	5	86	8	18	2	4	86	
-2450	90000	5	86	8	18	10	4	86	
-2400	90000	5	86	8	18	0	4	86	
-2350	100000	6	90	11	21	0	5	86	
-2300	120000	6	90	10	25	0	5	86	
-2250	100000	6	90	10	22	-1	5	85	
-2200	120000	6	90	10	22	-1	5	84	
-2150	120000	6	90	10	22	-1	5	83	
-2100	140000	6	90	10	22	-1	6	82	
-2050	150000	7	94	12	25	1	8	82	
-2000	150000	7	94	12	25	1	8	83	
-1950	150000	7	94	11	25	0	8	83	
-1900	170000	7	93	11	25	0	8	83	
-1850	170000	7	93	11	25	0	8	83	
-1800	180000	8	98	13	25	-1	9	82	
-1750	180000	8	98	13	25	-1	9	81	
-1700	200000	8	98	12	28	-1	9	80	
-1650	170000	9	102	13	27	-1	9	79	
-1600	170000	9	102	13	26	-1	9	78	
-1550	170000	9	102	14	27	-1	9	77	
-1500	170000	9	102	14	27	-2	10	76	
-1450	170000	8	91	10	25	-2	9	73	
-1400	170000	8	97	11	25	-1	9	71	
-1350	160000	7	82	9	21	0	8	69	
-1300	130000	7	82	9	20	0	8	69	
-1250	130000	7	82	9	22	0	8	69	
-1200	130000	7	82	10	22	0	8	69	
-1150	130000	7	81	10	22	0	8	69	
-1100	150000	7	81	9	24	-1	8	68	
-1050	150000	7	81	9	23	-1	8	67	
-1000	180000	7	81	8	25	-1	8	66	
-975	200000	7	81	7	28	-1	8	65	
-950	200000	7	81	7	28	-1	8	64	
-925	220000	7	81	7	28	0	8	64	
-900	220000	7	81	7	28	0	8	64	
-875	250000	7	81	6	30	-1	8	64	
-850	270000	7	81	5	32	0	8	64	
-825	270000	7	79	5	32	0	8	64	
-800	250000	7	79	5	30	0	8	64	
-775	250000	7	79	5	30	0	8	64	
-750	250000	7	79	6	30	0	8	64	
-725	250000	7	79	6	30	0	8	64	
-700	250000	7	79	6	29	0	8	64	
-675	250000	7	79	6	30	0	8	64	
-650	220000	6	70	5	27	1	7	64	
-625	190000	6	73	5	25	1	7	65	
-600	190000	6	72	6	25	1	7	66	
-575	160000	6	71	4	27	1	7	67	
-550	140000	6	71	6	25	1	7	68	
-525	140000	6	71	6	25	1	7	69	
-500	140000	6	71	6	25	1	7	70	
-475	140000	6	71	6	25	1	7	71	
-450	140000	6	71	6	25	1	7	72	
-425	140000	6	71	6	25	1	7	73	
-400	110000	5	62	5	23	1	6	74	
-375	110000	5	62	5	23	1	6	75	
-350	140000	5	62	4	24	2	6	77	
-325	140000	5	62	4	25	2	6	79	
-300	140000	5	62	4	25	2	6	81	
-275	140000	5	62	4	25	2	6	83	
-250	160000	5	62	3	27	2	6	85	
-225	200000	5	62	3	24	2	6	87	
-200	170000	5	62	3	22	5	6	110	
-175	170000	5	62	5	22	5	6	115	
-150	170000	5	62	5	22	5	6	120	
-125	140000	5	61	5	20	4	6	124	
-100	140000	5	61	6	20	4	6	128	
-75	140000	5	61	6	20	4	6	132	
-50	140000	5	61	6	20	4	6	136	
-25	140000	5	61	6	20	4	6	140	
1	140000	5	61	6	20	4	6	144	
20	140000	5	61	6	20	4	6	148	
40	140000	5	61	6	20	4	6	152	
60	140000	5	61	6	20	4	6	156	
80	140000	5	61	6	20	4	6	160	
100	140000	5	61	6	20	4	6	164	
120	170000	5	61	5	22	5	6	169	
140	200000	5	61	4	25	5	6	174	
160	200000	5	61	4	25	5	6	179	
180	200000	5	61	4	25	5	6	184	
200	200000	5	61	4	25	5	6	189	
220	200000	5	61	4	25	5	6	194	
240	200000	5	61	4	25	5	6	199	
260	220000	5	61	2	28	8	5	204	
280	170000	5	61	4	22	5	6	212	
300	170000	5	61	5	22	5	6	217	
320	140000	5	61	5	20	4	6	221	
340	140000	5	61	5	20	4	6	225	
360	110000	5	61	5	18	4	6	229	
380	110000	5	61	6	18	4	6	233	
400	140000	5	61	5	20	4	6	237	
420	120000	5	61	4	20	4	6	241	
440	140000	5	61	5	20	4	6	245	
460	140000	5	61	5	19	4	6	249	
480	140000	5	61	5	19	7	6	259	
500	140000	5	61	5	19	7	6	266	
