
#x69814a78
FC-Player-MalandelaKaLuzumana
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	22	1	3	1	2	51	
-3900	10000	1	22	1	3	1	2	52	
-3850	10000	1	22	1	3	1	2	53	
-3800	10000	1	22	1	3	1	2	54	
-3750	10000	1	22	1	3	1	2	55	
-3700	10000	1	22	1	3	1	2	56	
-3650	10000	1	22	1	3	1	2	57	
-3600	20000	2	44	4	5	2	3	59	
-3550	20000	2	44	4	5	2	3	61	
-3500	20000	2	44	4	5	2	3	63	
-3450	20000	2	44	4	5	2	3	65	
-3400	20000	2	44	4	5	2	3	67	
-3350	20000	2	44	4	5	2	3	69	
-3300	40000	2	45	3	7	2	3	71	
-3250	40000	2	45	3	7	2	3	73	
-3200	40000	2	45	3	7	2	3	75	
-3150	40000	2	45	3	7	2	3	77	
-3100	40000	2	45	3	7	2	3	79	
-3050	40000	2	45	3	7	2	3	81	
-3000	60000	2	45	3	7	2	3	83	
-2950	20000	2	45	2	5	2	3	85	
-2900	20000	2	45	2	5	2	3	87	
-2850	20000	2	45	2	5	2	3	89	
-2800	40000	2	45	1	7	2	3	91	
-2750	50000	3	47	4	9	3	4	94	
-2700	50000	3	47	4	9	3	4	97	
-2650	60000	4	56	7	10	3	5	100	
-2600	60000	4	56	7	10	3	5	103	
-2550	60000	4	56	7	10	3	5	106	
-2500	60000	4	56	7	10	3	5	109	
-2450	60000	4	56	7	10	3	5	112	
-2400	60000	4	58	7	10	3	5	115	
-2350	60000	4	58	7	10	3	5	118	
-2300	80000	4	58	7	10	3	6	121	
-2250	80000	4	58	7	10	3	6	124	
-2200	100000	4	61	6	12	3	6	127	
-2150	100000	4	61	5	12	6	6	133	
-2100	100000	4	61	5	12	6	6	139	
-2050	100000	4	61	5	12	6	6	145	
-2000	110000	5	64	8	13	7	8	152	
-1950	110000	5	64	8	13	7	8	159	
-1900	110000	5	64	8	13	7	8	166	
-1850	110000	5	64	8	13	7	8	173	
-1800	130000	5	64	8	14	9	8	181	
-1750	110000	5	63	7	14	8	8	189	
-1700	110000	5	63	7	14	4	8	193	
-1650	110000	5	63	7	14	4	8	197	
-1600	110000	5	63	7	14	4	8	201	
-1550	160000	5	63	6	16	4	8	205	
-1500	160000	5	63	6	16	4	8	209	
-1450	160000	5	63	6	16	4	8	213	
-1400	160000	5	63	6	16	4	8	217	
-1350	190000	5	63	6	16	4	9	221	
-1300	190000	5	61	6	16	4	9	225	
-1250	190000	5	61	6	16	4	9	229	
-1200	190000	5	61	6	16	5	9	233	
-1150	190000	5	61	6	16	5	9	238	
-1100	190000	5	61	6	16	5	9	243	
-1050	190000	5	61	6	16	5	9	248	
-1000	190000	5	61	6	16	5	9	253	
-975	190000	5	61	6	16	5	9	258	
-950	190000	5	61	6	16	5	9	263	
-925	190000	5	61	7	16	5	9	268	
-900	190000	5	61	7	16	5	9	273	
-875	190000	5	61	7	16	5	9	278	
-850	220000	5	61	6	18	5	9	283	
-825	220000	5	61	6	18	5	9	288	
-800	220000	5	61	6	18	5	9	293	
-775	260000	5	61	5	18	5	9	298	
-750	260000	5	61	4	17	5	9	303	
-725	260000	5	61	4	17	5	9	308	
-700	260000	5	61	4	17	5	9	313	
-675	260000	5	61	4	16	5	9	318	
-650	230000	5	61	4	13	5	9	323	
-625	230000	5	61	4	13	5	9	328	
-600	230000	5	61	5	13	4	9	332	
-575	230000	5	61	5	13	4	9	336	
-550	230000	5	61	5	12	4	9	340	
-525	260000	5	61	4	13	4	9	344	
-500	260000	5	61	5	13	4	9	348	
-475	260000	5	61	5	13	4	9	352	
-450	260000	5	61	6	13	4	9	356	
-425	280000	5	61	6	12	5	9	361	
-400	260000	5	61	5	11	4	9	365	
-375	260000	5	61	5	10	4	9	369	
-350	260000	5	61	5	8	4	9	373	
-325	260000	5	61	5	6	4	9	377	
-300	260000	5	61	5	5	4	9	381	
-275	260000	5	61	5	4	4	9	385	
-250	260000	5	61	5	4	4	9	389	
-225	260000	5	61	5	4	4	9	393	
-200	260000	5	61	5	4	4	9	397	
-175	260000	5	61	5	4	4	9	401	
-150	260000	5	61	5	3	4	9	405	
-125	260000	5	61	5	3	3	9	408	
-100	300000	5	61	4	4	3	9	411	
-75	300000	5	61	4	4	3	9	414	
-50	300000	5	61	4	4	3	9	417	
-25	300000	5	61	4	4	3	9	420	
1	350000	5	61	3	5	3	9	423	
20	350000	5	61	3	5	3	9	426	
40	350000	5	61	3	5	3	9	429	
60	350000	5	61	3	4	3	9	432	
80	350000	5	61	3	4	3	9	435	
100	350000	5	61	3	4	3	9	438	
120	380000	5	61	2	6	5	9	441	
140	380000	5	61	2	6	5	10	446	
160	380000	5	61	2	6	5	10	451	
180	380000	5	61	2	6	5	10	456	
200	380000	5	61	2	5	5	10	461	
220	340000	5	61	2	2	5	10	466	
240	340000	5	61	3	2	5	10	471	
260	340000	5	61	3	2	5	10	476	
280	340000	5	61	3	2	5	10	481	
300	340000	5	61	3	2	5	10	486	
320	340000	5	61	3	2	5	10	491	
340	340000	5	61	3	2	5	10	496	
360	340000	5	61	3	2	5	10	501	
380	340000	5	61	3	2	5	10	506	
400	340000	5	61	3	2	5	10	511	
420	340000	5	61	3	2	5	10	516	
440	340000	5	61	3	2	5	10	521	
460	340000	5	61	3	2	5	10	526	
480	340000	5	61	3	2	5	10	531	
500	340000	5	61	3	2	5	10	536	
