
#x69814b78
FC-Player-lojbab
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	20	1	5	0	0	50	
-3900	10000	1	20	1	5	0	0	50	
-3850	10000	1	20	1	5	0	0	50	
-3800	10000	1	20	1	5	0	0	50	
-3750	10000	1	20	1	5	0	1	50	
-3700	10000	1	20	1	5	0	1	50	
-3650	10000	1	20	1	5	0	1	50	
-3600	10000	1	20	1	5	0	1	50	
-3550	20000	2	52	4	8	0	2	50	
-3500	20000	2	52	5	8	0	2	50	
-3450	20000	2	52	5	8	0	2	50	
-3400	20000	2	52	5	8	0	2	50	
-3350	20000	2	52	5	8	0	2	50	
-3300	20000	2	52	5	8	0	2	50	
-3250	60000	2	52	5	9	1	2	51	
-3200	40000	2	52	4	9	0	2	51	
-3150	40000	2	50	4	9	0	2	51	
-3100	50000	3	59	7	11	1	3	52	
-3050	50000	3	59	7	11	9	3	59	
-3000	50000	3	59	7	11	4	3	63	
-2950	50000	3	59	7	11	4	3	67	
-2900	50000	3	59	7	11	4	3	71	
-2850	50000	3	59	7	11	4	3	75	
-2800	50000	3	59	7	11	4	3	79	
-2750	80000	3	59	7	11	4	3	83	
-2700	100000	3	59	7	11	5	3	88	
-2650	100000	3	59	5	13	4	4	92	
-2600	100000	3	59	5	13	4	4	96	
-2550	100000	3	59	5	13	4	4	100	
-2500	110000	4	62	7	16	4	4	104	
-2450	110000	4	62	7	16	4	4	108	
-2400	90000	4	62	7	14	4	3	112	
-2350	90000	4	62	7	14	4	3	116	
-2300	90000	4	62	7	14	4	3	120	
-2250	100000	5	65	10	17	4	4	124	
-2200	100000	5	65	10	17	4	4	128	
-2150	100000	5	65	10	17	4	4	132	
-2100	120000	5	64	10	17	5	5	137	
-2050	140000	5	64	9	17	5	5	142	
-2000	140000	5	64	9	17	1	5	143	
-1950	160000	5	64	8	19	1	6	144	
-1900	160000	5	64	8	19	1	6	145	
-1850	160000	5	64	8	19	1	6	146	
-1800	180000	5	64	8	19	0	6	146	
-1750	180000	5	64	8	20	4	6	150	
-1700	180000	5	64	8	20	4	6	154	
-1650	180000	5	64	8	20	4	6	158	
-1600	180000	5	64	8	20	4	6	162	
-1550	200000	5	64	7	20	5	6	167	
-1500	180000	5	64	7	20	4	6	171	
-1450	180000	5	64	7	20	4	6	175	
-1400	180000	5	64	7	20	3	6	178	
-1350	180000	5	64	7	20	3	6	181	
-1300	180000	5	64	7	20	3	6	184	
-1250	80000	4	44	4	16	3	5	180	
-1200	80000	4	44	5	16	3	5	183	
-1150	100000	4	44	5	16	4	5	187	
-1100	80000	4	44	4	16	2	5	189	
-1050	110000	4	46	4	17	2	6	191	
-1000	80000	3	31	3	10	-1	4	186	
-975	80000	3	31	3	10	-1	4	185	
-950	80000	3	31	3	10	-1	4	184	
-925	80000	3	31	3	10	-1	4	183	
-900	80000	3	31	3	10	-1	4	182	
-875	80000	3	31	3	10	-1	4	181	
-850	80000	3	31	3	10	-1	4	180	
-825	80000	3	31	3	10	-1	4	179	
-800	80000	3	31	3	10	-1	4	178	
-775	80000	3	31	3	10	-1	4	177	
-750	80000	3	31	3	10	-1	4	176	
-725	80000	3	31	3	10	-1	4	175	
-700	80000	3	31	3	10	-1	4	174	
-675	80000	3	31	3	10	-1	4	173	
-650	80000	3	31	3	10	-1	4	172	
-625	80000	3	31	3	10	-1	4	171	
-600	80000	3	31	3	9	-1	4	170	
-575	80000	3	31	3	9	-1	4	169	
-550	80000	3	31	3	9	-1	4	168	
-525	120000	3	31	1	12	-1	3	167	
-500	140000	3	31	0	13	0	3	167	
-475	140000	3	31	0	13	0	3	167	
-450	140000	3	31	0	13	0	3	167	
-425	140000	3	31	0	13	0	3	167	
-400	170000	4	46	3	16	1	5	168	
-375	170000	4	46	3	16	1	5	169	
-350	170000	4	46	3	16	1	5	170	
-325	170000	4	46	3	16	1	5	171	
-300	170000	4	46	3	16	1	5	172	
-275	170000	4	46	3	16	1	5	173	
-250	170000	4	46	3	16	1	5	174	
-225	170000	4	46	3	16	1	5	175	
-200	170000	4	46	3	16	1	5	176	
-175	170000	4	46	3	16	1	5	177	
-150	200000	4	46	2	18	1	4	179	
-125	200000	4	46	2	18	1	4	180	
-100	200000	4	46	2	21	0	4	181	
-75	200000	4	46	2	21	0	5	181	
-50	200000	4	46	2	21	5	5	188	
-25	200000	4	46	2	21	5	5	193	
1	200000	4	46	2	21	5	5	198	
20	200000	4	46	2	21	5	5	203	
40	130000	4	46	3	15	4	6	207	
60	130000	4	46	3	15	4	6	211	
80	130000	4	46	3	15	4	6	215	
100	130000	4	46	3	15	4	6	219	
120	130000	4	46	3	15	4	6	223	
140	130000	4	46	3	15	4	6	227	
160	130000	4	46	3	14	3	6	231	
180	160000	4	46	2	15	4	6	235	
200	160000	4	46	2	15	4	6	239	
220	160000	4	46	2	15	4	6	243	
240	160000	4	46	2	15	4	6	247	
260	130000	4	46	2	13	3	6	250	
280	130000	4	46	2	13	3	6	253	
300	130000	4	46	2	13	3	6	256	
320	130000	4	46	2	13	3	6	259	
340	130000	4	46	2	13	3	6	262	
360	130000	4	46	2	13	3	6	265	
380	130000	4	46	2	12	3	6	268	
400	130000	4	46	2	12	3	6	271	
420	130000	4	46	2	12	3	6	274	
440	130000	4	46	2	12	3	6	277	
460	130000	4	46	2	12	3	6	280	
480	130000	4	46	2	12	3	6	283	
500	130000	4	46	2	14	3	6	286	
