
#x69814c78
FC-Player-BrianMulroney
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	32	1	5	1	1	51	
-3900	10000	1	32	1	5	1	1	52	
-3850	10000	1	32	1	5	1	1	53	
-3800	20000	2	39	2	7	1	1	54	
-3750	20000	2	39	2	7	1	1	55	
-3700	20000	2	39	2	7	5	1	55	
-3650	20000	2	39	3	7	0	1	55	
-3600	20000	2	39	3	7	0	1	55	
-3550	20000	2	39	3	7	0	1	55	
-3500	20000	2	39	3	7	0	1	55	
-3450	20000	2	39	3	7	0	1	55	
-3400	20000	2	39	3	7	0	1	55	
-3350	20000	2	39	3	7	0	2	55	
-3300	40000	2	39	2	10	0	2	55	
-3250	20000	2	39	2	7	0	2	55	
-3200	20000	2	39	2	7	0	2	55	
-3150	20000	2	39	2	7	0	2	55	
-3100	20000	2	39	3	7	0	2	55	
-3050	20000	2	39	3	7	0	2	55	
-3000	30000	3	58	5	9	1	3	56	
-2950	50000	3	58	4	11	1	3	57	
-2900	30000	3	58	4	9	1	3	58	
-2850	30000	3	58	4	9	1	3	59	
-2800	30000	3	58	4	9	1	3	60	
-2750	40000	4	61	7	11	1	4	61	
-2700	40000	4	61	7	11	1	4	62	
-2650	60000	4	61	6	14	1	4	63	
-2600	40000	4	61	6	11	1	4	64	
-2550	40000	4	61	6	11	1	4	65	
-2500	40000	4	61	6	11	1	4	66	
-2450	40000	4	61	6	11	1	4	67	
-2400	40000	4	61	6	11	1	4	68	
-2350	60000	4	61	5	13	1	4	69	
-2300	80000	4	62	4	15	1	4	70	
-2250	90000	5	69	7	16	2	5	72	
-2200	90000	5	69	7	16	2	5	74	
-2150	90000	5	69	7	16	2	5	76	
-2100	90000	5	68	7	16	2	5	78	
-2050	110000	5	66	7	16	2	6	80	
-2000	90000	5	66	7	14	2	6	82	
-1950	110000	5	66	6	17	2	6	84	
-1900	70000	5	66	6	12	2	6	86	
-1850	70000	5	65	6	12	2	6	88	
-1800	70000	5	64	4	14	2	5	90	
-1750	70000	5	64	4	14	2	5	92	
-1700	70000	5	64	4	14	2	5	94	
-1650	70000	5	64	4	14	2	5	96	
-1600	80000	6	68	6	16	3	6	99	
-1550	80000	6	68	9	16	3	6	102	
-1500	80000	6	68	9	16	3	6	105	
-1450	100000	6	67	8	18	3	6	108	
-1400	120000	6	67	7	20	3	6	111	
-1350	120000	6	67	7	20	3	6	114	
-1300	90000	5	57	6	16	2	5	116	
-1250	90000	5	61	5	16	2	5	118	
-1200	70000	5	59	5	13	2	4	120	
-1150	50000	3	30	3	8	2	3	122	
-1100	50000	3	43	3	8	2	3	124	
-1050	50000	3	43	3	8	2	3	126	
-1000	50000	3	43	3	8	2	3	128	
-975	40000	2	26	2	6	1	2	130	
-950	40000	2	39	2	6	1	2	131	
-925	40000	2	39	2	6	1	2	132	
-900	20000	2	39	3	4	1	2	133	
-875	0	0	0	0	0	0	0	131	
