
#x69814d78
FC-Player-RoyJenkins
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	37	2	1	1	1	51	
-3900	10000	1	37	2	1	1	1	52	
-3850	10000	1	37	2	1	1	1	53	
-3800	10000	1	37	2	1	1	1	54	
-3750	10000	1	37	2	1	1	1	55	
-3700	10000	1	37	2	1	1	1	56	
-3650	10000	1	37	2	1	1	1	57	
-3600	10000	1	37	2	1	1	1	58	
-3550	10000	1	37	2	1	1	1	59	
-3500	40000	2	53	5	2	2	2	61	
-3450	40000	2	53	5	2	2	2	63	
-3400	40000	2	53	5	2	2	2	65	
-3350	40000	2	53	5	2	2	3	67	
-3300	40000	2	53	5	2	2	3	69	
-3250	40000	2	53	5	2	2	3	71	
-3200	60000	2	53	4	4	2	3	73	
-3150	60000	2	53	4	4	2	3	75	
-3100	60000	2	53	4	4	2	3	77	
-3050	60000	2	53	4	4	2	3	79	
-3000	60000	2	53	4	4	2	3	81	
-2950	60000	2	53	4	4	2	3	83	
-2900	60000	2	53	4	4	2	3	85	
-2850	60000	2	53	4	4	2	3	87	
-2800	60000	2	53	4	4	2	3	89	
-2750	90000	2	58	4	4	3	3	92	
-2700	90000	2	58	4	4	3	3	95	
-2650	90000	2	58	4	4	3	3	98	
-2600	90000	2	58	4	4	3	3	101	
-2550	90000	2	58	4	4	3	3	104	
-2500	90000	2	58	4	4	3	3	107	
-2450	120000	2	59	3	6	3	3	110	
-2400	120000	2	59	3	6	3	3	113	
-2350	120000	2	59	3	6	3	3	116	
-2300	120000	2	59	3	6	3	3	119	
-2250	120000	2	59	3	6	2	3	121	
-2200	120000	2	59	3	6	7	3	130	
-2150	120000	2	59	3	6	7	3	137	
-2100	120000	2	59	3	6	7	3	144	
-2050	120000	2	59	3	6	7	3	151	
-2000	90000	2	54	2	6	6	3	157	
-1950	120000	2	59	2	6	7	3	164	
-1900	120000	2	59	2	6	7	3	171	
-1850	130000	3	74	5	8	7	3	178	
-1800	130000	3	74	5	8	7	3	185	
-1750	130000	3	74	5	8	7	3	192	
-1700	130000	3	74	5	8	7	4	199	
-1650	130000	3	71	5	8	7	4	206	
-1600	130000	3	71	5	8	7	4	213	
-1550	130000	3	71	5	8	7	4	220	
-1500	130000	3	71	5	8	7	4	227	
-1450	130000	3	68	5	9	7	4	234	
-1400	150000	3	69	4	11	7	4	241	
-1350	150000	3	69	4	11	7	4	248	
-1300	150000	3	69	4	11	6	4	254	
-1250	150000	3	69	4	11	6	4	260	
-1200	150000	3	69	4	11	6	4	266	
-1150	150000	3	69	4	11	6	4	272	
-1100	120000	3	66	4	11	5	4	278	
