
#x69814778
FC-Player-OleHenrikMagga
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	34	3	1	1	1	51	
-3900	10000	1	34	3	1	1	1	52	
-3850	10000	1	34	3	1	1	1	53	
-3800	10000	1	34	3	1	1	1	54	
-3750	10000	1	34	3	1	1	1	55	
-3700	20000	2	73	6	2	1	2	56	
-3650	40000	2	73	4	9	1	2	57	
-3600	40000	2	73	4	9	1	2	58	
-3550	40000	2	73	4	9	1	2	59	
-3500	40000	2	73	4	9	1	2	60	
-3450	40000	2	73	4	9	1	2	61	
-3400	40000	2	73	4	4	1	2	62	
-3350	40000	2	73	4	4	1	2	63	
-3300	40000	2	73	4	4	1	2	64	
-3250	40000	2	73	4	4	1	2	65	
-3200	40000	2	73	4	4	1	2	66	
-3150	40000	2	73	4	4	1	2	67	
-3100	50000	3	97	8	5	1	3	68	
-3050	70000	3	96	6	12	1	3	69	
-3000	70000	3	96	6	12	1	3	70	
-2950	70000	3	96	6	12	1	3	71	
-2900	70000	3	95	6	12	1	3	72	
-2850	50000	3	95	7	3	2	3	74	
-2800	70000	3	95	6	5	2	3	76	
-2750	80000	4	95	9	6	3	4	79	
-2700	80000	4	95	9	6	3	4	82	
-2650	80000	4	95	9	6	3	4	85	
-2600	80000	4	95	9	6	3	4	88	
-2550	110000	5	129	11	16	3	5	91	
-2500	110000	5	129	11	16	3	5	94	
-2450	110000	5	129	11	16	3	5	97	
-2400	110000	5	127	11	16	3	5	100	
-2350	110000	5	127	11	16	3	5	103	
-2300	110000	5	127	11	11	3	6	106	
-2250	160000	5	130	9	13	3	6	109	
-2200	160000	5	130	9	13	3	6	112	
-2150	160000	5	130	9	13	3	6	115	
-2100	170000	6	133	12	16	3	7	118	
-2050	180000	7	137	15	17	4	7	122	
-2000	200000	7	137	13	24	3	7	125	
-1950	200000	7	137	13	24	2	7	127	
-1900	200000	7	137	12	24	2	7	129	
-1850	200000	7	137	12	24	2	7	131	
-1800	180000	7	137	12	22	2	6	133	
-1750	180000	7	137	12	22	1	6	134	
-1700	170000	8	146	16	17	2	6	136	
-1650	190000	8	146	15	19	3	6	139	
-1600	210000	8	146	14	21	5	6	142	
-1550	220000	9	150	16	23	4	6	146	
-1500	190000	8	139	15	20	1	6	146	
-1450	190000	8	123	16	19	2	6	141	
-1400	180000	7	116	12	25	0	5	135	
-1350	160000	7	119	14	18	1	6	135	
-1300	130000	6	94	11	15	1	5	134	
-1250	140000	5	81	7	18	1	4	135	
-1200	110000	4	73	6	14	1	3	130	
-1150	110000	4	73	6	14	1	3	131	
-1100	110000	4	73	6	14	1	3	132	
-1050	100000	3	62	5	12	1	3	133	
-1000	120000	3	62	5	12	1	3	134	
-975	120000	3	62	5	12	1	3	135	
-950	100000	3	62	5	12	0	3	136	
-925	90000	2	55	3	10	0	2	136	
-900	90000	2	60	3	10	0	2	136	
-875	90000	2	60	3	10	0	2	136	
-850	90000	2	60	3	10	0	2	136	
-825	90000	2	60	3	10	0	2	136	
-800	90000	2	60	3	10	0	2	136	
-775	90000	2	60	3	10	0	2	136	
-750	90000	2	60	3	10	0	2	136	
-725	90000	2	60	3	10	0	2	136	
-700	90000	2	60	3	10	0	2	136	
-675	130000	2	60	2	12	0	2	136	
-650	130000	2	60	2	12	0	2	136	
-625	130000	2	60	2	12	0	2	136	
-600	130000	2	60	2	12	0	2	136	
-575	160000	2	61	2	15	0	2	136	
-550	160000	2	61	2	15	0	2	136	
-525	160000	2	61	2	15	0	2	136	
-500	160000	2	61	2	15	0	2	136	
-475	160000	2	61	2	15	0	2	136	
-450	160000	2	61	2	15	0	2	136	
-425	160000	2	61	2	14	0	2	136	
-400	160000	2	61	2	14	0	2	136	
-375	160000	2	61	2	14	0	2	136	
-350	160000	2	61	2	15	0	2	136	
-325	160000	2	61	2	14	0	2	136	
-300	160000	2	61	2	14	0	2	136	
-275	160000	2	61	2	15	0	2	136	
-250	160000	2	61	2	15	0	2	136	
-225	160000	2	61	2	14	0	2	136	
-200	160000	2	61	2	14	0	2	136	
-175	160000	2	61	2	15	0	2	136	
-150	160000	2	61	2	15	0	2	136	
-125	160000	2	61	2	14	0	2	136	
-100	160000	2	61	2	15	0	2	136	
-75	160000	2	61	2	15	0	2	136	
-50	160000	2	61	2	15	0	2	136	
-25	160000	2	61	2	14	0	2	136	
1	160000	2	61	2	15	0	2	136	
20	160000	2	58	2	15	0	2	136	
40	160000	2	58	2	15	0	2	136	
60	160000	2	58	2	14	0	2	136	
80	160000	2	58	2	15	0	2	136	
100	160000	2	58	2	15	0	2	136	
120	160000	2	58	2	14	0	2	136	
140	160000	2	55	2	15	0	2	136	
160	160000	2	55	2	15	0	2	136	
180	160000	2	55	2	15	0	2	136	
200	160000	2	55	2	14	0	2	136	
220	160000	2	55	2	15	0	2	136	
240	160000	2	55	2	15	0	2	136	
260	160000	2	55	2	15	0	2	136	
280	160000	2	52	2	14	0	2	136	
300	160000	2	52	2	15	0	2	136	
320	160000	2	52	2	15	0	2	136	
340	200000	2	54	1	19	0	2	136	
360	200000	2	54	1	19	0	2	136	
380	200000	2	54	1	19	0	2	136	
400	200000	2	49	1	19	0	2	136	
420	200000	2	48	1	19	0	2	136	
440	200000	2	48	1	19	0	2	136	
460	250000	2	48	1	19	0	2	136	
480	250000	2	48	1	19	0	2	136	
500	250000	2	48	1	18	0	2	136	
