
#x69814f78
FC-Player-DengXiaoping
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	39	1	3	1	1	51	
-3900	10000	1	39	1	3	1	1	52	
-3850	10000	1	39	1	3	1	1	53	
-3800	10000	1	39	1	3	1	1	54	
-3750	20000	2	69	4	4	1	2	55	
-3700	20000	2	69	4	4	1	2	56	
-3650	20000	2	69	4	4	1	2	57	
-3600	20000	2	69	4	4	1	2	58	
-3550	20000	2	69	4	4	1	2	59	
-3500	20000	2	69	4	4	1	2	60	
-3450	40000	2	69	2	8	2	2	62	
-3400	40000	2	69	2	8	2	2	64	
-3350	40000	2	69	2	8	2	2	66	
-3300	40000	2	69	2	8	2	2	68	
-3250	40000	2	69	2	8	2	2	70	
-3200	40000	2	69	2	8	2	2	72	
-3150	40000	2	69	2	8	2	2	74	
-3100	20000	2	69	3	4	1	2	75	
-3050	20000	2	69	3	4	1	2	76	
-3000	40000	2	69	3	4	1	2	77	
-2950	20000	2	69	2	4	1	2	78	
-2900	30000	3	74	5	6	2	3	80	
-2850	50000	3	74	4	8	3	3	83	
-2800	50000	3	74	4	8	3	3	86	
-2750	60000	4	91	7	10	3	4	89	
-2700	60000	4	91	7	10	3	4	92	
-2650	60000	4	91	7	10	3	4	95	
-2600	60000	4	91	7	10	3	4	98	
-2550	60000	4	91	7	10	3	4	101	
-2500	60000	4	91	7	10	3	4	104	
-2450	80000	4	91	7	10	5	4	106	
-2400	80000	4	91	7	10	3	4	108	
-2350	80000	4	91	7	10	3	4	111	
-2300	100000	4	91	5	12	3	5	114	
-2250	100000	4	91	5	12	3	5	117	
-2200	100000	4	89	5	12	3	5	120	
-2150	100000	4	89	5	12	3	5	123	
-2100	110000	5	97	8	14	3	6	126	
-2050	110000	5	97	8	14	3	6	129	
-2000	110000	5	97	8	14	3	6	132	
-1950	110000	5	97	8	12	3	6	135	
-1900	90000	5	97	8	10	3	5	138	
-1850	90000	5	97	8	10	3	5	141	
-1800	110000	5	97	8	10	3	5	144	
-1750	110000	5	97	8	10	3	5	147	
-1700	140000	5	97	7	12	3	5	150	
-1650	160000	5	97	6	17	3	5	153	
-1600	160000	5	97	6	17	3	5	156	
-1550	130000	5	97	6	16	3	5	159	
-1500	140000	6	115	10	17	3	6	162	
-1450	170000	6	115	10	17	3	6	165	
-1400	190000	6	115	9	19	3	7	168	
-1350	200000	7	121	12	20	4	8	172	
-1300	180000	7	121	12	20	3	8	175	
-1250	180000	7	121	12	20	3	8	178	
-1200	200000	7	121	11	22	3	8	181	
-1150	200000	7	121	11	22	3	8	184	
-1100	200000	7	121	11	22	3	8	187	
-1050	200000	7	121	11	22	3	8	190	
-1000	200000	7	121	11	22	3	8	193	
-975	200000	7	121	11	22	2	8	195	
-950	220000	7	121	11	22	2	8	197	
-925	220000	7	121	11	22	2	8	199	
-900	250000	7	121	10	22	2	7	201	
-875	250000	7	121	10	22	2	7	203	
-850	250000	7	121	10	22	2	7	205	
-825	260000	8	125	12	23	3	8	208	
-800	260000	8	125	11	23	2	8	210	
-775	280000	8	125	11	25	1	9	211	
-750	280000	8	125	11	25	1	9	212	
-725	330000	9	125	13	28	1	10	213	
-700	330000	9	125	13	28	1	10	214	
-675	330000	9	125	13	28	1	9	215	
-650	310000	9	125	13	25	1	9	216	
-625	310000	9	125	14	25	4	9	220	
-600	330000	9	125	13	27	4	10	224	
-575	300000	9	125	13	25	3	10	227	
-550	300000	9	125	13	25	3	10	230	
-525	300000	9	125	13	25	2	10	232	
-500	320000	9	125	12	27	2	10	234	
-475	330000	10	129	15	29	3	11	237	
-450	350000	10	129	14	32	6	11	240	
-425	350000	10	129	14	32	6	11	246	
-400	380000	10	129	14	32	6	11	252	
-375	400000	10	129	13	34	6	12	258	
-350	400000	10	129	13	34	6	12	264	
-325	400000	10	129	13	34	5	12	269	
-300	400000	10	129	13	34	5	12	274	
-275	400000	10	129	13	34	5	12	279	
-250	420000	10	129	12	34	5	12	284	
-225	400000	10	129	12	32	5	11	289	
-200	370000	10	129	13	30	5	10	294	
-175	370000	10	129	14	30	5	10	299	
-150	400000	10	130	13	30	5	10	304	
-125	400000	10	130	14	30	5	10	309	
-100	400000	10	132	14	30	5	10	314	
-75	400000	10	132	14	30	5	10	319	
-50	370000	10	130	13	30	5	10	324	
-25	390000	10	130	12	32	8	11	334	
1	420000	10	130	11	34	8	12	342	
20	430000	11	137	14	35	8	12	350	
40	430000	11	137	14	35	5	12	355	
60	430000	11	137	14	35	4	12	359	
80	470000	11	137	13	35	5	12	364	
100	500000	11	137	13	35	5	12	369	
120	530000	11	137	12	36	6	12	375	
140	530000	11	137	12	36	6	12	381	
160	530000	11	137	12	36	5	12	386	
180	530000	11	137	12	36	8	12	397	
200	550000	11	142	10	38	11	12	408	
220	590000	11	142	9	40	13	13	419	
240	590000	11	143	9	40	13	13	432	
260	590000	11	143	9	40	13	13	445	
280	590000	11	142	9	40	13	14	458	
300	590000	11	142	8	41	13	14	470	
320	560000	10	120	7	38	13	14	457	
340	560000	10	120	7	38	13	14	470	
360	560000	10	120	7	38	17	13	487	
380	560000	10	120	7	38	17	13	504	
400	460000	9	96	6	33	17	12	514	
420	460000	9	96	6	33	20	12	536	
440	460000	9	96	6	33	23	12	561	
460	460000	9	96	6	33	23	12	584	
480	460000	9	96	7	33	23	12	607	
500	500000	9	96	6	34	23	12	630	
