
#x69815078
FC-Player-KonstantinPÃ¤ts
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	42	1	7	0	0	50	
-3900	10000	1	42	1	7	0	0	50	
-3850	10000	1	42	1	7	0	0	50	
-3800	20000	2	47	3	9	0	1	50	
-3750	20000	2	47	3	9	0	1	50	
-3700	20000	2	47	3	9	0	1	50	
-3650	20000	2	47	3	9	0	1	50	
-3600	20000	2	47	3	9	1	1	50	
-3550	20000	2	47	3	9	1	1	51	
-3500	20000	2	47	3	9	1	1	52	
-3450	20000	2	47	3	9	1	1	53	
-3400	20000	2	47	3	9	1	1	54	
-3350	40000	2	47	3	10	1	1	55	
-3300	40000	2	47	3	10	1	1	56	
-3250	40000	2	47	3	10	1	1	57	
-3200	40000	2	47	3	10	1	1	58	
-3150	40000	2	47	3	10	5	1	58	
-3100	40000	2	47	3	10	0	1	58	
-3050	40000	2	47	3	10	0	1	58	
-3000	60000	2	47	3	13	0	1	58	
-2950	40000	2	47	2	10	0	1	58	
-2900	40000	2	47	2	10	0	1	58	
-2850	40000	2	47	2	10	0	1	58	
-2800	40000	2	47	2	10	0	1	58	
-2750	50000	3	72	5	13	0	2	58	
-2700	50000	3	72	5	13	0	2	58	
-2650	50000	3	72	5	13	0	2	58	
-2600	80000	3	72	4	13	0	3	58	
-2550	80000	3	72	4	13	0	3	58	
-2500	50000	3	72	4	13	0	2	58	
-2450	50000	3	72	4	13	0	2	58	
-2400	60000	4	73	6	16	0	2	58	
-2350	60000	4	70	6	16	0	2	58	
-2300	80000	4	70	5	18	1	3	59	
-2250	80000	4	70	5	18	1	3	60	
-2200	60000	4	70	5	16	0	3	60	
-2150	60000	4	70	5	16	0	3	60	
-2100	60000	4	70	5	16	0	3	60	
-2050	70000	5	75	8	18	0	3	60	
-2000	70000	5	75	8	18	0	3	60	
-1950	70000	5	75	8	19	0	3	60	
-1900	70000	5	75	8	19	0	3	60	
-1850	70000	5	75	7	19	0	3	60	
-1800	90000	5	75	6	22	0	3	60	
-1750	70000	5	75	6	19	0	3	60	
-1700	90000	5	75	5	21	1	4	61	
-1650	90000	5	78	5	21	1	4	62	
-1600	120000	6	82	8	23	2	6	64	
-1550	120000	6	82	8	23	2	6	66	
-1500	130000	7	97	11	26	2	7	68	
-1450	150000	7	97	11	26	3	7	71	
-1400	130000	7	97	10	26	2	7	73	
-1350	130000	7	97	10	27	2	7	75	
-1300	110000	7	96	10	25	1	6	76	
-1250	110000	7	96	10	25	1	6	77	
-1200	120000	8	99	14	27	1	7	78	
-1150	120000	8	99	12	29	1	8	79	
-1100	130000	9	104	15	30	2	9	81	
-1050	150000	9	104	15	30	2	9	83	
-1000	180000	10	104	15	34	2	10	85	
-975	180000	10	104	15	34	2	10	87	
-950	220000	10	104	14	36	4	10	91	
-925	220000	10	104	15	36	3	10	94	
-900	220000	10	104	15	36	3	10	97	
-875	200000	10	104	15	34	3	9	100	
-850	200000	10	104	15	34	3	9	103	
-825	220000	10	104	15	36	3	10	106	
-800	220000	10	104	15	36	3	10	109	
-775	240000	10	104	14	39	3	10	112	
-750	220000	10	104	14	36	3	10	115	
-725	210000	9	102	13	34	3	9	118	
-700	200000	8	89	13	29	3	8	120	
-675	180000	8	89	12	28	2	8	123	
-650	180000	7	74	11	22	3	6	121	
-625	190000	6	68	9	22	2	5	124	
-600	160000	6	66	9	21	2	5	126	
-575	160000	5	60	6	21	1	4	128	
-550	160000	5	62	6	21	1	4	129	
-525	160000	5	62	6	21	1	4	130	
-500	160000	5	62	6	21	1	4	131	
-475	150000	6	82	8	23	1	4	132	
-450	150000	6	82	9	23	3	4	136	
-425	150000	6	82	9	23	3	4	139	
-400	150000	6	82	9	23	3	4	142	
-375	150000	6	82	9	23	3	4	145	
-350	150000	6	82	9	23	3	4	148	
-325	150000	6	82	9	23	3	4	151	
-300	150000	6	81	9	23	3	4	154	
-275	180000	6	81	8	23	3	5	157	
-250	200000	6	82	7	25	3	6	160	
-225	200000	6	82	7	25	3	6	163	
-200	250000	6	82	6	29	3	6	166	
-175	230000	6	82	5	26	3	6	169	
-150	230000	6	82	6	26	13	6	236	
-125	230000	6	82	6	26	13	6	249	
-100	230000	6	82	6	26	13	6	262	
-75	250000	6	81	6	26	13	6	275	
-50	250000	6	83	6	26	13	6	288	
-25	250000	6	83	5	28	13	6	301	
1	230000	6	83	6	26	13	6	314	
20	230000	6	83	5	24	14	6	327	
40	220000	5	54	4	20	14	5	341	
60	220000	5	63	4	20	14	5	355	
80	220000	5	63	4	20	14	5	369	
100	190000	5	60	5	19	13	5	382	
120	190000	5	60	5	19	13	5	395	
140	190000	5	59	5	20	13	5	408	
160	190000	5	59	5	20	13	5	421	
180	190000	5	59	5	20	12	5	433	
200	190000	5	59	5	20	12	5	445	
220	190000	5	59	5	20	12	5	457	
240	190000	5	59	5	20	12	5	469	
260	190000	5	59	5	20	12	5	481	
280	210000	5	59	5	23	15	5	493	
300	210000	5	59	5	23	15	5	508	
320	210000	5	59	5	23	15	5	523	
340	250000	5	59	4	25	15	6	538	
360	250000	5	58	4	25	15	6	553	
380	210000	5	57	4	25	15	5	568	
400	210000	5	57	5	25	21	5	593	
420	210000	5	56	5	25	25	5	619	
440	210000	5	54	5	25	25	5	644	
460	210000	5	54	5	25	25	5	669	
480	210000	5	54	5	25	25	5	694	
500	240000	5	54	5	25	25	5	719	
