
#x69815178
FC-Player-PierreCharles
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	33	2	5	1	1	51	
-3900	10000	1	33	2	5	1	1	52	
-3850	10000	1	33	2	5	1	1	53	
-3800	10000	1	33	2	5	1	1	54	
-3750	10000	1	33	2	5	1	1	55	
-3700	10000	1	33	2	5	1	1	56	
-3650	20000	2	77	5	7	2	2	58	
-3600	20000	2	77	5	7	2	2	60	
-3550	20000	2	77	5	7	2	2	62	
-3500	40000	2	77	5	9	3	3	65	
-3450	20000	2	77	4	7	2	2	67	
-3400	20000	2	77	4	7	2	2	69	
-3350	40000	2	77	4	8	2	2	71	
-3300	50000	3	79	7	9	3	3	74	
-3250	50000	3	79	7	9	3	3	77	
-3200	50000	3	79	7	9	3	3	80	
-3150	50000	3	79	7	9	3	3	83	
-3100	50000	3	79	7	9	3	3	86	
-3050	50000	3	79	7	9	3	3	89	
-3000	50000	3	79	7	9	3	3	92	
-2950	50000	3	79	7	9	3	3	95	
-2900	70000	3	79	6	11	4	4	99	
-2850	70000	3	79	4	11	3	3	102	
-2800	70000	3	79	4	11	3	3	105	
-2750	70000	3	79	5	11	3	3	108	
-2700	80000	4	84	8	12	3	4	111	
-2650	90000	5	97	12	14	3	5	114	
-2600	90000	5	97	12	14	3	5	117	
-2550	90000	5	97	12	14	3	5	120	
-2500	90000	5	97	12	14	3	5	123	
-2450	90000	5	97	12	14	3	5	126	
-2400	120000	5	99	11	16	2	6	128	
-2350	120000	5	101	11	14	2	6	130	
-2300	140000	5	99	11	16	3	7	133	
-2250	140000	5	99	9	16	2	6	135	
-2200	140000	5	99	9	15	2	6	137	
-2150	140000	5	99	9	14	3	6	139	
-2100	140000	5	99	9	13	3	6	142	
-2050	160000	7	133	16	18	3	7	145	
-2000	160000	7	133	16	19	3	7	148	
-1950	150000	6	115	12	19	2	6	147	
-1900	150000	6	115	11	20	2	6	149	
-1850	150000	6	115	11	20	2	6	151	
-1800	160000	7	119	14	21	2	7	153	
-1750	160000	7	119	13	21	2	7	155	
-1700	180000	7	119	13	23	3	8	158	
-1650	140000	6	113	12	20	2	6	161	
-1600	160000	6	113	12	20	3	7	164	
-1550	160000	6	113	11	21	2	7	166	
-1500	130000	5	85	8	18	2	6	169	
-1450	90000	5	104	9	14	1	5	171	
-1400	90000	3	70	4	12	0	3	172	
-1350	70000	3	93	5	10	-1	2	172	
-1300	70000	3	93	5	10	-1	2	171	
-1250	70000	3	92	5	10	-1	2	170	
-1200	40000	2	59	4	7	-1	1	169	
-1150	40000	2	77	4	7	-1	1	168	
-1100	40000	2	77	4	7	-1	1	167	
-1050	40000	2	77	3	7	-1	1	166	
-1000	60000	2	77	3	11	-1	1	165	
-975	60000	2	77	3	9	0	2	164	
-950	30000	1	35	1	5	0	1	158	
-925	30000	1	35	1	5	5	1	166	
-900	10000	1	33	2	1	1	1	171	
