
#x69815278
FC-Player-WÅadysÅawJagieÅÅo
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	33	2	3	1	1	51	
-3900	10000	1	33	2	3	1	1	52	
-3850	10000	1	33	2	3	1	1	53	
-3800	20000	2	45	4	4	1	2	54	
-3750	20000	2	45	4	4	1	2	55	
-3700	20000	2	45	4	4	1	2	56	
-3650	20000	2	45	4	4	1	2	57	
-3600	20000	2	45	4	4	1	2	58	
-3550	20000	2	45	4	4	1	3	59	
-3500	40000	2	45	3	8	2	3	61	
-3450	40000	2	45	3	9	2	3	63	
-3400	20000	2	45	3	6	1	3	64	
-3350	40000	2	45	2	8	2	3	66	
-3300	40000	2	45	2	8	2	3	68	
-3250	40000	2	45	2	8	2	3	70	
-3200	40000	2	45	2	8	2	3	72	
-3150	50000	3	56	5	11	2	4	74	
-3100	50000	3	56	5	11	2	4	76	
-3050	50000	3	56	5	11	2	4	78	
-3000	50000	3	56	5	11	2	4	80	
-2950	50000	3	56	5	11	2	4	82	
-2900	50000	3	56	5	11	2	4	84	
-2850	50000	3	56	4	12	3	4	87	
-2800	30000	3	56	4	9	2	4	89	
-2750	30000	3	56	4	8	2	4	91	
-2700	50000	3	56	4	8	3	4	94	
-2650	50000	3	56	4	7	3	4	97	
-2600	60000	4	63	7	10	3	4	100	
-2550	60000	4	63	7	11	3	4	103	
-2500	60000	4	63	5	12	2	4	105	
-2450	60000	4	63	5	12	2	4	107	
-2400	60000	4	63	5	12	2	4	109	
-2350	70000	5	68	8	15	2	5	111	
-2300	70000	5	68	8	15	2	5	113	
-2250	80000	6	83	11	17	3	6	116	
-2200	80000	6	83	11	17	3	6	119	
-2150	100000	6	83	10	19	2	7	121	
-2100	120000	6	83	9	22	3	7	124	
-2050	120000	6	83	9	18	3	7	127	
-2000	120000	6	83	9	18	2	7	129	
-1950	100000	6	83	9	16	2	7	131	
-1900	120000	6	83	8	18	2	7	133	
-1850	120000	6	83	8	19	2	7	135	
-1800	140000	6	83	8	20	2	7	137	
-1750	140000	6	83	8	20	2	7	139	
-1700	140000	6	83	8	20	2	7	141	
-1650	120000	6	83	8	18	2	6	143	
-1600	130000	7	97	10	20	2	7	145	
-1550	150000	7	97	9	24	2	7	147	
-1500	150000	7	97	9	24	1	7	148	
-1450	130000	7	97	9	20	1	7	149	
-1400	130000	7	97	9	20	1	7	150	
-1350	130000	7	97	9	20	1	7	151	
-1300	160000	7	97	9	20	1	7	152	
-1250	160000	7	97	9	20	1	7	153	
-1200	160000	7	97	9	20	1	7	154	
-1150	180000	7	97	9	22	0	7	154	
-1100	150000	7	97	6	23	1	7	155	
-1050	160000	7	97	6	20	0	8	155	
-1000	170000	8	114	8	22	4	9	168	
-975	170000	8	114	8	22	4	9	172	
-950	190000	8	114	8	24	3	9	175	
-925	190000	8	114	8	24	3	9	178	
-900	200000	9	112	10	26	3	10	181	
-875	210000	10	114	13	28	3	11	184	
-850	210000	10	114	13	28	2	11	186	
-825	230000	10	114	13	29	3	11	189	
-800	230000	10	114	13	29	3	11	192	
-775	230000	10	114	13	29	3	11	195	
-750	230000	10	114	14	27	3	0	197	
-725	240000	11	120	16	31	6	0	204	
-700	270000	11	120	24	35	10	22	211	
-675	270000	11	120	24	35	9	20	221	
-650	290000	11	120	24	35	10	20	230	
-625	350000	11	120	22	39	10	21	240	
-600	390000	10	110	19	40	12	20	251	
-575	400000	11	127	22	45	13	22	264	
-550	400000	11	127	22	45	12	22	276	
-525	440000	11	127	22	47	11	22	287	
-500	430000	10	111	21	44	16	20	307	
-475	450000	10	114	20	44	21	20	332	
-450	470000	10	114	21	45	24	21	355	
-425	450000	10	114	21	45	23	21	378	
-400	420000	9	110	19	41	37	20	403	
-375	390000	8	101	19	38	37	19	435	
-350	390000	8	101	19	38	37	19	472	
-325	390000	8	101	19	38	37	19	509	
-300	380000	7	84	17	37	36	17	546	
-275	430000	7	87	15	37	36	17	582	
-250	430000	7	87	15	37	36	17	618	
-225	430000	7	87	15	37	36	17	654	
-200	540000	7	87	12	43	43	17	691	
-175	540000	7	87	12	43	43	17	734	
-150	540000	7	87	12	43	43	17	777	
-125	540000	7	87	12	43	43	17	820	
-100	580000	7	87	11	45	45	17	863	
-75	610000	7	88	10	47	45	18	908	
-50	610000	7	88	10	47	45	18	953	
-25	610000	7	88	1	42	36	0	989	
1	610000	7	86	8	30	34	22	1025	
20	610000	7	86	8	30	34	22	1059	
40	610000	7	85	8	30	34	22	1093	
60	650000	7	85	7	31	36	23	1128	
80	650000	7	85	7	32	36	23	1164	
100	680000	7	85	6	34	39	24	1201	
120	680000	7	84	6	34	39	24	1240	
140	680000	7	84	6	34	39	24	1279	
160	680000	7	84	6	33	39	24	1318	
180	680000	7	84	6	33	39	24	1357	
200	680000	7	84	6	33	39	24	1396	
220	680000	7	84	6	34	39	24	1435	
240	740000	7	84	4	34	39	24	1474	
260	740000	7	84	4	34	39	24	1513	
280	740000	7	84	4	34	39	24	1552	
300	740000	7	84	4	34	39	24	1591	
320	740000	7	84	4	33	39	24	1630	
340	740000	7	84	4	33	39	24	1669	
360	740000	7	84	4	33	39	24	1708	
380	740000	7	84	4	34	39	24	1747	
400	740000	7	84	4	34	39	24	1786	
420	740000	7	84	4	34	39	24	1825	
440	740000	7	84	4	34	39	24	1864	
460	740000	7	84	4	34	39	24	1903	
480	740000	7	84	4	33	39	24	1942	
500	740000	7	84	4	33	39	24	1981	
