
#x69815378
FC-Player-DaoudKhan
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	38	2	3	1	1	51	
-3900	10000	1	38	2	3	1	1	52	
-3850	10000	1	38	2	3	1	1	53	
-3800	10000	1	38	2	3	1	1	54	
-3750	20000	2	52	5	6	1	2	55	
-3700	20000	2	52	5	6	1	2	56	
-3650	20000	2	52	5	6	1	2	57	
-3600	20000	2	52	5	6	1	2	58	
-3550	20000	2	52	5	6	1	2	59	
-3500	40000	2	52	4	10	1	3	60	
-3450	60000	2	53	3	12	2	3	62	
-3400	40000	2	53	3	8	2	2	64	
-3350	40000	2	53	3	8	2	2	66	
-3300	40000	2	53	3	8	2	2	68	
-3250	20000	2	53	3	6	1	2	69	
-3200	30000	3	67	5	9	1	2	70	
-3150	30000	3	67	5	9	1	2	71	
-3100	30000	3	67	5	9	1	2	72	
-3050	40000	4	70	8	12	1	2	73	
-3000	60000	4	70	7	14	2	2	75	
-2950	60000	4	70	7	14	2	2	77	
-2900	60000	4	70	7	14	2	2	79	
-2850	80000	4	70	6	18	2	3	81	
-2800	80000	4	70	6	18	2	3	83	
-2750	80000	4	70	6	18	2	3	85	
-2700	80000	4	70	6	18	2	3	87	
-2650	40000	4	70	6	13	1	2	88	
-2600	60000	4	72	6	13	1	3	89	
-2550	60000	4	72	6	12	1	3	90	
-2500	80000	4	72	5	14	2	3	92	
-2450	90000	5	75	8	17	2	4	94	
-2400	70000	5	75	7	17	2	3	96	
-2350	70000	5	75	7	17	2	3	98	
-2300	80000	6	78	10	19	2	4	100	
-2250	100000	6	78	9	21	2	4	102	
-2200	80000	6	78	9	19	1	4	103	
-2150	100000	6	78	8	23	1	5	104	
-2100	100000	6	78	8	23	1	5	105	
-2050	100000	6	78	8	25	1	5	106	
-2000	130000	7	81	8	29	0	6	106	
-1950	130000	7	81	8	29	0	6	106	
-1900	130000	7	81	8	29	0	6	106	
-1850	150000	7	81	8	29	1	6	107	
-1800	150000	7	81	7	28	1	6	108	
-1750	170000	7	81	7	28	1	7	109	
-1700	150000	7	81	7	26	1	7	110	
-1650	150000	7	81	7	26	1	7	111	
-1600	150000	7	81	7	26	-1	7	110	
-1550	150000	7	81	8	27	7	7	117	
-1500	160000	8	86	10	30	8	8	125	
-1450	160000	8	86	10	30	8	8	133	
-1400	160000	8	86	10	30	8	8	141	
-1350	160000	8	86	10	30	8	8	149	
-1300	160000	8	86	10	30	8	8	157	
-1250	160000	8	86	10	30	8	8	165	
-1200	160000	8	86	10	30	8	8	173	
-1150	160000	8	86	10	30	8	8	181	
-1100	190000	8	86	9	33	13	8	197	
-1050	210000	8	86	8	36	12	8	209	
-1000	210000	8	86	8	34	5	8	214	
-975	210000	8	86	8	34	5	8	219	
-950	240000	8	86	6	36	7	8	224	
-925	240000	8	86	6	36	7	8	231	
-900	210000	7	77	6	33	8	7	238	
-875	210000	7	82	6	29	8	7	246	
-850	210000	7	82	7	29	8	7	254	
-825	210000	7	82	7	29	8	7	262	
-800	210000	7	82	7	29	8	7	270	
-775	230000	7	82	7	29	8	7	278	
-750	230000	7	82	8	29	8	7	286	
-725	220000	6	68	7	23	8	7	294	
-700	220000	6	82	7	23	8	7	302	
-675	200000	6	82	7	23	8	7	310	
-650	160000	5	69	5	18	7	6	318	
-625	160000	5	80	6	18	7	6	325	
-600	160000	5	80	6	18	7	6	332	
-575	160000	5	80	6	18	7	6	339	
-550	140000	5	80	5	18	7	6	346	
-525	140000	5	80	6	18	7	6	353	
-500	80000	4	57	5	11	1	5	349	
-475	80000	4	59	5	11	1	5	350	
-450	110000	4	59	4	14	1	5	351	
-425	110000	4	59	4	14	1	5	352	
-400	80000	4	59	4	11	1	5	353	
-375	80000	4	59	4	11	4	5	358	
-350	80000	4	51	6	11	4	5	363	
-325	80000	4	54	6	11	4	5	367	
-300	80000	4	54	6	11	4	5	371	
-275	90000	3	48	5	10	3	4	375	
-250	90000	3	54	5	10	3	4	378	
-225	60000	2	34	2	7	0	3	364	
-200	40000	2	34	2	7	0	3	364	
-175	40000	2	34	3	7	0	3	364	
-150	40000	2	34	3	7	0	3	364	
-125	40000	2	34	3	7	0	3	364	
-100	40000	2	34	3	7	0	3	364	
-75	40000	2	34	3	7	0	3	364	
-50	40000	2	34	3	7	0	3	364	
-25	40000	2	34	3	7	0	3	364	
1	40000	2	34	3	7	0	3	364	
20	40000	2	32	3	7	0	3	364	
40	40000	2	32	3	7	0	3	364	
60	40000	2	32	3	7	0	3	364	
80	40000	2	32	3	7	0	3	364	
100	40000	2	32	2	7	0	3	364	
120	40000	2	32	3	7	0	3	364	
140	40000	2	32	3	7	0	3	364	
160	40000	2	32	3	7	0	3	364	
180	40000	2	32	3	7	0	3	364	
200	40000	2	32	3	7	0	3	364	
220	60000	2	30	3	7	0	3	364	
240	60000	2	30	3	7	0	3	364	
260	60000	2	30	3	7	0	3	364	
280	60000	2	29	3	7	0	3	364	
300	60000	2	29	3	7	0	3	364	
320	60000	2	29	3	7	0	3	364	
340	60000	2	29	3	7	0	3	364	
360	60000	2	29	2	7	0	3	364	
380	60000	2	29	3	7	0	3	364	
400	60000	2	29	3	7	0	3	364	
420	60000	2	29	3	7	0	3	364	
440	60000	2	29	3	7	0	3	364	
460	60000	2	29	3	7	0	3	364	
480	60000	2	29	3	7	0	3	364	
500	60000	2	29	3	7	0	3	364	
