
#x69815478
FC-Player-AhmedBenBella
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	44	3	3	0	1	50	
-3900	10000	1	44	3	3	0	1	50	
-3850	10000	1	44	3	3	0	1	50	
-3800	20000	2	64	6	4	1	2	51	
-3750	20000	2	64	6	4	2	2	52	
-3700	20000	2	64	6	4	2	2	54	
-3650	40000	2	64	5	8	2	2	56	
-3600	40000	2	64	5	8	2	2	58	
-3550	40000	2	63	5	8	2	2	60	
-3500	40000	2	63	4	8	2	2	62	
-3450	40000	2	63	4	8	2	2	64	
-3400	40000	2	63	4	8	2	2	66	
-3350	40000	2	63	4	8	2	2	68	
-3300	50000	3	73	7	9	3	3	71	
-3250	50000	3	69	8	7	3	3	74	
-3200	70000	3	69	7	11	3	3	77	
-3150	70000	3	69	7	11	3	3	80	
-3100	70000	3	69	7	11	3	3	83	
-3050	70000	3	69	7	11	3	3	86	
-3000	70000	3	69	7	11	3	3	89	
-2950	50000	3	69	6	7	3	3	92	
-2900	50000	3	69	6	7	3	3	95	
-2850	90000	3	69	5	11	3	4	98	
-2800	100000	4	67	8	12	4	5	102	
-2750	110000	5	76	11	15	4	5	106	
-2700	110000	5	76	11	15	12	5	109	
-2650	110000	5	76	11	15	3	5	112	
-2600	110000	5	76	11	15	3	5	115	
-2550	110000	5	76	11	15	3	5	118	
-2500	110000	5	76	11	15	3	5	121	
-2450	110000	5	76	11	15	3	5	124	
-2400	110000	5	76	10	15	3	5	127	
-2350	130000	5	76	9	18	3	5	130	
-2300	150000	5	78	9	19	3	5	133	
-2250	150000	5	78	8	19	3	5	136	
-2200	150000	5	78	8	19	3	5	139	
-2150	160000	6	83	10	22	3	6	142	
-2100	170000	6	83	9	20	3	6	145	
-2050	150000	6	83	8	19	3	6	148	
-2000	170000	6	83	7	23	2	6	150	
-1950	130000	5	76	6	18	2	5	152	
-1900	130000	5	76	6	18	2	5	154	
-1850	130000	5	76	6	19	2	5	156	
-1800	130000	5	76	6	19	5	5	163	
-1750	130000	5	76	5	20	5	5	168	
-1700	130000	5	76	5	20	5	5	173	
-1650	110000	5	76	5	17	5	5	178	
-1600	110000	5	76	5	17	4	5	182	
-1550	90000	5	76	7	14	5	5	186	
-1500	100000	4	61	7	14	6	4	191	
-1450	100000	4	68	9	14	6	4	197	
-1400	100000	4	68	9	14	6	4	203	
-1350	60000	2	25	3	5	1	3	207	
-1300	30000	1	20	2	3	0	1	201	
-1250	30000	1	20	2	3	0	1	201	
-1200	30000	1	20	2	3	0	1	201	
-1150	30000	1	20	2	3	0	1	201	
-1100	30000	1	20	2	3	0	1	201	
-1050	30000	1	20	2	3	0	1	201	
-1000	30000	1	20	2	3	0	1	201	
-975	30000	1	20	2	3	0	1	201	
-950	30000	1	20	2	3	0	1	201	
-925	30000	1	20	2	3	0	1	201	
-900	30000	1	17	2	3	0	1	201	
-875	30000	1	17	2	3	0	1	201	
-850	30000	1	16	2	3	0	1	201	
-825	30000	1	14	2	3	0	1	201	
-800	30000	1	14	2	3	0	1	201	
-775	60000	1	14	1	5	0	1	201	
-750	60000	1	14	1	5	0	1	201	
-725	60000	1	14	1	5	0	1	201	
-700	60000	1	14	1	5	0	1	201	
-675	60000	1	14	1	5	0	1	201	
-650	60000	1	14	1	5	0	1	201	
-625	60000	1	14	1	5	0	1	201	
-600	60000	1	14	1	5	0	1	201	
-575	60000	1	14	1	5	0	1	201	
-550	60000	1	14	1	5	0	1	201	
-525	60000	1	14	1	5	0	1	201	
-500	60000	1	14	1	5	0	1	201	
-475	60000	1	14	1	5	0	1	201	
-450	60000	1	14	1	5	0	1	201	
-425	60000	1	14	1	5	0	1	201	
-400	60000	1	14	1	5	0	1	201	
-375	60000	1	14	1	5	0	1	201	
-350	60000	1	14	1	5	0	1	201	
-325	60000	1	14	1	5	0	1	201	
-300	60000	1	14	1	5	0	1	201	
-275	60000	1	14	1	5	0	1	201	
-250	60000	1	14	1	5	0	1	201	
-225	60000	1	14	1	5	0	1	201	
-200	60000	1	14	1	5	0	1	201	
-175	60000	1	14	1	5	0	1	201	
-150	0	0	0	0	0	0	0	196	
